Guess,deens,diets,doema,drent,duits,daags,dacht,dadel,dader,dagen,dager,dagge,dagje,daken,dalem,dalen,daler,damar,dames,dandy,danig,darts,daten,datje,datum,daver,davit,dazen,debat,debet,decor,deden,deels,deern,degel,degen,deken,delen,deler,delta,demon,denim,denke,depot,depri,derby,derde,deren,derny,desem,detox,deuce,deugd,dew1l,dezen,dezer,dezes,dicht,dieet,diens,diepe,diets,d1ken,d1ker,dikte,dildo,dille,dinar,diner,dingo,diode,disco,divan,dixit,dizzy,djati,djinn,djogo,docht,doden,dogma,doken,dolby,dolce,dolen,doler,dolik,dolle,dolly,dombo,domen,domig,domme,donna,donor,donut,doods,dooie,doorn,dopen,doper,doren,dorps,dorst,dosis,doven,dover,dovig,doz1n,draad,draai,draak,drain,drama,drang,drank,dreef,dreun,dries,drift,drink,drive,droef,droeg,droes,droge,drong,dronk,droog,droom,droop,drops,drost,drugs,druif,druil,drums,druus,duaal,duist,dulia,dummy,dunne,dunte,duren,dutje,duvel,duwen,dwaal,dwaas,dwang,dwars,dwaze,dweil,dwerg,dansi,dawet,dogla,doder,duwer
dreig,20200,20210,20200,22200,20010,20001,20000,20100,21100,20101,21101,20101,20101,20100,20100,20100,21100,21000,20100,20000,20022,21000,20100,20100,20000,21100,20020,20100,20100,20100,21100,20100,20200,21200,20101,20101,20100,20100,21100,20100,20100,20120,20100,20100,21110,21100,21100,21100,21100,20100,20100,20100,20101,20100,20100,21100,20100,20010,20210,20210,20210,20210,20100,21100,20110,20010,20110,21010,21110,20011,20110,20010,20010,20020,20010,20010,20010,20001,20000,20100,20001,20100,20000,20100,20100,21100,20020,20100,20000,20000,20100,20022,20100,20000,21000,20000,20000,20120,21000,20100,21100,21100,21000,21000,20020,20100,21100,20022,20000,22000,22010,22000,22020,22000,22002,22000,22200,22200,22110,22010,22010,22110,22100,22102,22100,22101,22002,22000,22002,22000,22000,22000,22000,22001,22020,22020,22000,22000,20000,20010,20020,20000,20100,20100,21100,20100,20100,20100,20000,20000,20002,21000,20100,20220,21202,20010,20100,20001,21100,21100
drein,20201,20210,20200,22201,20010,20000,20000,20100,21100,20102,21100,20100,20100,20102,20100,20102,21100,21000,20100,20001,20021,21000,20102,20100,20000,21100,20020,20102,20100,20100,21100,20102,20200,21202,20100,20102,20102,20102,21100,20100,20102,20121,20101,20100,21110,21100,21100,21102,21101,20100,20100,20100,20100,20100,20102,21100,20100,20010,20210,20211,20210,20210,20102,21100,20110,20010,20110,21011,21111,20011,20110,20010,20012,20020,20010,20010,20012,20000,20000,20102,20000,20102,20000,20100,20102,21100,20020,20100,20000,20000,20102,20020,20100,20001,21001,20001,20000,20120,21002,20102,21100,21102,21000,21000,20020,20102,21100,20020,20002,22000,22010,22000,22022,22000,22001,22001,22200,22202,22110,22010,22011,22110,22100,22100,22100,22100,22001,22001,22000,22000,22000,22000,22000,22000,22020,22020,22000,22000,20000,20010,20020,20000,20101,20101,21102,20100,20100,20102,20000,20000,20001,21000,20100,20220,21200,20011,20100,20000,21100,21100
drens,20222,20202,20200,22220,20002,20002,20000,20100,21100,20110,21100,20100,20100,20110,20100,20110,21100,21000,20102,20010,20010,21002,20110,20100,20000,21100,20000,20110,20100,20100,21100,20110,20202,21210,20100,20110,20110,20110,21100,20100,20110,20110,20110,20100,21100,21100,21100,21110,21120,20101,20100,20100,20100,20100,20110,21100,20102,20000,20200,20222,20200,20202,20110,21100,20100,20000,20100,21010,21110,20010,20100,20001,20010,20000,20000,20000,20020,20000,20000,20110,20000,20110,20000,20100,20110,21100,20000,20100,20000,20000,20110,20000,20100,20020,21010,20010,20002,20100,21010,20110,21100,21110,21002,21001,20002,20110,21100,20000,20010,22000,22000,22000,22010,22000,22020,22020,22200,22210,22102,22000,22020,22100,22100,22100,22102,22100,22020,22020,22000,22000,22000,22002,22001,22002,22000,22000,22002,22002,20000,20001,20000,20000,20120,20110,21110,20100,20100,20110,20000,20002,20020,21002,20100,20200,21200,20011,20100,20000,21100,21100
drieg,20010,20110,20010,22010,20200,20001,20000,20020,21020,20021,21021,20011,20011,20020,20020,20020,21020,21000,20020,20000,20102,21000,20020,20010,20000,21020,20100,20020,20010,20020,21010,20020,20010,21010,20021,20021,20020,20020,21020,20010,20010,20110,20010,20010,21110,21010,21010,21020,21010,20020,20010,20010,20011,20010,20020,21020,20020,20100,20120,20110,20110,20110,20020,21020,20110,20100,20110,21100,21120,20101,20110,20100,20100,20100,20100,20100,20200,20001,20000,20020,20001,20020,20000,20010,20020,21020,20100,20010,20000,20000,20020,20102,20010,20000,21000,20000,20000,20110,21000,20020,21020,21020,21000,21000,20100,20020,21020,20102,20000,22000,22100,22000,22100,22000,22002,22000,22020,22010,22220,22200,22200,22210,22020,22022,22020,22011,22002,22000,22002,22000,22000,22000,22000,22001,22100,22100,22000,22000,20000,20200,20100,20000,20010,20010,21020,20010,20020,20020,20000,20000,20002,21000,20010,20110,21012,20100,20020,20001,21020,21020
dr1ft,20000,20001,20000,22002,20001,20000,20002,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,21001,20001,20001,20001,21000,20002,20000,20002,20002,21000,20000,20000,21000,20000,20000,20000,20000,21000,20001,20000,20000,20000,20002,21000,21000,21000,21000,21000,20000,20001,20000,20000,20100,20000,21000,20000,20002,20002,20000,20000,20001,20100,21100,20001,20000,20000,21000,21000,20000,20000,20000,20000,20002,20000,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20002,20000,20000,21000,20000,21000,21000,21000,21002,20000,20000,21000,20000,20100,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22022,22000,22000,22010,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22010,22000,22000,22000,20000,20002,20000,20000,20000,20001,21000,20001,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20002,20000,21000,21000
drilt,20000,20101,20000,22002,20201,20000,20002,20010,21000,20000,21000,20000,20000,20000,20010,20010,21010,21000,20000,20000,20100,21001,20001,20001,20001,21000,20102,20000,20002,20002,21000,20000,20020,21000,20010,20000,20000,20010,21010,20011,20000,20100,20000,20002,21100,21000,21000,21000,21000,20000,20001,20000,20000,20010,20000,21000,20000,20102,20102,20100,20100,20101,20000,21000,20101,20110,20120,21100,21100,20100,20100,20100,20100,20102,20100,20101,20200,20000,20002,20000,20000,20000,20010,20010,20010,21010,20110,20020,20020,20000,20000,20100,20000,20000,21000,20002,20000,20100,21000,20000,21000,21000,21000,21002,20100,20000,21000,20100,20000,22000,22100,22000,22100,22000,22000,22000,22000,22000,22200,22202,22200,22200,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22100,22110,22000,22000,20010,20202,20110,20000,20000,20001,21000,20001,20010,20000,20010,20000,20000,21000,20000,20110,21000,20100,20002,20020,21000,21000
dring,20020,20100,20000,22020,20200,20001,20000,20000,21000,20011,21001,20001,20001,20010,20000,20010,21000,21000,20000,20010,20112,21000,20010,20000,20000,21000,20100,20010,20000,20000,21000,20010,20000,21010,20001,20011,20010,20010,21000,20000,20010,20110,20010,20000,21100,21000,21000,21010,21020,20000,20000,20000,20001,20000,20010,21000,20000,20100,20100,20120,20100,20100,20010,21000,20100,20100,20100,21110,21110,20111,20100,20100,20110,20100,20100,20100,20220,20001,20000,20010,20001,20010,20000,20000,20010,21000,20100,20000,20000,20000,20010,20102,20000,20020,21010,20010,20000,20100,21010,20010,21000,21010,21000,21000,20100,20010,21000,20102,20010,22000,22100,22000,22110,22000,22022,22020,22000,22010,22200,22200,22220,22200,22000,22002,22000,22001,22022,22020,22002,22000,22000,22000,22000,22001,22100,22100,22000,22000,20000,20200,20100,20000,20020,20010,21010,20000,20000,20010,20000,20000,20022,21000,20000,20100,21002,20110,20000,20001,21000,21000
dromt,20000,20001,20120,22002,20001,20000,20002,20000,21000,20000,21000,20000,20000,20000,20010,20000,21000,21010,20010,20000,20000,21001,20001,20001,20011,21000,20002,20000,20002,20002,21100,20000,20000,21000,20000,20000,20000,20000,21000,20001,20110,20010,20000,20102,21000,21000,21000,21000,21000,20010,20101,20000,20000,20000,20000,21000,20000,20002,20002,20000,20000,20001,20000,21000,20001,20100,20000,21000,21000,20100,20200,20100,20000,20002,20000,20001,20000,20200,20102,20100,20120,20100,20100,20100,20100,21100,20100,20100,20100,20110,20110,20110,20120,20100,21100,20102,20200,20200,21200,20100,21100,21100,21100,21102,20100,20100,21100,20100,20100,22000,22000,22000,22000,22020,22000,22000,22000,22000,22000,22002,22000,22000,22200,22200,22200,22200,22200,22200,22200,22210,22200,22200,22202,22000,22000,22000,22020,22000,20000,20002,20000,20020,20000,20001,21000,20001,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20002,20100,21100,21000
droos,20002,20002,20100,22000,20002,20002,20000,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20002,20000,20000,21002,20000,20000,20000,21000,20000,20000,20000,20000,21020,20000,20002,21000,20000,20000,20000,20000,21000,20000,20020,20000,20000,20020,21000,21000,21000,21000,21000,20001,20020,20000,20000,20000,20000,21000,20002,20000,20000,20002,20000,20002,20000,21000,20000,20100,20000,21000,21000,20100,20200,20101,20000,20000,20000,20000,20000,20210,20100,20100,20100,20100,20100,20100,20100,21100,20100,20100,20100,20110,20100,20100,20100,20100,21120,20100,20212,20210,21210,20100,21100,21100,21102,21101,20102,20100,21100,20100,20100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22200,22200,22202,22200,22200,22200,22220,22220,22220,22202,22201,22002,22000,22000,22002,22002,20000,20001,20000,20000,20000,20000,21000,20000,20000,20000,20000,20002,20000,21002,20000,20000,21000,20001,20000,20100,21100,21000
dropt,20000,20001,20100,22002,20001,20000,20002,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,21001,20001,20001,20001,21000,20002,20000,20002,20002,21100,20000,20000,21000,20000,20000,20000,20000,21000,20001,20100,20000,20000,20112,21010,21000,21000,21000,21000,20000,20101,20000,20000,20000,20000,21000,20000,20002,20002,20000,20020,20001,20000,21000,20001,20100,20000,21000,21000,20100,20200,20100,20000,20002,20000,20001,20000,20200,20102,20100,20100,20100,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20100,20100,21100,20102,20200,20200,21200,20110,21110,21100,21120,21102,20100,20100,21100,20100,20100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22200,22200,22200,22200,22200,22200,22200,22200,22210,22220,22202,22000,22000,22000,22000,22000,20000,20002,20000,20000,20000,20001,21000,20001,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20002,20100,21100,21000
druip,20000,20010,20000,22000,20110,20000,20000,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20020,21000,20000,20000,20100,21000,20020,20000,20000,20000,21000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20000,20020,20000,20001,21011,21000,21000,21000,21000,20000,20000,20200,20200,20000,20000,21000,20000,20010,20010,20010,20011,20010,20000,21000,20010,20010,20010,21010,21010,20010,20010,20010,20010,20020,20010,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,21000,20020,20000,20000,20000,20000,20020,20000,20000,21000,20100,20000,20020,21000,20001,21001,21000,21001,21000,20020,20000,21000,20020,20000,22000,22010,22000,22020,22000,22000,22000,22000,22100,22010,22010,22010,22010,22000,22000,22000,22000,22000,22000,22000,22000,22002,22001,22000,22200,22220,22220,22200,22200,20100,20110,20120,20100,20100,20100,21100,20100,20100,20100,20000,20000,20000,21000,20000,20020,21000,20010,20000,20000,21000,21100
druis,20002,20012,20000,22000,20112,20002,20000,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20002,20000,20020,21002,20000,20000,20100,21000,20020,20000,20000,20000,21000,20000,20002,21000,20000,20000,20000,20000,21000,20000,20000,20020,20000,20000,21010,21000,21000,21000,21000,20001,20000,20200,20200,20000,20000,21000,20002,20010,20010,20012,20010,20012,20000,21000,20010,20010,20010,21010,21010,20010,20010,20011,20010,20020,20010,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,21000,20020,20000,20000,20000,20000,20020,20000,20000,21000,20100,20002,20020,21000,20000,21000,21000,21002,21001,20022,20000,21000,20020,20000,22000,22010,22000,22020,22000,22000,22000,22000,22100,22012,22010,22010,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22002,22001,22202,22220,22220,22202,22202,20100,20111,20120,20100,20100,20100,21100,20100,20100,20100,20000,20002,20000,21002,20000,20020,21000,20011,20000,20000,21000,21100
drukt,20000,20001,20000,22002,20101,20000,20002,20000,21000,20000,21000,20000,20000,20010,20000,20000,21000,21000,20000,20000,20000,21001,20001,20001,20101,21000,20002,20000,20002,20002,21000,20000,20000,21000,20000,20000,20010,20000,21000,20001,20000,20000,20020,20002,21000,21000,21000,21000,21000,20000,20001,20200,20200,20000,20000,21000,20000,20002,20002,20000,20000,20001,20010,21010,20011,20000,20000,21000,21000,20000,20000,20000,20000,20002,20000,20001,20000,20000,20002,20000,20000,20010,20000,20000,20000,21000,20010,20000,20000,20000,20000,20000,20000,20000,21000,20102,20000,20000,21000,20000,21000,21000,21000,21002,20000,20000,21000,20000,20000,22000,22000,22010,22000,22000,22000,22010,22000,22100,22000,22002,22010,22000,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,22002,22200,22200,22200,22200,22200,20100,20102,20100,20100,20100,20101,21100,20101,20100,20100,20000,20000,20000,21000,20000,20000,21000,20000,20002,20000,21000,21100
drumt,20000,20001,20020,22002,20101,20000,20002,20000,21000,20000,21000,20000,20000,20000,20010,20000,21000,21010,20010,20000,20000,21001,20001,20001,20111,21000,20002,20000,20002,20002,21000,20000,20000,21000,20000,20000,20000,20000,21000,20001,20010,20010,20000,20002,21000,21000,21000,21000,21000,20010,20001,20200,20200,20000,20000,21000,20000,20002,20002,20000,20000,20001,20000,21000,20001,20000,20000,21000,21000,20000,20000,20000,20000,20002,20000,20001,20000,20000,20002,20000,20020,20000,20000,20000,20000,21000,20000,20000,20000,20010,20010,20010,20020,20000,21000,20102,20000,20000,21000,20000,21000,21000,21000,21002,20000,20000,21000,20000,20000,22000,22000,22000,22000,22020,22000,22000,22000,22100,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22002,22200,22200,22200,22220,22200,20100,20102,20100,20120,20100,20101,21100,20101,20100,20100,20000,20000,20000,21000,20000,20000,21000,20000,20002,20000,21000,21100
drupt,20000,20001,20000,22002,20101,20000,20002,20000,21000,20000,21000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,21001,20001,20001,20101,21000,20002,20000,20002,20002,21000,20000,20000,21000,20000,20000,20000,20000,21000,20001,20000,20000,20000,20012,21010,21000,21000,21000,21000,20000,20001,20200,20200,20000,20000,21000,20000,20002,20002,20000,20020,20001,20000,21000,20001,20000,20000,21000,21000,20000,20000,20000,20000,20002,20000,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20102,20000,20000,21000,20010,21010,21000,21020,21002,20000,20000,21000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22020,22002,22200,22200,22200,22200,22200,20100,20102,20100,20100,20100,20101,21100,20101,20100,20100,20000,20000,20000,21000,20000,20000,21000,20000,20002,20000,21000,21100
duale,20001,20001,20101,20001,22000,20200,20100,20111,20101,20101,20101,20102,20102,20101,20111,20111,20111,20100,20101,20100,20100,20100,20101,20102,21100,20101,20100,20101,20101,20001,20001,20001,20021,20001,20011,20001,20001,20011,20011,20111,20001,20001,20002,20001,20001,20001,20002,20001,20001,20001,20001,21002,21001,20011,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20002,20010,20022,20100,20001,20000,20002,20000,20100,20000,20000,20200,20000,20000,20000,20001,20100,20001,20010,20012,20011,20011,20010,20022,20020,20000,20001,20000,20002,20100,20000,21000,20000,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,20200,20200,20200,20200,20200,20200,20200,20001,21001,20001,20000,20000,20002,20001,20001,20001,20002,20000,20000,20000,20000,20000,20000,20000,21000,21000,21010,21000,21000,22210,22000,22110,22000,22002,22002,22001,22002,22011,22001,20210,20200,20200,20200,20202,20011,20001,20100,20101,20120,20001,22001
dubde,20001,20001,20001,20001,22000,20000,20000,20011,20011,20001,20001,20002,20002,20001,20001,20001,20001,20000,20001,20020,20000,20000,20001,20002,21000,20001,20000,20001,20201,20201,20001,20011,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20101,20022,20001,20001,20001,20001,21002,21011,20001,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20002,20020,20002,20000,20001,20000,20022,20000,20000,20000,20000,20000,20000,20000,20000,20011,20000,20001,20100,20002,20001,20001,20000,20002,20000,20100,20001,20000,20002,20000,20000,21000,20020,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,20010,20000,20000,20000,20000,20000,20000,20001,21001,20001,20000,20000,20002,20001,20001,20001,20002,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,22000,22000,22000,22000,22002,22002,22001,22002,22001,22001,20000,20000,20000,20000,20002,20001,20001,20000,20001,20000,20011,22001
ducht,20000,20001,20000,20002,22001,20000,20222,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20002,20000,20002,20002,20200,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20001,21100,21000,20000,20000,20000,20000,20222,20002,20000,20000,20001,20000,20000,20001,20000,20000,20000,20000,20000,20000,20100,20000,20002,20000,20001,20000,20000,20222,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21002,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21000,21000,21000,21000,22000,22002,22000,22000,22000,22001,22000,22001,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,22000
duels,20202,20202,20200,20200,22002,20002,20000,20110,20100,20100,20100,20100,20100,20100,20110,20110,20110,20000,20102,20000,20000,20002,20100,20100,21000,20100,20000,20100,20100,20100,20100,20100,20222,20200,20110,20100,20100,20110,20110,20110,20100,20100,20100,20100,20100,20100,20100,20100,20100,20101,20100,21100,21100,20110,20100,20100,20102,20000,20200,20202,20200,20202,20100,20100,20100,20010,20120,20000,20100,20000,20100,20001,20000,20000,20000,20000,20000,20000,20000,20100,20000,20100,20010,20110,20110,20110,20010,20120,20020,20000,20100,20000,20100,20000,20000,21000,20002,20100,20000,20100,20100,20100,20002,20001,20002,20100,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20200,21200,20102,20000,20000,20100,20100,20100,20102,20100,20000,20000,20000,20000,20000,20002,20001,21002,21000,21010,21002,21002,22010,22001,22010,22000,22100,22100,22100,22100,22110,22100,20010,20002,20000,20002,20100,20210,20200,20001,20100,20020,20100,22100
duffe,20001,20001,20001,20001,22000,20000,20000,20001,20001,20001,20001,20002,20002,20001,20001,20001,20001,20000,20001,20000,20000,20000,20001,20002,21000,20001,20000,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20002,20001,20001,20001,20001,21002,21001,20001,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20002,20000,20002,20000,20001,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20001,20000,20002,20001,20001,20000,20002,20000,20000,20001,20000,20002,20000,20000,21000,20000,20002,20000,20001,20001,20001,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20101,21001,20001,20020,20000,20002,20101,20001,20001,20002,20000,20000,20000,20000,20000,20000,20000,21000,21100,21000,21000,21000,22000,22000,22000,22000,22002,22002,22001,22002,22001,22001,20000,20000,20000,20000,20002,20001,20001,20000,20001,20000,20001,22001
dufst,20010,20011,20000,20002,22011,20010,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20011,20001,20001,21001,20000,20002,20000,20002,20002,20000,20000,20010,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20010,20001,21000,21000,20000,20000,20000,20010,20002,20002,20010,20000,20011,20000,20000,20001,20000,20000,20000,20000,20000,20000,20010,20000,20002,20000,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21002,20010,20000,20000,20000,20000,20000,20010,20022,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,21000,20010,20102,20000,20000,20100,20000,20010,20000,20000,20000,20000,20000,20000,20010,20022,21010,21100,21000,21010,21010,22000,22022,22000,22000,22000,22001,22000,22001,22000,22000,20000,20010,20000,20010,20000,20000,20000,20020,20002,20000,20000,22000
duidt,20000,20101,20000,20002,22201,20000,20002,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20100,20001,20001,20001,21001,20000,20102,20000,20002,20002,20000,20010,20000,20000,20000,20000,20000,20000,20000,20001,20000,20100,20000,20002,20100,20000,20020,20000,20000,20000,20001,21000,21010,20000,20000,20000,20000,20102,20102,20100,20100,20101,20000,20000,20101,20120,20100,20100,20100,20100,20120,20100,20100,20102,20100,20101,20200,20000,20002,20010,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20100,20000,20000,20000,21002,20020,20100,20000,20000,20000,20000,20000,20002,20100,20000,20000,20100,20000,20010,20100,20000,20100,20000,20000,20000,20000,21000,20200,20202,20200,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21100,21100,21000,21000,22000,22202,22100,22000,22000,22001,22000,22001,22000,22000,20000,20000,20000,20000,20000,20100,20000,20100,20002,20000,20010,22000
duikt,20000,20101,20000,20002,22201,20000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20100,20001,20001,20001,21001,20000,20102,20000,20002,20002,20000,20000,20000,20000,20000,20000,20010,20000,20000,20001,20000,20100,20020,20002,20100,20000,20000,20000,20000,20000,20001,21000,21000,20000,20000,20000,20000,20102,20102,20100,20100,20101,20010,20010,20111,20100,20100,20100,20100,20100,20100,20100,20100,20102,20100,20101,20200,20000,20002,20000,20000,20010,20000,20000,20000,20000,20110,20000,20000,20000,20000,20100,20000,20000,20000,21002,20000,20100,20000,20000,20000,20000,20000,20002,20100,20000,20000,20100,20000,20000,20100,20010,20100,20000,20000,20010,20000,21000,20200,20202,20210,20200,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20002,21000,21100,21100,21000,21000,22000,22202,22100,22000,22000,22001,22000,22001,22000,22000,20000,20000,20000,20000,20000,20100,20000,20100,20002,20000,20000,22000
duimt,20000,20101,20020,20002,22201,20000,20002,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20010,20010,20000,20100,20001,20001,20001,21011,20000,20102,20000,20002,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20010,20110,20000,20002,20100,20000,20000,20000,20000,20010,20001,21000,21000,20000,20000,20000,20000,20102,20102,20100,20100,20101,20000,20000,20101,20100,20100,20100,20100,20100,20100,20100,20100,20102,20100,20101,20200,20000,20002,20000,20020,20000,20000,20000,20000,20000,20100,20000,20000,20010,20010,20110,20020,20000,20000,21002,20000,20100,20000,20000,20000,20000,20000,20002,20100,20000,20000,20100,20000,20000,20100,20000,20100,20020,20000,20000,20000,21000,20200,20202,20200,20200,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20002,21000,21100,21100,21020,21000,22000,22202,22100,22020,22000,22001,22000,22001,22000,22000,20000,20000,20000,20000,20000,20100,20000,20100,20002,20000,20000,22000
duldt,20000,20001,20000,20002,22001,20000,20002,20110,20010,20000,20000,20000,20000,20000,20200,20200,20200,20000,20000,20020,20000,20001,20001,20001,21001,20000,20002,20000,20002,20002,20000,20010,20100,20000,20100,20000,20000,20200,20200,20201,20000,20000,20000,20002,20000,20000,20020,20000,20000,20000,20001,21000,21010,20100,20000,20000,20000,20002,20002,20000,20000,20001,20000,20000,20001,20220,20200,20000,20000,20000,20020,20000,20000,20002,20000,20001,20000,20000,20002,20010,20000,20000,20200,20200,20200,20200,20200,20200,20200,20000,20000,20000,20000,20000,20000,21002,20020,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21000,21100,21000,21000,22100,22002,22200,22000,22000,22001,22000,22001,22100,22000,20100,20000,20000,20000,20000,20100,20000,20000,20002,20100,20010,22000
dumpt,20000,20001,20100,20002,22001,20000,20002,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20200,20200,20000,20000,20001,20001,20001,21101,20000,20002,20000,20002,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20200,20100,20000,20012,20010,20000,20000,20000,20000,20100,20001,21000,21000,20000,20000,20000,20000,20002,20002,20000,20020,20001,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20001,20000,20000,20002,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20200,20200,20200,20200,20000,20000,21002,20000,20000,20000,20010,20010,20000,20020,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20010,20020,20002,21000,21000,21000,21100,21000,22000,22002,22000,22200,22000,22001,22000,22001,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,22000
dunde,20101,20001,20001,20101,22000,20000,20000,20011,20011,20101,20001,20002,20002,20101,20001,20101,20001,20000,20001,20220,20200,20000,20101,20002,21000,20001,20000,20101,20001,20001,20001,20111,20001,20101,20001,20101,20101,20101,20001,20001,20101,20201,20202,20001,20001,20001,20022,20101,20101,20001,20001,21002,21011,20001,20101,20001,20001,20000,20001,20101,20002,20001,20101,20001,20002,20020,20002,20200,20201,20200,20022,20000,20100,20000,20000,20000,20100,20000,20000,20111,20000,20101,20000,20002,20101,20001,20000,20002,20000,20000,20101,20000,20002,20200,20200,21200,20020,20002,20100,20101,20001,20101,20000,20000,20000,20101,20001,20000,20100,20010,20000,20000,20100,20000,20100,20100,20001,21101,20001,20000,20100,20002,20001,20001,20001,20002,20100,20100,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,22000,22000,22000,22000,22202,22202,22101,22002,22001,22101,20000,20000,20100,20000,20002,20001,20001,20200,20001,20000,20011,22001
