Guess,riagg,rooms,rabat,rabbi,racen,racer,radar,raden,rader,rad1s,radio,radix,radja,radon,rafel,ragen,rakel,raken,raket,rally,rambo,ramee,ramen,ramin,ramsj,ranch,range,ranja,rapen,rappe,rapte,rasta,ratel,ratio,raven,rav1n,rayon,razen,reaal,ready,realo,rebbe,rebel,rebus,reces,recht,recto,reden,reder,reeds,reeks,reeuw,regel,regen,regie,regio,reien,reiki,reine,rekel,reken,rekke,relax,remix,renen,renet,rente,repel,repen,repro,resem,reset,reten,retor,retro,reuma,reuze,reven,revue,rezen,riant,ribbe,ribes,r1dek,r1den,r1der,r1gen,r1ken,r1kop,r1les,r1men,r1nse,r1pad,r1pen,r1pte,r1ten,r1t1d,r1tje,r1vak,r1ven,r1weg,r1zen,r1zig,rioja,riool,risee,ritme,ritus,rivet,rob1n,robot,roden,rodeo,roede,roest,rogge,roken,roker,roman,romen,romer,romig,ronde,rondo,rooie,rooms,rotan,roten,rotje,rotor,rotte,rouge,route,roven,rover,rozen,rozet,rozig,roz1n,ruche,rugby,ruide,ruien,rul1s,rumba,ruste,ruwen,ruwte,ruzie,r1mer,riziv,riyal,r1bak,r1hal,r1l1n,r1dag,rowan
roder,20000,22000,20000,20000,20020,20022,20202,20220,20222,20200,21200,20200,20200,21200,20020,20020,20020,20020,20020,20000,21000,20020,20020,20000,20000,20000,20010,20000,20020,20010,20010,20000,20020,21000,20020,20000,21000,20020,20010,20110,21010,20010,20020,20010,20020,20010,21010,20220,20222,20110,20010,20010,20020,20020,20010,21010,20020,20010,20010,20020,20020,20010,20010,20010,20020,20020,20010,20020,20020,21011,20020,20020,20020,21012,21011,20010,20010,20020,20010,20020,20000,20010,20020,20220,20220,20222,20020,20020,21000,20020,20020,20010,20100,20020,20010,20020,20100,20010,20000,20020,20020,20020,20000,21000,21000,20020,20010,20000,20020,22000,22000,22220,22220,22110,22010,22010,22020,22022,22000,22020,22022,22000,22110,22100,22010,22000,22000,22020,22010,22002,22010,22010,22010,22020,22022,22020,22020,22000,22000,20010,20000,20110,20020,20000,20000,20010,20020,20010,20010,20022,20000,20000,20000,20000,20000,20200,22000
roeit,20010,22000,20002,20010,20100,20100,20000,20100,20100,20000,21020,20020,20000,21000,20100,20100,20100,20100,20102,20000,21000,20100,20100,20020,20000,20000,20100,20000,20100,20100,20101,20001,20101,21021,20100,20000,21000,20100,20100,20100,21100,20100,20100,20100,20100,20102,21101,20100,20100,20200,20200,20200,20100,20100,20120,21120,20110,20110,20110,20100,20100,20100,20100,20120,20100,20102,20101,20100,20100,21100,20100,20102,20101,21101,21101,20100,20100,20100,20100,20100,20012,20110,20110,20100,20100,20100,20100,20100,21000,20100,20100,20100,20000,20100,20101,20101,20001,20101,20000,20100,20100,20100,20020,21010,21010,20110,20111,20011,20112,22000,22002,22100,22100,22200,22202,22100,22100,22100,22000,22100,22100,22020,22100,22000,22120,22000,22001,22101,22101,22001,22101,22100,22101,22100,22100,22100,22102,22020,22000,20100,20000,20110,20110,20000,20000,20101,20100,20101,20120,20100,20020,20010,20000,20000,20000,20000,22000
roemt,20000,22020,20002,20000,20100,20100,20000,20100,20100,20000,21000,20000,20000,21000,20100,20100,20100,20100,20102,20000,21010,20110,20110,20010,20010,20000,20100,20000,20100,20100,20101,20001,20101,21001,20100,20000,21000,20100,20100,20100,21100,20100,20100,20100,20100,20102,21101,20100,20100,20200,20200,20200,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20100,20110,20100,20102,20101,20100,20100,21100,20110,20102,20101,21101,21101,20120,20100,20100,20100,20100,20002,20100,20100,20100,20100,20100,20100,20100,21000,20100,20110,20100,20000,20100,20101,20101,20001,20101,20000,20100,20100,20100,20000,21000,21000,20100,20121,20001,20102,22000,22002,22100,22100,22200,22202,22100,22100,22100,22010,22110,22110,22010,22100,22000,22100,22020,22001,22101,22101,22001,22101,22100,22101,22100,22100,22100,22102,22000,22000,20100,20000,20100,20100,20000,20010,20101,20100,20101,20100,20110,20000,20000,20000,20000,20000,20000,22000
roept,20000,22000,20002,20000,20100,20100,20000,20100,20100,20000,21000,20000,20000,21000,20100,20100,20100,20100,20102,20000,21000,20100,20100,20000,20000,20000,20100,20000,20110,20120,20111,20001,20101,21001,20100,20000,21000,20100,20100,20100,21100,20100,20100,20100,20100,20102,21101,20100,20100,20200,20200,20200,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,20101,20110,20110,21110,20100,20102,20101,21101,21101,20100,20100,20100,20100,20100,20002,20100,20100,20100,20100,20100,20100,20100,21010,20100,20100,20100,20010,20110,20111,20101,20001,20101,20000,20100,20100,20100,20000,21000,21000,20100,20101,20001,20102,22000,22002,22100,22100,22200,22202,22100,22100,22100,22000,22100,22100,22000,22100,22000,22100,22000,22001,22101,22101,22001,22101,22100,22101,22100,22100,22100,22102,22000,22000,20100,20000,20100,20100,20000,20000,20101,20100,20101,20100,20100,20000,20000,20000,20000,20000,20000,22000
roers,20000,22002,20000,20000,20100,20110,20010,20100,20110,20002,21000,20000,20000,21000,20100,20100,20100,20100,20100,20000,21000,20100,20100,20000,20001,20000,20100,20000,20100,20100,20100,20001,20100,21000,20100,20000,21000,20100,20100,20100,21100,20100,20100,20102,20102,20100,21100,20100,20110,20202,20202,20200,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,21120,20101,20101,20100,21110,21120,20100,20100,20100,20100,20100,20000,20100,20102,20100,20100,20110,20100,20100,21000,20102,20100,20101,20000,20100,20100,20100,20000,20100,20000,20100,20100,20100,20000,21000,21000,20101,20100,20002,20100,22000,22000,22100,22100,22200,22201,22100,22100,22110,22000,22100,22110,22000,22100,22000,22100,22002,22000,22100,22100,22010,22100,22100,22100,22100,22110,22100,22100,22000,22000,20100,20000,20100,20100,20002,20000,20101,20100,20100,20100,20110,20000,20000,20000,20000,20000,20000,22000
roert,20000,22000,20002,20000,20100,20110,20010,20100,20110,20000,21000,20000,20000,21000,20100,20100,20100,20100,20102,20000,21000,20100,20100,20000,20000,20000,20100,20000,20100,20100,20101,20001,20101,21001,20100,20000,21000,20100,20100,20100,21100,20100,20100,20100,20100,20102,21101,20100,20110,20200,20200,20200,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,20101,20100,20100,21120,20100,20102,20101,21111,21121,20100,20100,20100,20100,20100,20002,20100,20100,20100,20100,20110,20100,20100,21000,20100,20100,20100,20000,20100,20101,20101,20001,20101,20000,20100,20100,20100,20000,21000,21000,20100,20101,20001,20102,22000,22002,22100,22100,22200,22202,22100,22100,22110,22000,22100,22110,22000,22100,22000,22100,22000,22001,22101,22101,22011,22101,22100,22101,22100,22110,22100,22102,22000,22000,20100,20000,20100,20100,20000,20000,20101,20100,20101,20100,20110,20000,20000,20000,20000,20000,20000,22000
rogje,20100,22000,20000,20000,20001,20001,20000,20001,20001,20000,21000,20000,20020,21000,20001,20201,20001,20001,20001,20000,21000,20002,20001,20000,20010,20000,20102,20020,20001,20002,20002,20000,20001,21000,20001,20000,21000,20001,20001,20001,21001,20002,20001,20001,20001,20001,21001,20001,20001,20001,20001,20001,20201,20201,20202,21201,20001,20001,20002,20001,20001,20002,20001,20001,20001,20001,20002,20001,20001,21001,20001,20001,20001,21001,21001,20001,20002,20001,20002,20001,20000,20002,20001,20001,20001,20001,20201,20001,21000,20001,20001,20002,20000,20001,20002,20001,20000,20022,20000,20001,20101,20001,20100,21020,21000,20002,20002,20000,20001,22000,22000,22001,22001,22002,22001,22202,22001,22001,22000,22001,22001,22100,22002,22000,22002,22000,22000,22001,22022,22000,22002,22102,22002,22001,22001,22001,22001,22100,22000,20002,20200,20002,20001,20000,20000,20002,20001,20002,20002,20001,20000,20000,20000,20000,20000,20100,22000
rokje,20000,22000,20000,20000,20001,20001,20000,20001,20001,20000,21000,20000,20020,21000,20001,20001,20201,20201,20201,20000,21000,20002,20001,20000,20010,20000,20002,20020,20001,20002,20002,20000,20001,21000,20001,20000,21000,20001,20001,20001,21001,20002,20001,20001,20001,20001,21001,20001,20001,20001,20101,20001,20001,20001,20002,21001,20001,20101,20002,20201,20201,20202,20001,20001,20001,20001,20002,20001,20001,21001,20001,20001,20001,21001,21001,20001,20002,20001,20002,20001,20000,20002,20001,20101,20001,20001,20001,20201,21200,20001,20001,20002,20000,20001,20002,20001,20000,20022,20100,20001,20001,20001,20000,21020,21000,20002,20002,20000,20001,22000,22000,22001,22001,22002,22001,22002,22201,22201,22000,22001,22001,22000,22002,22000,22002,22000,22000,22001,22022,22000,22002,22002,22002,22001,22001,22001,22001,22000,22000,20002,20000,20002,20001,20000,20000,20002,20001,20002,20002,20001,20000,20000,20100,20000,20000,20000,22000
rokte,20000,22000,20010,20000,20001,20001,20000,20001,20001,20000,21000,20000,20000,21000,20001,20001,20201,20201,20211,20000,21000,20002,20001,20000,20000,20000,20002,20000,20001,20002,20022,20020,20011,21010,20001,20000,21000,20001,20001,20001,21001,20002,20001,20001,20001,20011,21021,20001,20001,20001,20101,20001,20001,20001,20002,21001,20001,20101,20002,20201,20201,20202,20001,20001,20001,20011,20022,20001,20001,21001,20001,20011,20011,21011,21011,20001,20002,20001,20002,20001,20010,20002,20001,20101,20001,20001,20001,20201,21200,20001,20001,20002,20000,20001,20022,20011,20010,20012,20100,20001,20001,20001,20000,21000,21000,20002,20012,20010,20011,22000,22010,22001,22001,22002,22011,22002,22201,22201,22000,22001,22001,22000,22002,22000,22002,22000,22010,22011,22012,22010,22022,22002,22022,22001,22001,22001,22011,22000,22000,20002,20000,20002,20001,20000,20000,20022,20001,20022,20002,20001,20000,20000,20100,20000,20000,20000,22000
rolde,20000,22000,20000,20000,20001,20001,20010,20011,20011,20010,21010,20010,20010,21010,20101,20001,20101,20001,20001,20200,21000,20002,20001,20000,20000,20000,20002,20000,20001,20002,20002,20000,20101,21000,20001,20000,21000,20001,20101,20021,21101,20002,20101,20001,20001,20001,21001,20011,20011,20021,20001,20001,20101,20001,20002,21001,20001,20001,20002,20101,20001,20002,20201,20001,20001,20001,20002,20101,20001,21001,20001,20001,20001,21001,21001,20001,20002,20001,20002,20001,20000,20002,20001,20011,20011,20011,20001,20001,21000,20201,20001,20002,20010,20001,20002,20001,20010,20002,20000,20001,20001,20001,20000,21000,21100,20002,20002,20000,20001,22000,22000,22011,22011,22022,22001,22002,22001,22001,22000,22001,22001,22000,22022,22020,22002,22000,22000,22001,22002,22000,22002,22002,22002,22001,22001,22001,22001,22000,22000,20002,20000,20022,20001,20200,20000,20002,20001,20002,20002,20001,20000,20100,20000,20100,20200,20010,22000
rondt,20000,22000,20002,20000,20100,20000,20010,20110,20010,20010,21010,20010,20010,21110,20000,20100,20000,20100,20002,20000,21000,20000,20100,20100,20000,20200,20200,20200,20100,20000,20001,20001,20001,21001,20100,20100,21100,20100,20000,20020,21000,20000,20000,20000,20000,20002,21001,20110,20010,20020,20000,20000,20000,20100,20000,21000,20100,20000,20100,20000,20100,20000,20000,20000,20200,20202,20201,20000,20100,21000,20000,20002,20101,21001,21001,20000,20000,20100,20000,20100,20102,20000,20000,20010,20110,20010,20100,20100,21000,20000,20100,20200,20010,20100,20001,20101,20011,20001,20000,20100,20000,20100,20000,21000,21000,20000,20001,20001,20002,22100,22002,22110,22010,22020,22002,22000,22100,22000,22100,22100,22000,22000,22220,22220,22000,22000,22101,22101,22001,22001,22001,22000,22001,22100,22000,22100,22002,22000,22100,20000,20000,20020,20100,20000,20000,20001,20100,20001,20000,20000,20000,20000,20000,20000,20100,20010,22100
ronkt,20000,22000,20002,20000,20100,20000,20000,20100,20000,20000,21000,20000,20000,21100,20000,20100,20010,20110,20012,20000,21000,20000,20100,20100,20000,20200,20200,20200,20100,20000,20001,20001,20001,21001,20100,20100,21100,20100,20000,20000,21000,20000,20000,20000,20000,20002,21001,20100,20000,20000,20020,20000,20000,20100,20000,21000,20100,20020,20100,20010,20110,20020,20000,20000,20200,20202,20201,20000,20100,21000,20000,20002,20101,21001,21001,20000,20000,20100,20000,20100,20102,20000,20000,20010,20100,20000,20100,20110,21010,20000,20100,20200,20000,20100,20001,20101,20001,20001,20010,20100,20000,20100,20000,21000,21000,20000,20001,20001,20002,22100,22002,22100,22000,22000,22002,22000,22110,22010,22100,22100,22000,22000,22200,22200,22000,22000,22101,22101,22001,22001,22001,22000,22001,22100,22000,22100,22002,22000,22100,20000,20000,20000,20100,20000,20000,20001,20100,20001,20000,20000,20000,20000,20010,20000,20100,20000,22100
rooft,20000,22200,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,20010,20000,20000,20000,20002,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,21000,20000,20000,20000,21000,20000,20000,20000,20000,20002,21001,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20000,20000,21000,20000,20002,20001,21001,21001,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20000,20200,21200,20000,20001,20001,20002,22000,22102,22000,22100,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22100,22200,22200,22001,22001,22001,22101,22001,22000,22001,22000,22000,22000,22002,22000,22000,20000,20000,20000,20000,20000,20000,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,22000
rooit,20010,22200,20002,20010,20000,20000,20000,20000,20000,20000,21020,20020,20000,21000,20000,20000,20000,20000,20002,20000,21000,20000,20000,20020,20000,20000,20000,20000,20000,20000,20001,20001,20001,21021,20000,20000,21000,20000,20000,20000,21000,20000,20000,20000,20000,20002,21001,20000,20000,20000,20000,20000,20000,20000,20020,21020,20010,20010,20010,20000,20000,20000,20000,20020,20000,20002,20001,20000,20000,21000,20000,20002,20001,21001,21001,20000,20000,20000,20000,20000,20012,20010,20010,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20020,20210,21210,20010,20011,20011,20012,22000,22102,22000,22100,22000,22002,22000,22000,22000,22000,22000,22000,22020,22000,22100,22220,22200,22001,22001,22001,22101,22001,22000,22001,22000,22000,22000,22002,22020,22000,20000,20000,20010,20010,20000,20000,20001,20000,20001,20020,20000,20020,20010,20000,20000,20000,20000,22000
rookt,20000,22200,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20010,20010,20012,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,21000,20000,20000,20000,21000,20000,20000,20000,20000,20002,21001,20000,20000,20000,20020,20000,20000,20000,20000,21000,20000,20020,20000,20010,20010,20020,20000,20000,20000,20002,20001,20000,20000,21000,20000,20002,20001,21001,21001,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20000,20010,21010,20000,20000,20000,20000,20000,20001,20001,20001,20001,20010,20000,20000,20000,20000,20200,21200,20000,20001,20001,20002,22000,22102,22000,22100,22000,22002,22000,22010,22010,22000,22000,22000,22000,22000,22100,22200,22200,22001,22001,22001,22101,22001,22000,22001,22000,22000,22000,22002,22000,22000,20000,20000,20000,20000,20000,20000,20001,20000,20001,20000,20000,20000,20000,20010,20000,20000,20000,22000
roomt,20000,22220,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20000,20000,20002,20000,21010,20010,20010,20010,20010,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,21000,20000,20000,20000,21000,20000,20000,20000,20000,20002,21001,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20002,20001,20000,20000,21000,20010,20002,20001,21001,21001,20020,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20010,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20000,20200,21200,20000,20021,20001,20002,22000,22102,22000,22100,22000,22002,22000,22000,22000,22010,22010,22010,22010,22000,22100,22200,22220,22001,22001,22001,22101,22001,22000,22001,22000,22000,22000,22002,22000,22000,20000,20000,20000,20000,20000,20010,20001,20000,20001,20000,20010,20000,20000,20000,20000,20000,20000,22000
roost,20000,22210,20002,20000,20000,20000,20000,20000,20000,20010,21000,20000,20000,21000,20000,20000,20000,20000,20002,20000,21000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20001,20011,20001,21001,20000,20000,21000,20000,20000,20000,21000,20000,20000,20010,20010,20002,21001,20000,20000,20010,20010,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20000,20000,21000,20010,20012,20001,21001,21001,20000,20000,20000,20000,20000,20002,20000,20010,20000,20000,20000,20000,20000,21000,20010,20000,20020,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20000,20200,21200,20010,20001,20011,20002,22000,22102,22000,22100,22000,22022,22000,22000,22000,22000,22000,22000,22000,22000,22100,22200,22210,22001,22001,22001,22101,22001,22000,22001,22000,22000,22000,22002,22000,22000,20000,20000,20000,20000,20010,20000,20011,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,22000
ropte,20000,22000,20010,20000,20001,20001,20000,20001,20001,20000,21000,20000,20000,21000,20001,20001,20001,20001,20011,20000,21000,20002,20001,20000,20000,20000,20002,20000,20201,20202,20222,20020,20011,21010,20001,20000,21000,20001,20001,20001,21001,20002,20001,20001,20001,20011,21021,20001,20001,20001,20001,20001,20001,20001,20002,21001,20001,20001,20002,20001,20001,20002,20001,20001,20001,20011,20022,20201,20201,21201,20001,20011,20011,21011,21011,20001,20002,20001,20002,20001,20010,20002,20001,20001,20001,20001,20001,20001,21100,20001,20001,20002,20200,20201,20222,20011,20010,20012,20000,20001,20001,20001,20000,21000,21000,20002,20012,20010,20011,22000,22010,22001,22001,22002,22011,22002,22001,22001,22000,22001,22001,22000,22002,22000,22002,22000,22010,22011,22012,22010,22022,22002,22022,22001,22001,22001,22011,22000,22000,20002,20000,20002,20001,20000,20000,20022,20001,20022,20002,20001,20000,20000,20000,20000,20000,20000,22000
rosse,20000,22100,20000,20000,20001,20001,20000,20001,20001,20100,21000,20000,20000,21000,20001,20001,20001,20001,20001,20000,21000,20002,20001,20000,20020,20000,20002,20000,20001,20002,20002,20200,20001,21000,20001,20000,21000,20001,20001,20001,21001,20002,20001,20101,20101,20001,21001,20001,20001,20101,20101,20001,20001,20001,20002,21001,20001,20001,20002,20001,20001,20002,20001,20001,20001,20001,20002,20001,20001,21001,20201,20201,20001,21001,21001,20001,20002,20001,20002,20001,20000,20002,20101,20001,20001,20001,20001,20001,21000,20101,20001,20022,20000,20001,20002,20001,20000,20002,20000,20001,20001,20001,20000,21000,21000,20202,20002,20100,20001,22000,22000,22001,22001,22002,22021,22002,22001,22001,22000,22001,22001,22000,22002,22000,22002,22100,22000,22001,22002,22000,22002,22002,22002,22001,22001,22001,22001,22000,22000,20002,20000,20002,20001,20100,20000,20202,20001,20002,20002,20001,20000,20000,20000,20000,20000,20000,22000
roste,20000,22100,20010,20000,20001,20001,20000,20001,20001,20100,21000,20000,20000,21000,20001,20001,20001,20001,20011,20000,21000,20002,20001,20000,20100,20000,20002,20000,20001,20002,20022,20220,20011,21010,20001,20000,21000,20001,20001,20001,21001,20002,20001,20101,20101,20011,21021,20001,20001,20101,20101,20001,20001,20001,20002,21001,20001,20001,20002,20001,20001,20002,20001,20001,20001,20011,20022,20001,20001,21001,20201,20211,20011,21011,21011,20001,20002,20001,20002,20001,20010,20002,20101,20001,20001,20001,20001,20001,21000,20101,20001,20102,20000,20001,20022,20011,20010,20012,20000,20001,20001,20001,20000,21000,21000,20202,20012,20110,20011,22000,22010,22001,22001,22002,22111,22002,22001,22001,22000,22001,22001,22000,22002,22000,22002,22100,22010,22011,22012,22010,22022,22002,22022,22001,22001,22001,22011,22000,22000,20002,20000,20002,20001,20100,20000,20222,20001,20022,20002,20001,20000,20000,20000,20000,20000,20000,22000
rotst,20000,22010,20002,20000,20000,20000,20000,20000,20000,20010,21000,20000,20000,21000,20000,20000,20000,20000,20002,20000,21000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20100,20110,20200,21200,20000,20000,21000,20000,20000,20000,21000,20000,20000,20010,20010,20002,21100,20000,20000,20010,20010,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20100,20000,20000,21000,20010,20012,20200,21200,21200,20000,20000,20000,20000,20000,20002,20000,20010,20000,20000,20000,20000,20000,21000,20010,20000,20020,20000,20000,20100,20200,20200,20200,20000,20000,20000,20000,20000,21000,21000,20010,20200,20210,20002,22000,22002,22000,22000,22000,22022,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22200,22200,22200,22200,22201,22000,22100,22000,22000,22000,22002,22000,22000,20000,20000,20000,20000,20010,20000,20110,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,22000
rouwe,20000,22000,20000,20000,20001,20001,20000,20001,20001,20000,21000,20000,20000,21000,20001,20001,20001,20001,20001,20000,21000,20002,20001,20000,20000,20000,20002,20000,20001,20002,20002,20000,20001,21000,20001,20000,21000,20001,20001,20001,21001,20002,20001,20101,20001,20001,21001,20001,20001,20001,20001,20111,20001,20001,20002,21001,20001,20001,20002,20001,20001,20002,20001,20001,20001,20001,20002,20001,20001,21001,20001,20001,20001,21001,21001,20201,20202,20001,20102,20001,20000,20002,20001,20001,20001,20001,20001,20001,21000,20001,20001,20002,20000,20001,20002,20001,20000,20002,20000,20001,20011,20001,20000,21000,21000,20002,20002,20100,20001,22000,22000,22001,22001,22002,22001,22002,22001,22001,22000,22001,22001,22000,22002,22000,22002,22000,22000,22001,22002,22000,22002,22202,22202,22001,22001,22001,22001,22000,22000,20102,20100,20102,20101,20100,20100,20102,20111,20112,20102,20001,20000,20000,20000,20000,20000,20000,22010
rouwt,20000,22000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20000,20000,20002,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,21000,20000,20000,20000,21000,20000,20000,20100,20000,20002,21001,20000,20000,20000,20000,20110,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20000,20000,21000,20000,20002,20001,21001,21001,20200,20200,20000,20100,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20010,20000,20000,21000,21000,20000,20001,20101,20002,22000,22002,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22200,22201,22000,22000,22000,22002,22000,22000,20100,20100,20100,20100,20100,20100,20101,20110,20111,20100,20000,20000,20000,20000,20000,20000,20000,22010
rugje,20100,20000,20000,20000,20001,20001,20000,20001,20001,20000,20000,20000,20020,20000,20001,20201,20001,20001,20001,20000,20000,20002,20001,20000,20010,20000,20102,20020,20001,20002,20002,20000,20001,20000,20001,20000,20000,20001,20001,20001,20001,20002,20001,21001,20001,20001,20001,20001,20001,20001,20001,21001,20201,20201,20202,20201,20001,20001,20002,20001,20001,20002,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20001,20001,21001,21002,20001,21002,20001,20000,20002,20001,20001,20001,20001,20201,20001,20000,20001,20001,20002,20000,20001,20002,20001,20000,20022,20000,20001,20101,20001,20100,20020,20000,20002,20002,21000,20001,20000,20000,20001,20001,20002,20001,20202,20001,20001,20000,20001,20001,20100,20002,20000,20002,20000,20000,20001,20022,20000,20002,21102,21002,20001,20001,20001,20001,20100,20000,22002,22200,22002,22001,22000,22000,22002,22001,22002,22002,20001,20000,20000,20000,20000,20000,20100,20000
ruift,20100,20000,20002,20100,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20001,20001,20001,20101,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20001,20000,20000,20000,20000,21000,20000,20000,20100,20100,20200,20200,20200,20000,20000,20000,20000,20100,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,21000,20000,20102,20100,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20100,20100,20100,20100,20101,21101,20102,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20100,20000,20000,20100,20000,20001,20001,20001,20001,20001,21000,21001,20000,20000,20000,20002,20100,20000,22000,22000,22200,22200,22000,22000,22001,22000,22001,22100,20000,20100,20100,20000,20000,20000,20000,20000
ruige,20120,20000,20000,20100,20001,20001,20000,20001,20001,20000,20100,20100,20000,20000,20001,20011,20001,20001,20001,20000,20000,20002,20001,20100,20000,20000,20022,20000,20001,20002,20002,20000,20001,20100,20001,20000,20000,20001,20001,20001,20001,20002,20001,21001,20001,20001,20001,20001,20001,20001,20001,21001,20011,20011,20112,20111,20201,20201,20202,20001,20001,20002,20001,20101,20001,20001,20002,20001,20001,20001,20001,20001,20001,20001,20001,21001,21002,20001,21002,20001,20100,20102,20101,20001,20001,20001,20011,20001,20000,20001,20001,20002,20000,20001,20002,20001,20000,20002,20000,20001,20011,20001,20110,20100,20100,20102,20102,21100,20101,20000,20000,20001,20001,20002,20001,20022,20001,20001,20000,20001,20001,20110,20002,20000,20102,20000,20000,20001,20002,20000,20002,21022,21002,20001,20001,20001,20001,20110,20000,22002,22010,22202,22201,22000,22000,22002,22001,22002,22102,20001,20100,20100,20000,20000,20000,20010,20000
ruikt,20100,20000,20002,20100,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20000,20000,20010,20010,20012,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20001,20001,20001,20101,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20001,20000,20000,20000,20020,21000,20000,20000,20100,20100,20200,20220,20200,20010,20010,20020,20000,20100,20000,20002,20001,20000,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,21000,20000,20102,20100,20100,20010,20000,20000,20000,20010,20010,20000,20000,20000,20000,20000,20001,20001,20001,20001,20010,20000,20000,20000,20100,20100,20100,20100,20101,21101,20102,20000,20002,20000,20000,20000,20002,20000,20010,20010,20000,20000,20000,20100,20000,20000,20100,20000,20001,20001,20001,20001,20001,21000,21001,20000,20000,20000,20002,20100,20000,22000,22000,22200,22200,22000,22000,22001,22000,22001,22100,20000,20100,20100,20010,20000,20000,20000,20000
ruilt,20100,20000,20002,20100,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20010,20000,20010,20000,20002,20020,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20001,20001,20011,20101,20000,20000,20000,20000,20010,20000,20020,20000,20010,21000,20000,20002,20001,20000,20000,20000,20000,21000,20010,20000,20100,20100,20200,20200,20200,20010,20000,20000,20010,20100,20000,20002,20001,20010,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,21000,20000,20102,20100,20100,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20000,20100,20100,20110,20100,20101,21101,20102,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20100,20000,20000,20100,20000,20001,20001,20001,20001,20001,21000,21001,20000,20000,20000,20002,20100,20000,22000,22000,22200,22200,22010,22000,22001,22000,22001,22100,20000,20100,20110,20000,20010,20010,20000,20000
