Guess,lapse,lat1n,leeuw,laaie,laars,label,laden,lader,lagen,lager,lakei,laken,lamel,lamet,lamme,lands,lange,langs,lapel,laren,large,largo,larie,larve,laser,lasso,laste,latei,laten,later,latex,lat1n,latuw,lavas,laven,lavet,lazen,lazer,lease,lebbe,leden,leder,ledig,leers,leest,leeuw,legen,leger,leges,legio,leien,leken,lelie,lel1k,lemen,lemma,lende,lenen,lener,lenig,lente,lento,lenze,lepel,lepra,leren,lesbo,leste,leute,leuze,leven,lever,lezen,lezer,liaan,liane,libel,licht,lieve,l1den,l1der,l1fje,l1ken,l1kwa,l1men,l1mer,l1mig,l1nen,l1ven,l1vig,l1zen,l1zig,liman,limbo,limes,limit,linde,linie,links,linze,lipje,liter,litho,lobby,locus,loden,loens,logee,logen,logos,loipe,loken,loket,lokus,lolly,lomig,lonen,loods,loops,lopen,loper,lorre,loser,losse,loten,lotje,lotto,lotus,loven,lover,lozen,lucht,luide,luien,luier,lullo,lumme,lunch,lunet,lupus,lutje,luwen,luwte,lycra,lymfe,lysol,lumen,level
logde,20002,20000,20001,20002,20000,20001,20011,20011,20201,20201,20001,20001,20001,20001,20002,20020,20102,20100,20001,20001,20102,21100,20002,20002,20001,21000,20002,20001,20001,20001,20001,20000,20000,20000,20001,20001,20001,20001,20002,20002,20011,20011,20111,20001,20001,20001,20201,20201,20201,21201,20001,20001,20002,20001,20001,20001,20022,20001,20001,20101,20002,21001,20002,20001,20001,20001,21001,20002,20002,20002,20001,20001,20001,20001,20000,20002,20001,20000,20002,20011,20011,20002,20001,20000,20001,20001,20100,20001,20001,20100,20001,20100,20000,21000,20001,20000,20022,20002,20000,20002,20002,20001,21000,22000,22000,22011,22001,22202,22201,22200,22002,22001,22001,22000,22000,22100,22001,22020,22000,22001,22001,22002,22001,22002,22001,22002,22000,22000,22001,22001,22001,20000,20022,20001,20001,21000,20002,20000,20001,20000,20002,20001,20002,20000,20002,21000,20001,20001
loges,20011,20000,20010,20010,20002,20020,20020,20020,20220,20220,20020,20020,20020,20020,20010,20002,20110,20102,20020,20020,20110,21100,20010,20010,20021,21001,20011,20020,20020,20020,20020,20000,20000,20002,20020,20020,20020,20020,20011,20010,20020,20020,20110,20012,20011,20010,20220,20220,20222,21210,20020,20020,20010,20010,20020,20010,20010,20020,20020,20110,20010,21010,20010,20020,20010,20020,21011,20011,20010,20010,20020,20020,20020,20020,20000,20010,20020,20000,20010,20020,20020,20010,20020,20000,20020,20020,20100,20020,20020,20100,20020,20100,20000,21000,20022,20000,20010,20010,20002,20010,20010,20020,21000,22000,22002,22020,22012,22220,22220,22202,22010,22020,22020,22002,22000,22100,22020,22002,22002,22020,22020,22010,22021,22011,22020,22010,22000,22002,22020,22020,22020,20000,20010,20020,20020,21000,20010,20000,20020,20002,20010,20020,20010,20000,20010,21001,20020,20020
logge,20002,20000,20001,20002,20000,20001,20001,20001,20201,20201,20001,20001,20001,20001,20002,20000,20022,20020,20001,20001,20022,21020,20002,20002,20001,21000,20002,20001,20001,20001,20001,20000,20000,20000,20001,20001,20001,20001,20002,20002,20001,20001,20101,20001,20001,20001,20201,20201,20201,21201,20001,20001,20002,20001,20001,20001,20002,20001,20001,20101,20002,21001,20002,20001,20001,20001,21001,20002,20002,20002,20001,20001,20001,20001,20000,20002,20001,20000,20002,20001,20001,20002,20001,20000,20001,20001,20100,20001,20001,20100,20001,20100,20000,21000,20001,20000,20002,20002,20000,20002,20002,20001,21000,22000,22000,22001,22001,22202,22201,22200,22002,22001,22001,22000,22000,22100,22001,22000,22000,22001,22001,22002,22001,22002,22001,22002,22000,22000,22001,22001,22001,20000,20002,20001,20001,21000,20002,20000,20001,20000,20002,20001,20002,20000,20002,21000,20001,20001
logst,20020,20001,20000,20000,20010,20000,20000,20000,20200,20200,20000,20000,20000,20002,20000,20010,20100,20110,20000,20000,20100,21100,20000,20000,20010,21020,20011,20001,20001,20001,20001,20001,20001,20010,20000,20002,20000,20000,20020,20000,20000,20000,20100,20010,20022,20000,20200,20200,20210,21200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20001,21001,20000,20000,20000,20000,21010,20011,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20100,20000,20100,20000,21000,20010,20002,20000,20000,20010,20000,20000,20001,21001,22000,22010,22000,22010,22200,22200,22210,22000,22000,22002,22010,22000,22100,22000,22010,22010,22000,22000,22000,22010,22020,22001,22001,22001,22011,22000,22000,22000,20002,20000,20000,20000,21000,20000,20000,20002,20010,20001,20000,20001,20000,20000,21010,20000,20000
lokte,20002,20010,20001,20002,20000,20001,20001,20001,20001,20001,20201,20201,20001,20011,20002,20000,20002,20000,20001,20001,20002,21000,20002,20002,20001,21000,20022,20011,20011,20011,20011,20010,20010,20000,20001,20011,20001,20001,20002,20002,20001,20001,20001,20001,20011,20001,20001,20001,20001,21001,20001,20201,20002,20101,20001,20001,20002,20001,20001,20001,20022,21021,20002,20001,20001,20001,21001,20022,20022,20002,20001,20001,20001,20001,20000,20002,20001,20010,20002,20001,20001,20002,20201,20200,20001,20001,20000,20001,20001,20000,20001,20000,20000,21000,20001,20010,20002,20002,20100,20002,20002,20011,21010,22000,22000,22001,22001,22002,22001,22000,22002,22201,22211,22200,22000,22000,22001,22000,22000,22001,22001,22002,22001,22002,22011,22012,22020,22010,22001,22001,22001,20010,20002,20001,20001,21000,20002,20000,20011,20000,20012,20001,20022,20000,20002,21000,20001,20001
lolde,20002,20000,20001,20002,20000,20101,20011,20011,20001,20001,20001,20001,20101,20001,20002,20020,20002,20000,20101,20001,20002,21000,20002,20002,20001,21000,20002,20001,20001,20001,20001,20000,20000,20000,20001,20001,20001,20001,20002,20002,20011,20011,20011,20001,20001,20001,20001,20001,20001,21001,20001,20001,20202,20201,20001,20001,20022,20001,20001,20001,20002,21001,20002,20101,20001,20001,21001,20002,20002,20002,20001,20001,20001,20001,20000,20002,20101,20000,20002,20011,20011,20002,20001,20000,20001,20001,20000,20001,20001,20000,20001,20000,20000,21000,20001,20000,20022,20002,20000,20002,20002,20001,21000,22000,22000,22011,22001,22002,22001,22000,22002,22001,22001,22000,22200,22000,22001,22020,22000,22001,22001,22002,22001,22002,22001,22002,22000,22000,22001,22001,22001,20000,20022,20001,20001,21200,20002,20000,20001,20000,20002,20001,20002,20000,20002,21100,20001,20101
lomer,20010,20000,20010,20010,20001,20020,20020,20022,20020,20022,20020,20020,20220,20220,20210,20000,20010,20000,20020,20021,20011,21001,20011,20011,20022,21000,20010,20020,20020,20022,20020,20000,20000,20000,20020,20020,20020,20022,20010,20010,20020,20022,20010,20011,20010,20010,20020,20022,20020,21010,20020,20020,20010,20010,20220,20210,20010,20020,20022,20010,20010,21010,20010,20020,20011,20021,21010,20010,20010,20010,20020,20022,20020,20022,20000,20010,20020,20000,20010,20020,20022,20010,20020,20000,20220,20222,20200,20020,20020,20000,20020,20000,20200,21200,20220,20200,20010,20010,20000,20010,20010,20022,21000,22000,22000,22020,22010,22020,22020,22000,22010,22020,22020,22000,22000,22200,22020,22000,22000,22020,22022,22011,22022,22010,22020,22010,22000,22000,22020,22022,22020,20000,20010,20020,20022,21000,20210,20000,20020,20000,20010,20020,20010,20001,20210,21000,20220,20020
lompe,20012,20000,20001,20002,20000,20001,20001,20001,20001,20001,20001,20001,20201,20201,20202,20000,20002,20000,20011,20001,20002,21000,20002,20002,20001,21000,20002,20001,20001,20001,20001,20000,20000,20000,20001,20001,20001,20001,20002,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20002,20001,20201,20201,20002,20001,20001,20001,20002,21001,20002,20011,20011,20001,21001,20002,20002,20002,20001,20001,20001,20001,20000,20002,20001,20000,20002,20001,20001,20002,20001,20000,20201,20201,20200,20001,20001,20000,20001,20000,20200,21200,20201,20200,20002,20002,20000,20002,20012,20001,21000,22000,22000,22001,22001,22002,22001,22000,22022,22001,22001,22000,22000,22200,22001,22000,22020,22011,22011,22002,22001,22002,22001,22002,22000,22000,22001,22001,22001,20000,20002,20001,20001,21000,20202,20000,20001,20010,20002,20001,20002,20000,20202,21000,20201,20001
lonkt,20000,20101,20000,20000,20000,20000,20100,20000,20100,20000,20010,20110,20000,20002,20000,20200,20200,20200,20000,20100,20000,21000,20000,20000,20000,21000,20001,20001,20101,20001,20001,20101,20001,20000,20100,20002,20100,20000,20000,20000,20100,20000,20000,20000,20002,20000,20100,20000,20000,21000,20100,20110,20000,20010,20100,20000,20200,20200,20200,20200,20201,21201,20200,20000,20000,20100,21000,20001,20001,20000,20100,20000,20100,20000,20100,20100,20000,20002,20000,20100,20000,20000,20110,20010,20100,20000,20000,20200,20100,20000,20100,20000,20100,21000,20000,20002,20200,20200,20220,20200,20000,20001,21001,22000,22000,22100,22100,22000,22100,22000,22000,22110,22012,22010,22000,22000,22200,22000,22000,22100,22000,22000,22000,22000,22101,22001,22001,22001,22100,22000,22100,20002,20000,20100,20000,21000,20000,20200,20202,20000,20001,20100,20001,20000,20000,21000,20100,20000
loodt,20000,20001,20000,20000,20000,20000,20010,20010,20000,20000,20000,20000,20000,20002,20000,20020,20000,20000,20000,20000,20000,21000,20000,20000,20000,21000,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,20000,20000,20010,20010,20010,20000,20002,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20000,20001,21001,20000,20000,20000,20000,21000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20020,20000,20000,20000,20000,20001,21001,22000,22000,22010,22000,22000,22000,22100,22000,22000,22002,22000,22000,22000,22000,22220,22200,22000,22000,22000,22000,22000,22001,22001,22101,22001,22000,22000,22000,20002,20020,20000,20000,21000,20000,20000,20002,20000,20001,20000,20001,20000,20000,21000,20000,20000
looft,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,21000,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,21001,20000,20000,20000,20000,21000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20001,21001,22000,22000,22000,22000,22000,22000,22100,22000,22000,22002,22000,22000,22000,22000,22200,22200,22000,22000,22000,22000,22000,22001,22001,22101,22001,22000,22000,22000,20002,20000,20000,20000,21000,20000,20000,20002,20000,20001,20000,20001,20000,20020,21000,20000,20000
loogt,20000,20001,20000,20000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20002,20000,20000,20020,20020,20000,20000,20020,21020,20000,20000,20000,21000,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20002,20000,20010,20010,20010,21010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20001,21001,20000,20000,20000,20000,21000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20010,20000,20010,20000,21000,20000,20002,20000,20000,20000,20000,20000,20001,21001,22000,22000,22000,22000,22010,22010,22110,22000,22000,22002,22000,22000,22010,22000,22200,22200,22000,22000,22000,22000,22000,22001,22001,22101,22001,22000,22000,22000,20002,20000,20000,20000,21000,20000,20000,20002,20000,20001,20000,20001,20000,20000,21000,20000,20000
looit,20000,20001,20000,20020,20000,20000,20000,20000,20000,20000,20010,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,21000,20020,20000,20000,21000,20001,20011,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20020,20000,20002,20000,20000,20000,20000,21020,20010,20000,20020,20000,20000,20000,20000,20000,20000,20020,20001,21001,20000,20000,20000,20000,21000,20001,20001,20000,20000,20000,20000,20000,20010,20010,20010,20012,20010,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20020,20000,20020,20010,21010,20010,20022,20010,20020,20010,20010,20010,20011,21011,22000,22000,22000,22000,22000,22000,22100,22010,22000,22002,22000,22000,22020,22000,22200,22200,22000,22000,22000,22000,22000,22001,22001,22101,22001,22000,22000,22000,20002,20010,20010,20010,21000,20000,20000,20002,20000,20001,20000,20001,20000,20000,21000,20000,20000
loont,20000,20011,20000,20000,20000,20000,20010,20000,20010,20000,20000,20010,20000,20002,20000,20010,20010,20010,20000,20010,20000,21000,20000,20000,20000,21000,20001,20001,20011,20001,20001,20011,20001,20000,20010,20002,20010,20000,20000,20000,20010,20000,20000,20000,20002,20000,20010,20000,20000,21000,20010,20010,20000,20000,20010,20000,20010,20010,20010,20010,20011,21011,20010,20000,20000,20010,21000,20001,20001,20000,20010,20000,20010,20000,20010,20020,20000,20002,20000,20010,20000,20000,20010,20000,20010,20000,20000,20010,20010,20000,20010,20000,20010,21000,20000,20002,20010,20010,20010,20010,20000,20001,21001,22000,22000,22010,22020,22000,22010,22100,22000,22010,22002,22000,22000,22000,22010,22200,22200,22010,22000,22000,22000,22000,22011,22001,22101,22001,22010,22000,22010,20002,20000,20010,20000,21000,20000,20010,20012,20000,20001,20010,20001,20000,20000,21000,20010,20000
loopt,20010,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20010,20000,20000,21000,20000,20000,20000,21000,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,21001,20000,20010,20010,20000,21000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20010,20001,21001,22000,22000,22000,22000,22000,22000,22100,22020,22000,22002,22000,22000,22000,22000,22200,22220,22010,22010,22000,22000,22000,22001,22001,22101,22001,22000,22000,22000,20002,20000,20000,20000,21000,20000,20000,20002,20010,20001,20000,20001,20000,20000,21000,20000,20000
loost,20020,20001,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20010,20000,20010,20000,20000,20000,21000,20000,20000,20010,21020,20011,20001,20001,20001,20001,20001,20001,20010,20000,20002,20000,20000,20020,20000,20000,20000,20000,20010,20022,20000,20000,20000,20010,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,21001,20000,20000,20000,20000,21010,20011,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20010,20002,20000,20000,20010,20000,20000,20001,21001,22000,22010,22000,22010,22000,22000,22110,22000,22000,22002,22010,22000,22000,22000,22210,22210,22000,22000,22000,22010,22020,22001,22001,22101,22011,22000,22000,22000,20002,20000,20000,20000,21000,20000,20000,20002,20010,20001,20000,20001,20000,20000,21010,20000,20000
lorde,20002,20000,20001,20002,20100,20001,20011,20111,20001,20101,20001,20001,20001,20001,20002,20020,20002,20000,20001,20201,20202,21200,20202,20202,20101,21000,20002,20001,20001,20101,20001,20000,20000,20000,20001,20001,20001,20101,20002,20002,20011,20111,20011,20101,20001,20001,20001,20101,20001,21001,20001,20001,20002,20001,20001,20001,20022,20001,20101,20001,20002,21001,20002,20001,20101,20201,21001,20002,20002,20002,20001,20101,20001,20101,20000,20002,20001,20000,20002,20011,20111,20002,20001,20000,20001,20101,20000,20001,20001,20000,20001,20000,20000,21000,20001,20000,20022,20002,20000,20002,20002,20101,21000,22000,22000,22011,22001,22002,22001,22000,22002,22001,22001,22000,22000,22000,22001,22020,22000,22001,22101,22202,22101,22002,22001,22002,22000,22000,22001,22101,22001,20000,20022,20001,20101,21000,20002,20000,20001,20000,20002,20001,20002,20100,20002,21000,20001,20001
lords,20001,20000,20000,20000,20102,20000,20010,20110,20000,20100,20000,20000,20000,20000,20000,20022,20000,20002,20000,20200,20200,21200,20200,20200,20101,21001,20001,20000,20000,20100,20000,20000,20000,20002,20000,20000,20000,20100,20001,20000,20010,20110,20010,20102,20001,20000,20000,20100,20002,21000,20000,20000,20000,20000,20000,20000,20020,20000,20100,20000,20000,21000,20000,20000,20100,20200,21001,20001,20000,20000,20000,20100,20000,20100,20000,20000,20000,20000,20000,20010,20110,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,21000,20002,20000,20020,20000,20002,20000,20000,20100,21000,22000,22002,22010,22002,22000,22000,22002,22000,22000,22000,22002,22000,22000,22000,22022,22002,22000,22100,22200,22101,22001,22000,22000,22000,22002,22000,22100,22000,20000,20020,20000,20100,21000,20000,20000,20000,20002,20000,20000,20000,20100,20000,21001,20000,20000
loste,20102,20010,20001,20002,20100,20001,20001,20001,20001,20001,20001,20001,20001,20011,20002,20100,20002,20100,20001,20001,20002,21000,20002,20002,20201,21200,20222,20011,20011,20011,20011,20010,20010,20100,20001,20011,20001,20001,20102,20002,20001,20001,20001,20101,20111,20001,20001,20001,20101,21001,20001,20001,20002,20001,20001,20001,20002,20001,20001,20001,20022,21021,20002,20001,20001,20001,21201,20222,20022,20002,20001,20001,20001,20001,20000,20002,20001,20010,20002,20001,20001,20002,20001,20000,20001,20001,20000,20001,20001,20000,20001,20000,20000,21000,20101,20010,20002,20002,20100,20002,20002,20011,21010,22000,22100,22001,22101,22002,22001,22100,22002,22001,22011,22100,22000,22000,22001,22100,22100,22001,22001,22002,22201,22202,22011,22012,22020,22110,22001,22001,22001,20010,20002,20001,20001,21000,20002,20000,20011,20100,20012,20001,20022,20000,20002,21200,20001,20001
lozer,20010,20000,20010,20010,20001,20020,20020,20022,20020,20022,20020,20020,20020,20020,20010,20000,20010,20000,20020,20021,20011,21001,20011,20011,20022,21000,20010,20020,20020,20022,20020,20000,20000,20000,20020,20020,20220,20222,20010,20010,20020,20022,20010,20011,20010,20010,20020,20022,20020,21010,20020,20020,20010,20010,20020,20010,20010,20020,20022,20010,20010,21010,20110,20020,20011,20021,21010,20010,20010,20110,20020,20022,20220,20222,20000,20010,20020,20000,20010,20020,20022,20010,20020,20000,20020,20022,20000,20020,20020,20000,20220,20200,20000,21000,20020,20000,20010,20010,20000,20110,20010,20022,21000,22000,22000,22020,22010,22020,22020,22000,22010,22020,22020,22000,22000,22000,22020,22000,22000,22020,22022,22011,22022,22010,22020,22010,22000,22000,22020,22022,22220,20000,20010,20020,20022,21000,20010,20000,20020,20000,20010,20020,20010,20001,20010,21000,20020,20020
lubde,20002,20000,21001,20002,20000,20201,20011,20011,20001,20001,20001,20001,20001,20001,20002,20020,20002,20000,20001,20001,20002,20000,20002,20002,20001,20000,20002,20001,20001,20001,20001,20000,21000,20000,20001,20001,20001,20001,20002,20202,20011,20011,20011,20001,20001,21001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20022,20001,20001,20001,20002,20001,20002,20001,20001,20001,20101,20002,21002,21002,20001,20001,20001,20001,20000,20002,20201,20000,20002,20011,20011,20002,20001,20000,20001,20001,20000,20001,20001,20000,20001,20000,20000,20100,20001,20000,20022,20002,20000,20002,20002,20001,20000,20200,21000,20011,20001,20002,20001,20000,20002,20001,20001,21000,20000,20000,20001,20020,20000,20001,20001,20002,20001,20002,20001,20002,20000,21000,20001,20001,20001,22000,22022,22001,22001,22000,22002,22000,22001,22000,22002,22001,22002,20000,20002,20000,22001,20001
luidt,20000,20001,21000,20100,20000,20000,20010,20010,20000,20000,20100,20000,20000,20002,20000,20020,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20001,20101,20001,20001,20001,20001,21001,20000,20000,20002,20000,20000,20000,20000,20010,20010,20110,20000,20002,21000,20000,20000,20000,20100,20200,20000,20100,20000,20000,20000,20020,20000,20000,20100,20001,20001,20000,20000,20000,20000,20000,20001,21001,21000,20000,20000,20000,20000,20100,20100,20100,20102,20100,20010,20010,20000,20000,20000,20000,20000,20100,20000,20000,20100,20000,20100,20100,20100,20100,20102,20120,20100,20100,20100,20100,20101,20101,20000,21000,20010,20000,20000,20000,20000,20200,20000,20002,21000,20000,20100,20000,20020,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,20000,22002,22220,22200,22200,22000,22000,22000,22002,22000,22001,22000,22001,20000,20000,20000,22000,20000
luikt,20000,20001,21000,20100,20000,20000,20000,20000,20000,20000,20110,20010,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20001,20101,20001,20001,20001,20001,21001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20100,20000,20002,21000,20000,20000,20000,20100,20200,20010,20100,20010,20000,20000,20000,20000,20000,20100,20001,20001,20000,20000,20000,20000,20000,20001,21001,21000,20000,20000,20000,20000,20100,20100,20100,20102,20100,20000,20000,20000,20010,20010,20000,20000,20100,20000,20000,20100,20000,20100,20100,20100,20100,20102,20100,20100,20120,20100,20100,20101,20101,20000,21000,20000,20000,20000,20000,20000,20200,20010,20012,21010,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,20000,22002,22200,22200,22200,22000,22000,22000,22002,22000,22001,22000,22001,20000,20000,20000,22000,20000
luimt,20000,20001,21000,20100,20000,20000,20000,20000,20000,20000,20100,20000,20010,20012,20020,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20001,20101,20001,20001,20001,20001,21001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20100,20000,20002,21000,20000,20000,20000,20100,20200,20000,20100,20000,20010,20020,20000,20000,20000,20100,20001,20001,20000,20000,20000,20000,20000,20001,21001,21000,20000,20000,20000,20000,20100,20100,20100,20102,20100,20000,20000,20000,20000,20000,20010,20010,20110,20000,20000,20100,20000,20100,20110,20110,20110,20112,20100,20100,20100,20100,20100,20101,20101,20000,21000,20000,20000,20000,20000,20000,20200,20000,20002,21000,20000,20110,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,21001,20000,20000,20000,22002,22200,22200,22200,22000,22020,22000,22002,22000,22001,22000,22001,20000,20010,20000,22010,20000
luist,20020,20001,21000,20100,20010,20000,20000,20000,20000,20000,20100,20000,20000,20002,20000,20010,20000,20010,20000,20000,20000,20000,20100,20000,20010,20020,20011,20101,20001,20001,20001,20001,21001,20010,20000,20002,20000,20000,20020,20000,20000,20000,20100,20010,20022,21000,20000,20000,20010,20100,20200,20000,20100,20000,20000,20000,20000,20000,20000,20100,20001,20001,20000,20000,20000,20000,20010,20011,21001,21000,20000,20000,20000,20000,20100,20100,20100,20102,20100,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20100,20000,20100,20100,20100,20110,20102,20100,20100,20110,20100,20100,20101,20101,20000,21010,20000,20010,20000,20000,20010,20200,20000,20002,21010,20000,20100,20000,20010,20010,20000,20000,20000,20010,20020,20001,20001,20001,21011,20000,20000,20000,22002,22200,22200,22200,22000,22000,22000,22002,22010,22001,22000,22001,20000,20000,20010,22000,20000
lukte,20002,20010,21001,20002,20000,20001,20001,20001,20001,20001,20201,20201,20001,20011,20002,20000,20002,20000,20001,20001,20002,20000,20002,20002,20001,20000,20022,20011,20011,20011,20011,20010,21010,20000,20001,20011,20001,20001,20002,20002,20001,20001,20001,20001,20011,21001,20001,20001,20001,20001,20001,20201,20002,20101,20001,20001,20002,20001,20001,20001,20022,20021,20002,20001,20001,20001,20001,20022,21022,21002,20001,20001,20001,20001,20000,20002,20001,20010,20002,20001,20001,20002,20201,20200,20001,20001,20000,20001,20001,20000,20001,20000,20000,20000,20001,20010,20002,20002,20100,20002,20002,20011,20010,20000,21000,20001,20001,20002,20001,20000,20002,20201,20211,21200,20000,20000,20001,20000,20000,20001,20001,20002,20001,20002,20011,20012,20020,21010,20001,20001,20001,22010,22002,22001,22001,22000,22002,22000,22011,22000,22012,22001,22022,20000,20002,20000,22001,20001
lulde,20002,20000,21001,20002,20000,20101,20011,20011,20001,20001,20001,20001,20101,20001,20002,20020,20002,20000,20101,20001,20002,20000,20002,20002,20001,20000,20002,20001,20001,20001,20001,20000,21000,20000,20001,20001,20001,20001,20002,20002,20011,20011,20011,20001,20001,21001,20001,20001,20001,20001,20001,20001,20202,20201,20001,20001,20022,20001,20001,20001,20002,20001,20002,20101,20001,20001,20001,20002,21002,21002,20001,20001,20001,20001,20000,20002,20101,20000,20002,20011,20011,20002,20001,20000,20001,20001,20000,20001,20001,20000,20001,20000,20000,20000,20001,20000,20022,20002,20000,20002,20002,20001,20000,20000,21000,20011,20001,20002,20001,20000,20002,20001,20001,21000,20200,20000,20001,20020,20000,20001,20001,20002,20001,20002,20001,20002,20000,21000,20001,20001,20001,22000,22022,22001,22001,22200,22002,22000,22001,22000,22002,22001,22002,20000,20002,20100,22001,20101
lunst,20020,20101,21000,20000,20010,20000,20100,20000,20100,20000,20000,20100,20000,20002,20000,20210,20200,20210,20000,20100,20000,20000,20000,20000,20010,20020,20011,20001,20101,20001,20001,20101,21001,20010,20100,20002,20100,20000,20020,20000,20100,20000,20000,20010,20022,21000,20100,20000,20010,20000,20100,20100,20000,20000,20100,20000,20200,20200,20200,20200,20201,20201,20200,20000,20000,20100,20010,20011,21001,21000,20100,20000,20100,20000,20100,20100,20000,20002,20000,20100,20000,20000,20100,20000,20100,20000,20000,20200,20100,20000,20100,20000,20100,20000,20010,20002,20200,20200,20210,20200,20000,20001,20001,20000,21010,20100,20110,20000,20100,20010,20000,20100,20002,21010,20000,20000,20200,20010,20010,20100,20000,20000,20010,20020,20101,20001,20001,21011,20100,20000,20100,22002,22000,22100,22000,22000,22000,22200,22202,22010,22001,22100,22001,20000,20000,20010,22100,20000
lurkt,20000,20001,21000,20000,20100,20000,20000,20100,20000,20100,20010,20010,20000,20002,20000,20000,20000,20000,20000,20200,20200,20200,20200,20200,20100,20000,20001,20001,20001,20101,20001,20001,21001,20000,20000,20002,20000,20100,20000,20000,20000,20100,20000,20100,20002,21000,20000,20100,20000,20000,20000,20010,20000,20010,20000,20000,20000,20000,20100,20000,20001,20001,20000,20000,20100,20200,20000,20001,21001,21000,20000,20100,20000,20100,20000,20000,20000,20002,20000,20000,20100,20000,20010,20010,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20020,20000,20000,20101,20001,20000,21000,20000,20000,20000,20000,20000,20000,20010,20012,21010,20000,20000,20000,20000,20000,20000,20100,20200,20100,20000,20001,20001,20001,21001,20000,20100,20000,22002,22000,22000,22100,22000,22000,22000,22002,22000,22001,22000,22001,20100,20000,20000,22000,20000
luwde,20002,20000,21101,20002,20000,20001,20011,20011,20001,20001,20001,20001,20001,20001,20002,20020,20002,20000,20001,20001,20002,20000,20002,20002,20001,20000,20002,20001,20001,20001,20001,20000,21100,20000,20001,20001,20001,20001,20002,20002,20011,20011,20011,20001,20001,21101,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20022,20001,20001,20001,20002,20001,20002,20001,20001,20001,20001,20002,21002,21002,20001,20001,20001,20001,20000,20002,20001,20000,20002,20011,20011,20002,20001,20100,20001,20001,20000,20001,20001,20000,20001,20000,20000,20000,20001,20000,20022,20002,20000,20002,20002,20001,20000,20000,21000,20011,20001,20002,20001,20000,20002,20001,20001,21000,20000,20000,20001,20020,20000,20001,20001,20002,20001,20002,20001,20002,20000,21000,20001,20001,20001,22000,22022,22001,22001,22000,22002,22000,22001,22000,22002,22201,22202,20000,20002,20000,22001,20001
