Guess,oscar,oasis,oblie,obool,octet,odeur,odium,oehoe,oempa,oenig,oeros,oever,offer,ofwel,ogief,ohmse,ojief,okapi,oksel,olmen,omber,omdat,omega,omina,omkat,omrit,omver,omweg,omzeg,omzet,onder,oneer,ongel,onkel,onmin,onnet,onnut,onr1m,onr1p,onvr1,onwel,onw1s,onwil,onwis,onzen,onzer,onzes,onzin,oogje,oogst,ootje,opaak,opaal,opart,opbod,opdat,opeen,opera,ophef,opium,opleg,oppas,opper,opril,oprit,optie,opzeg,opzet,oraal,order,orgel,orgie,otium,otter,ouder,oudje,ounce,ouwel,ovaal,oxide,oribi
opkap,20020,20010,20000,20000,20000,20000,20000,20000,21010,20000,20000,20000,20000,20000,20000,20000,20000,21110,20100,20000,20000,20020,20010,20010,20220,20000,20000,20000,20000,20000,20000,20000,20000,20200,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22120,22020,22010,22000,22020,22000,22010,22000,22000,22000,22021,22001,22000,22000,22000,22000,22000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000
opk1k,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,21100,20100,20000,20000,20000,20000,20000,20200,20000,20000,20000,20000,20000,20000,20000,20000,20200,20000,20000,20000,20020,21020,20010,20000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
opkom,20000,20000,20000,20020,20000,20000,20002,20020,21001,20000,20020,20000,20000,20000,20000,20001,20000,21100,20100,20001,20001,20001,20001,20001,20201,20001,20001,20001,20001,20001,20000,20000,20000,20200,20001,20000,20000,20002,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,22100,22000,22000,22020,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000
oplap,20020,20010,20200,20100,20000,20000,20000,20000,21010,20000,20000,20000,20000,20100,20000,20000,20000,21010,20100,20100,20000,20020,20010,20010,20020,20000,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20000,20000,20002,20000,20100,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,22020,22120,22010,22000,22020,22000,22010,22000,22000,22200,22021,22001,22100,22000,22000,22000,22000,20120,20000,20100,20000,20000,20000,20000,20000,20000,20100,20120,20000,20000
oplas,20021,20012,20200,20100,20000,20000,20000,20000,21010,20000,20002,20000,20000,20100,20000,20001,20000,21010,20101,20100,20000,20020,20010,20010,20020,20000,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20000,20000,21000,20000,20100,20002,20100,20002,20000,20000,20002,20000,20000,20001,20000,22020,22120,22010,22000,22020,22000,22010,22000,22000,22200,22022,22000,22100,22000,22000,22000,22000,20120,20000,20100,20000,20000,20000,20000,20000,20000,20100,20120,20000,20000
oplet,20000,20000,20210,20100,20022,20010,20000,20010,21010,20010,20010,20020,20020,20120,20020,20010,20020,21000,20120,20120,20020,20002,20010,20000,20002,20002,20020,20020,20020,20022,20020,20020,20120,20120,20000,20022,20002,20000,21000,20000,20120,20000,20100,20000,20020,20020,20020,20000,20010,20002,20011,22000,22100,22002,22000,22002,22020,22010,22020,22000,22220,22000,22020,22100,22002,22011,22020,22022,20100,20020,20120,20010,20001,20021,20020,20010,20010,20120,20100,20010,20000
oplos,20001,20002,20200,20120,20000,20000,20000,20020,21000,20000,20022,20000,20000,20100,20000,20001,20000,21000,20101,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000,20000,20000,21000,20000,20100,20002,20100,20002,20000,20000,20002,20000,20010,20011,20010,22000,22100,22000,22020,22000,22000,22000,22000,22000,22200,22002,22000,22100,22000,22000,22000,22000,20100,20000,20100,20000,20000,20000,20000,20000,20000,20100,20100,20000,20000
opmat,20020,20010,20000,20000,20002,20000,20100,20000,21210,20000,20000,20000,20000,20000,20000,20200,20000,21010,20000,20200,20100,20122,20110,20110,20122,20102,20100,20100,20100,20102,20000,20000,20000,20000,20200,20002,20002,20100,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,22020,22020,22012,22000,22022,22000,22010,22000,22100,22000,22020,22000,22000,22002,22001,22000,22002,20020,20000,20000,20000,20101,20001,20000,20000,20000,20000,20020,20000,20000
opnam,20020,20010,20000,20000,20000,20000,20002,20000,21011,20200,20000,20000,20000,20000,20000,20001,20000,21010,20000,20101,20001,20021,20011,20111,20021,20001,20001,20001,20001,20001,20100,20100,20100,20100,20101,20200,20200,20102,21100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20000,20000,20000,22020,22020,22010,22000,22020,22100,22010,22000,22002,22000,22020,22000,22000,22000,22000,22000,22000,20020,20000,20000,20000,20002,20000,20000,20000,20200,20000,20020,20000,20000
opoes,20001,20002,20010,20200,20020,20010,20000,20110,21010,20010,20112,20020,20020,20020,20020,20011,20020,21000,20021,20020,20020,20000,20010,20000,20000,20000,20020,20020,20020,20020,20020,20020,20020,20020,20000,20020,20000,20000,21000,20000,20020,20002,20000,20002,20020,20020,20022,20000,20110,20101,20110,22000,22000,22000,22100,22000,22020,22010,22020,22000,22020,22002,22020,22000,22000,22010,22020,22020,20000,20020,20020,20010,20000,20020,20020,20010,20010,20020,20000,20010,20000
oppak,20020,20010,20000,20000,20000,20000,20000,20000,21010,20000,20000,20000,20000,20000,20000,20000,20000,21011,20001,20000,20000,20020,20010,20010,20021,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22022,22020,22010,22000,22020,22000,22010,22000,22000,22000,22220,22200,22000,22000,22000,22000,22000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000
oppik,20000,20020,20020,20000,20000,20000,20010,20000,21000,20020,20000,20000,20000,20000,20010,20000,20010,21011,20001,20000,20000,20000,20000,20010,20001,20020,20000,20000,20000,20000,20000,20000,20000,20001,20020,20000,20000,20000,21000,20000,20000,20000,20020,20020,20000,20000,20000,20020,20000,20000,20000,22002,22000,22000,22000,22000,22000,22000,22000,22010,22000,22200,22200,22020,22020,22020,22000,22000,20000,20000,20000,20020,20010,20000,20000,20000,20000,20000,20000,20010,20010
oppor,20002,20000,20000,20020,20000,20002,20000,20020,21000,20000,20021,20002,20002,20000,20000,20000,20000,21000,20000,20000,20002,20000,20000,20000,20000,20001,20002,20000,20000,20000,20002,20002,20000,20000,20000,20000,20000,20001,21001,20001,20000,20000,20000,20000,20000,20002,20000,20000,20010,20010,20010,22000,22000,22001,22020,22000,22000,22001,22000,22000,22000,22200,22202,22001,22001,22000,22000,22000,20001,20002,20001,20001,20000,20002,20002,20000,20000,20000,20000,20000,20001
oppot,20000,20000,20000,20020,20002,20000,20000,20020,21000,20000,20020,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20002,20000,20000,20002,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20002,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20012,20011,22000,22000,22002,22020,22002,22000,22000,22000,22000,22000,22200,22200,22000,22002,22001,22000,22002,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000
oprek,20100,20000,20010,20000,20020,20110,20000,20010,21010,20010,20210,20120,20120,20020,20020,20010,20020,21001,20021,20020,20120,20000,20010,20000,20001,20200,20120,20020,20020,20020,20120,20120,20020,20021,20000,20020,20000,20200,21200,20100,20020,20000,20000,20000,20020,20120,20020,20000,20010,20000,20010,22002,22000,22100,22000,22000,22020,22110,22020,22000,22020,22000,22120,22200,22200,22010,22020,22020,20100,20120,20120,20110,20000,20120,20120,20010,20010,20020,20000,20010,20100
opr1d,20100,20000,20000,20000,20000,20101,20001,20000,21000,20000,20200,20100,20100,20000,20000,20000,20000,21000,20000,20000,20100,20001,20000,20000,20000,20200,20100,20000,20000,20000,20101,20100,20000,20000,20000,20000,20000,20220,21220,20110,20000,20020,20000,20000,20000,20100,20000,20000,20000,20000,20000,22000,22000,22100,22002,22001,22000,22100,22000,22000,22000,22000,22100,22200,22200,22000,22000,22000,20100,20101,20100,20100,20000,20100,20101,20001,20000,20000,20000,20001,20100
opr1s,20101,20002,20000,20000,20000,20100,20000,20000,21000,20000,20202,20100,20100,20000,20000,20001,20000,21000,20001,20000,20100,20000,20000,20000,20000,20200,20100,20000,20000,20000,20100,20100,20000,20000,20000,20000,20000,20220,21220,20110,20000,20022,20000,20002,20000,20100,20002,20000,20000,20001,20000,22000,22000,22100,22000,22000,22000,22100,22000,22000,22000,22002,22100,22200,22200,22000,22000,22000,20100,20100,20100,20100,20000,20100,20100,20000,20000,20000,20000,20000,20100
opr1t,20100,20000,20000,20000,20002,20100,20000,20000,21000,20000,20200,20100,20100,20000,20000,20000,20000,21000,20000,20000,20100,20002,20000,20000,20002,20202,20100,20000,20000,20002,20100,20100,20000,20000,20000,20002,20002,20220,21220,20110,20000,20020,20000,20000,20000,20100,20000,20000,20000,20002,20001,22000,22000,22102,22000,22002,22000,22100,22000,22000,22000,22000,22100,22200,22202,22001,22000,22002,20100,20100,20100,20100,20001,20101,20100,20000,20000,20000,20000,20000,20100
oprol,20100,20000,20001,20022,20000,20100,20000,20020,21000,20000,20220,20100,20100,20002,20000,20000,20000,21000,20002,20001,20100,20000,20000,20000,20000,20200,20100,20000,20000,20000,20100,20100,20002,20002,20000,20000,20000,20200,21200,20100,20002,20000,20002,20000,20000,20100,20000,20000,20010,20010,20010,22000,22002,22100,22020,22000,22000,22100,22000,22000,22001,22000,22100,22202,22200,22000,22000,22000,20102,20100,20102,20100,20000,20100,20100,20000,20000,20002,20002,20000,20100
oprot,20100,20000,20000,20020,20002,20100,20000,20020,21000,20000,20220,20100,20100,20000,20000,20000,20000,21000,20000,20000,20100,20002,20000,20000,20002,20202,20100,20000,20000,20002,20100,20100,20000,20000,20000,20002,20002,20200,21200,20100,20000,20000,20000,20000,20000,20100,20000,20000,20010,20012,20011,22000,22000,22102,22020,22002,22000,22100,22000,22000,22000,22000,22100,22200,22202,22001,22000,22002,20100,20100,20100,20100,20001,20101,20100,20000,20000,20000,20000,20000,20100
oprui,20100,20001,20001,20000,20000,20120,20021,20000,21000,20001,20200,20100,20100,20000,20001,20000,20001,21002,20000,20000,20100,20000,20000,20001,20000,20201,20100,20000,20000,20000,20100,20100,20000,20000,20001,20000,20020,20200,21200,20100,20000,20000,20001,20001,20000,20100,20000,20001,20000,20000,20000,22000,22000,22100,22000,22000,22000,22100,22000,22021,22000,22000,22100,22201,22201,22001,22000,22000,20100,20100,20100,20101,20021,20100,20110,20010,20010,20010,20000,20001,20102
opruk,20100,20000,20000,20000,20000,20120,20020,20000,21000,20000,20200,20100,20100,20000,20000,20000,20000,21001,20001,20000,20100,20000,20000,20000,20001,20200,20100,20000,20000,20000,20100,20100,20000,20001,20000,20000,20020,20200,21200,20100,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,22002,22000,22100,22000,22000,22000,22100,22000,22020,22000,22000,22100,22200,22200,22000,22000,22000,20100,20100,20100,20100,20020,20100,20110,20010,20010,20010,20000,20000,20100
opsla,20101,20201,20010,20010,20000,20000,20000,20000,21002,20000,20100,20000,20000,20010,20000,20100,20000,21001,20210,20010,20000,20001,20002,20002,20001,20000,20000,20000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20000,21000,20000,20010,20100,20010,20100,20000,20000,20100,20000,20000,20100,20000,22001,22011,22001,22000,22001,22000,22002,22000,22000,22010,22101,22000,22010,22000,22000,22000,22000,20011,20000,20010,20000,20000,20000,20000,20000,20000,20010,20011,20000,20000
opsom,20100,20200,20000,20020,20000,20000,20002,20020,21001,20000,20120,20000,20000,20000,20000,20101,20000,21000,20200,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20000,20000,20001,20000,20000,20002,21000,20000,20000,20100,20000,20100,20000,20000,20100,20000,20010,20110,20010,22000,22000,22000,22020,22000,22000,22000,22000,22002,22000,22100,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000
opsta,20101,20201,20000,20000,20010,20000,20000,20000,21002,20000,20100,20000,20000,20000,20000,20100,20000,21001,20200,20000,20000,20011,20002,20002,20011,20010,20000,20000,20000,20010,20000,20000,20000,20000,20000,20010,20010,20000,21000,20000,20000,20100,20000,20100,20000,20000,20100,20000,20000,20110,20010,22001,22001,22011,22000,22011,22000,22002,22000,22000,22000,22101,22000,22000,22010,22010,22000,22010,20001,20000,20000,20000,20010,20010,20000,20000,20000,20000,20001,20000,20000
optas,20021,20012,20000,20000,20200,20000,20000,20000,21010,20000,20002,20000,20000,20000,20000,20001,20000,21010,20001,20000,20000,20120,20010,20010,20120,20100,20000,20000,20000,20100,20000,20000,20000,20000,20000,20100,20100,20000,21000,20000,20000,20002,20000,20002,20000,20000,20002,20000,20000,20101,20200,22020,22020,22110,22000,22120,22000,22010,22000,22000,22000,22022,22000,22000,22100,22200,22000,22100,20020,20000,20000,20000,20100,20200,20000,20000,20000,20000,20020,20000,20000
optel,20000,20000,20011,20002,20220,20010,20000,20010,21010,20010,20010,20020,20020,20022,20020,20010,20020,21000,20022,20021,20020,20100,20010,20000,20100,20100,20020,20020,20020,20120,20020,20020,20022,20022,20000,20120,20100,20000,21000,20000,20022,20000,20002,20000,20020,20020,20020,20000,20010,20100,20210,22000,22002,22100,22000,22100,22020,22010,22020,22000,22021,22000,22020,22002,22100,22210,22020,22120,20002,20020,20022,20010,20100,20220,20020,20010,20010,20022,20002,20010,20000
optil,20000,20020,20021,20002,20200,20000,20010,20000,21000,20020,20000,20000,20000,20002,20010,20000,20010,21010,20002,20001,20000,20100,20000,20010,20100,20120,20000,20000,20000,20100,20000,20000,20002,20002,20020,20100,20100,20000,21000,20000,20002,20000,20022,20020,20000,20000,20000,20020,20000,20100,20200,22000,22002,22100,22000,22100,22000,22000,22000,22010,22001,22000,22000,22022,22120,22220,22000,22100,20002,20000,20002,20020,20110,20200,20000,20000,20000,20002,20002,20010,20010
opval,20020,20010,20001,20002,20000,20000,20000,20000,21010,20000,20000,20200,20000,20002,20000,20000,20000,21010,20002,20001,20000,20020,20010,20010,20020,20000,20200,20000,20000,20000,20000,20000,20002,20002,20000,20000,20000,20000,21000,20200,20002,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,22020,22022,22010,22000,22020,22000,22010,22000,22000,22001,22020,22000,22002,22000,22000,22000,22000,20022,20000,20002,20000,20000,20000,20000,20000,20000,20002,20122,20000,20000
opvat,20020,20010,20000,20000,20002,20000,20000,20000,21010,20000,20000,20200,20000,20000,20000,20000,20000,21010,20000,20000,20000,20022,20010,20010,20022,20002,20200,20000,20000,20002,20000,20000,20000,20000,20000,20002,20002,20000,21000,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,22020,22020,22012,22000,22022,22000,22010,22000,22000,22000,22020,22000,22000,22002,22001,22000,22002,20020,20000,20000,20000,20001,20001,20000,20000,20000,20000,20120,20000,20000
opvis,20001,20022,20020,20000,20000,20000,20010,20000,21000,20020,20002,20200,20000,20000,20010,20001,20010,21010,20001,20000,20000,20000,20000,20010,20000,20020,20200,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20000,21000,20200,20000,20002,20020,20022,20000,20000,20002,20020,20000,20001,20000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22002,22000,22020,22020,22020,22000,22000,20000,20000,20000,20020,20010,20000,20000,20000,20000,20000,20100,20010,20010
opvr1,20010,20000,20000,20000,20000,20010,20000,20000,21000,20000,20010,20210,20010,20000,20000,20000,20000,21000,20000,20000,20010,20000,20000,20000,20000,20010,20210,20000,20000,20000,20010,20010,20000,20000,20000,20000,20000,20011,21011,20222,20000,20001,20000,20000,20000,20010,20000,20000,20000,20000,20000,22000,22000,22020,22000,22000,22000,22020,22000,22000,22000,22000,22010,22010,22010,22000,22000,22000,20010,20010,20010,20010,20000,20010,20010,20000,20000,20000,20100,20000,20010
opvul,20000,20000,20001,20002,20000,20020,20020,20000,21000,20000,20000,20200,20000,20002,20000,20000,20000,21000,20002,20001,20000,20000,20000,20000,20000,20000,20200,20000,20000,20000,20000,20000,20002,20002,20000,20000,20020,20000,21000,20200,20002,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,22000,22002,22000,22000,22000,22000,22000,22000,22020,22001,22000,22000,22002,22000,22000,22000,22000,20002,20000,20002,20000,20020,20000,20010,20010,20010,20012,20102,20000,20000
opwas,20021,20012,20000,20000,20000,20000,20000,20000,21010,20000,20002,20000,20000,20200,20000,20001,20000,21010,20001,20000,20000,20020,20010,20010,20020,20000,20000,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20200,20202,20200,20202,20000,20000,20002,20000,20000,20001,20000,22020,22020,22010,22000,22020,22000,22010,22000,22000,22000,22022,22000,22000,22000,22000,22000,22000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20200,20020,20000,20000
opwek,20000,20000,20010,20000,20020,20010,20000,20010,21010,20010,20010,20020,20020,20220,20020,20010,20020,21001,20021,20020,20020,20000,20010,20000,20001,20000,20020,20220,20020,20020,20020,20020,20020,20021,20000,20020,20000,20000,21000,20000,20220,20200,20200,20200,20020,20020,20020,20000,20010,20000,20010,22002,22000,22000,22000,22000,22020,22010,22020,22000,22020,22000,22020,22000,22000,22010,22020,22020,20000,20020,20020,20010,20000,20020,20020,20010,20010,20220,20000,20010,20000
opwel,20000,20000,20011,20002,20020,20010,20000,20010,21010,20010,20010,20020,20020,20222,20020,20010,20020,21000,20022,20021,20020,20000,20010,20000,20000,20000,20020,20220,20020,20020,20020,20020,20022,20022,20000,20020,20000,20000,21000,20000,20222,20200,20202,20200,20020,20020,20020,20000,20010,20000,20010,22000,22002,22000,22000,22000,22020,22010,22020,22000,22021,22000,22020,22002,22000,22010,22020,22020,20002,20020,20022,20010,20000,20020,20020,20010,20010,20222,20002,20010,20000
opzag,20020,20010,20000,20000,20000,20000,20000,20000,21010,20002,20000,20000,20000,20000,20001,20000,20000,21010,20000,20000,20000,20020,20011,20010,20020,20000,20000,20002,20202,20200,20000,20000,20001,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20200,20200,20200,20200,20001,20001,20000,22020,22020,22010,22000,22020,22000,22010,22000,22000,22002,22020,22000,22000,22000,22000,22202,22200,20020,20000,20001,20001,20000,20000,20000,20000,20000,20000,20020,20000,20000
opzak,20020,20010,20000,20000,20000,20000,20000,20000,21010,20000,20000,20000,20000,20000,20000,20000,20000,21011,20001,20000,20000,20020,20010,20010,20021,20000,20000,20000,20200,20200,20000,20000,20000,20001,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20200,20200,20200,20200,20000,20000,20000,22022,22020,22010,22000,22020,22000,22010,22000,22000,22000,22020,22000,22000,22000,22000,22200,22200,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000
opzat,20020,20010,20000,20000,20002,20000,20000,20000,21010,20000,20000,20000,20000,20000,20000,20000,20000,21010,20000,20000,20000,20022,20010,20010,20022,20002,20000,20000,20200,20202,20000,20000,20000,20000,20000,20002,20002,20000,21000,20000,20000,20000,20000,20000,20200,20200,20200,20200,20000,20002,20001,22020,22020,22012,22000,22022,22000,22010,22000,22000,22000,22020,22000,22000,22002,22001,22200,22202,20020,20000,20000,20000,20001,20001,20000,20000,20000,20000,20020,20000,20000
opzei,20000,20001,20011,20000,20020,20010,20001,20010,21010,20011,20010,20020,20020,20020,20021,20010,20021,21002,20020,20020,20020,20000,20010,20001,20000,20001,20020,20020,20220,20220,20020,20020,20020,20020,20001,20020,20000,20000,21000,20000,20020,20000,20001,20001,20220,20220,20220,20201,20010,20000,20010,22000,22000,22000,22000,22000,22020,22010,22020,22001,22020,22000,22020,22001,22001,22011,22220,22220,20000,20020,20020,20011,20001,20020,20020,20010,20010,20020,20000,20011,20002
opzie,20000,20020,20022,20000,20001,20001,20010,20002,21001,20021,20001,20001,20001,20001,20011,20002,20011,21010,20001,20001,20001,20000,20001,20010,20000,20020,20001,20001,20201,20201,20001,20001,20001,20001,20020,20001,20000,20000,21000,20000,20001,20000,20020,20020,20201,20201,20201,20220,20002,20000,20002,22000,22000,22000,22000,22000,22001,22001,22001,22010,22001,22000,22001,22020,22020,22022,22201,22201,20000,20001,20001,20022,20010,20001,20001,20002,20002,20001,20000,20012,20010
opzit,20000,20020,20020,20000,20002,20000,20010,20000,21000,20020,20000,20000,20000,20000,20010,20000,20010,21010,20000,20000,20000,20002,20000,20010,20002,20022,20000,20000,20200,20202,20000,20000,20000,20000,20020,20002,20002,20000,21000,20000,20000,20000,20020,20020,20200,20200,20200,20220,20000,20002,20001,22000,22000,22002,22000,22002,22000,22000,22000,22010,22000,22000,22000,22020,22022,22021,22200,22202,20000,20000,20000,20020,20011,20001,20000,20000,20000,20000,20000,20010,20010
orale,21100,20100,20012,20010,20001,21001,20000,20002,20101,20001,21001,21001,21001,20011,20001,20002,20001,20200,20011,20011,21001,20100,20101,20100,20100,21000,21001,20001,20001,20001,21001,21001,20011,20011,20000,20001,20000,21000,21000,21000,20011,20000,20010,20000,20001,21001,20001,20000,20002,20000,20002,20200,20210,21200,20000,20100,20001,21101,20001,20000,20011,20100,21001,21010,21000,20002,20001,20001,22210,22001,22011,22002,20000,21001,21001,20002,20002,20011,20210,20002,22000
orden,21000,20000,20010,20000,20020,21110,20100,20010,20010,20011,21010,21020,21020,20020,20020,20010,20020,20000,20020,20022,21020,20200,20010,20001,20000,21000,21020,20020,20020,20020,21221,21021,20021,20021,20002,20021,20001,21001,21001,21001,20021,20001,20001,20001,20022,21021,20021,20002,20010,20000,20010,20000,20000,21000,20100,20200,20022,21010,20020,20000,20020,20000,21020,21000,21000,20010,20020,20020,22000,22220,22020,22010,20000,21020,21220,20210,20011,20020,20000,20110,22000
ordes,21001,20002,20010,20000,20020,21110,20100,20010,20010,20010,21012,21020,21020,20020,20020,20011,20020,20000,20021,20020,21020,20200,20010,20000,20000,21000,21020,20020,20020,20020,21220,21020,20020,20020,20000,20020,20000,21000,21000,21000,20020,20002,20000,20002,20020,21020,20022,20000,20010,20001,20010,20000,20000,21000,20100,20200,20020,21010,20020,20000,20020,20002,21020,21000,21000,20010,20020,20020,22000,22220,22020,22010,20000,21020,21220,20210,20010,20020,20000,20110,22000
oreer,20002,20000,20100,20000,20020,20202,20000,20110,20100,20100,21100,20122,20022,20020,20020,20100,20020,20000,20020,20020,20022,20000,20200,20000,20000,21000,20022,20020,20020,20020,20022,20222,20020,20020,20000,20020,20000,21000,21000,21000,20020,20000,20000,20000,20020,20022,20020,20000,20100,20000,20100,20000,20000,21000,20000,20000,20220,21200,20020,20000,20020,20000,20022,21000,21000,20100,20020,20020,22000,22022,22020,22100,20000,20022,20022,20100,20100,20020,20000,20100,22000
ossen,22000,21200,20010,20000,20020,20010,20000,20010,20010,20011,21010,20020,20020,20020,20020,21010,20020,20000,20220,20022,20020,20000,20010,20001,20000,20000,20020,20020,20020,20020,20021,20021,20021,20021,20002,20021,20001,20001,20001,20001,20021,21001,20001,21001,20022,20021,21021,20002,20010,21000,20010,20000,20000,20000,20000,20000,20022,20010,20020,20000,20020,21000,20020,20000,20000,20010,20020,20020,20000,20020,20020,20010,20000,20020,20020,20010,20011,20020,20000,20010,20000
ouden,20000,20000,20010,20000,20020,21110,21100,20010,20010,20011,20010,20020,20020,20020,20020,20010,20020,20000,20020,20022,20020,20200,20010,20001,20000,20000,20020,20020,20020,20020,20221,20021,20021,20021,20002,20021,21001,20001,20001,20001,20021,20001,20001,20001,20022,20021,20021,20002,20010,20000,20010,20000,20000,20000,20100,20200,20022,20010,20020,21000,20020,20000,20020,20000,20000,20010,20020,20020,20000,20220,20020,20010,21000,20020,22220,22210,22011,22020,20000,20110,20000
oudst,20010,20010,20000,20000,20002,21100,21100,20000,20000,20000,20010,20000,20000,20000,20000,20020,20000,20000,20010,20000,20000,20202,20000,20000,20002,20002,20000,20000,20000,20002,20200,20000,20000,20000,20000,20002,21002,20000,20000,20000,20000,20010,20000,20010,20000,20000,20010,20000,20000,20022,20001,20000,20000,20002,20100,20202,20000,20000,20000,21000,20000,20010,20000,20000,20002,20001,20000,20002,20000,20200,20000,20000,21001,20001,22200,22200,22000,22000,20000,20100,20000
ovale,20100,20100,20012,20010,20001,20001,20000,20002,20101,20001,20001,21001,20001,20011,20001,20002,20001,20200,20011,20011,20001,20100,20101,20100,20100,20000,21001,20001,20001,20001,20001,20001,20011,20011,20000,20001,20000,20000,20000,21000,20011,20000,20010,20000,20001,20001,20001,20000,20002,20000,20002,20200,20210,20200,20000,20100,20001,20101,20001,20000,20011,20100,20001,20010,20000,20002,20001,20001,20210,20001,20011,20002,20000,20001,20001,20002,20002,20011,22210,20002,20000
ovens,20001,20002,20100,20000,20100,20200,20000,20100,20100,20110,20102,21100,20100,20100,20100,20101,20100,20000,20101,20110,20100,20000,20200,20020,20000,20000,21100,20100,20100,20100,20110,20210,20110,20110,20010,20110,20010,20010,20010,21010,20110,20012,20010,20012,20110,20110,20112,20010,20100,20001,20100,20000,20000,20000,20000,20000,20210,20200,20100,20000,20100,20002,20100,20000,20000,20100,20100,20100,20000,20100,20100,20100,20000,20100,20100,20100,20110,20100,22000,20100,20000
overs,20011,20002,20100,20000,20100,20210,20000,20100,20100,20100,20112,21110,20110,20100,20100,20101,20100,20000,20101,20100,20110,20000,20200,20000,20000,20010,21110,20100,20100,20100,20110,20210,20100,20100,20000,20100,20000,20010,20010,21020,20100,20002,20000,20002,20100,20110,20102,20000,20100,20001,20100,20000,20000,20020,20000,20000,20200,20220,20100,20000,20100,20002,20110,20010,20010,20100,20100,20100,20010,20110,20110,20110,20000,20110,20110,20100,20100,20100,22000,20100,20010
oenen,20000,20000,21000,20000,20020,21000,20000,22010,22000,22200,22000,22020,20020,20020,20020,21000,20020,20000,20020,20022,20020,20000,21000,20100,20000,20000,20020,20020,20020,20020,20120,21120,20120,20120,20102,20221,20201,20100,20100,20100,20120,20100,20100,20100,20122,20120,20120,20102,21000,20000,21000,20000,20000,20000,20000,20000,21022,21000,20020,20000,20020,20000,20020,20000,20000,21000,20020,20020,20000,20020,20020,21000,20000,20020,20020,21000,21200,20020,20000,21000,20000
opens,20001,20002,20100,20000,20100,20200,20000,20100,21100,20110,20102,20100,20100,20100,20100,20101,20100,21000,20101,20110,20100,20000,20200,20020,20000,20000,20100,20100,20100,20100,20110,20210,20110,20110,20010,20110,20010,20010,21010,20010,20110,20012,20010,20012,20110,20110,20112,20010,20100,20001,20100,22000,22000,22000,22000,22000,22210,22200,22100,22000,22100,22002,22100,22000,22000,22100,22100,22100,20000,20100,20100,20100,20000,20100,20100,20100,20110,20100,20000,20100,20000
opjut,20000,20000,20000,20000,20002,20020,20020,20000,21000,20000,20000,20000,20000,20000,20000,20000,20100,21000,20000,20000,20000,20002,20000,20000,20002,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20022,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20002,20101,22000,22000,22002,22000,22002,22000,22000,22000,22020,22000,22000,22000,22000,22002,22001,22000,22002,20000,20000,20000,20000,20021,20001,20010,20110,20010,20010,20000,20000,20000
