Guess,gents,ghana,gouds,griek,gaard,gabbe,gaden,gaffe,gagel,gaine,gajes,galei,galon,galop,gamba,gamel,gamen,gamer,gamma,gapen,gaper,garde,garen,garoe,garve,gaten,gaven,gazel,gazen,gazet,gazon,gebak,gebbe,gebed,gebel,gebit,gebod,gedag,gedoe,geduw,geest,geeuw,gegil,geh1g,gehol,geien,ge1kt,gejou,gekef,gek1f,gekir,gekko,gekte,gelag,gelal,gelee,gelei,gelen,gelid,gelig,gel1k,gelik,gelui,geluk,gelul,geluw,gemak,gemet,gemis,gemok,gemor,gemot,genet,genie,genot,genre,genus,gepuf,gerei,geren,gerst,gesar,gesco,gesel,gesis,gesol,geste,getal,getik,getob,getto,geuze,geval,gevat,gevel,geven,gever,gevl1,gevr1,gewag,gewas,gewei,gew1d,gewin,gewis,gezag,gezel,gezet,gezin,gibus,gigue,g1pen,gilde,gilet,ginds,ginst,gipsy,giraf,glans,gleed,gleis,gleuf,glimp,globe,gloed,gloop,gloor,gneis,gnoom,goden,godin,goede,gogme,gojim,golem,gonje,gorig,gouwe,gozer,graad,graaf,graag,graai,graal,graan,graat,grauw,green,greep,grein,grens,grief,griek,griel,griep,gries,griet,grift,gr1ns,grill,grime,grind,grint,griot,groef,groei,groen,groep,groet,grond,groot,grote,gruis,guano,guave,gummi,gunst,guppy,gyros,ger1m,geram,gebal,geoha,gomma,gauss
goals,20002,20200,22002,20000,20200,20100,20100,20100,20110,20100,20102,20110,21110,21110,20100,20110,20100,20100,20100,20100,20100,20100,20100,21100,20100,20100,20100,20110,20100,20100,21100,20100,20000,20000,20010,20000,21000,20100,21000,20000,20001,20000,20010,20000,21010,20000,20000,21000,20000,20000,20000,21000,20000,20110,20110,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20100,20000,20002,21000,21000,21000,20000,20000,21000,20000,20002,20000,20000,20000,20001,20101,21001,20011,20002,21011,20001,20110,20000,21000,21000,20000,20110,20100,20010,20000,20000,20020,20000,20100,20102,20000,20000,20000,20002,20100,20010,20000,20000,20002,20000,20000,20010,20010,20002,20001,20001,20100,20212,20010,20012,20010,20010,21010,21010,21010,21010,20002,21000,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,20200,20200,20200,20200,20210,20200,20200,20200,20000,20000,20000,20002,20000,20000,20010,20000,20002,20000,20000,20002,20020,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20002,21200,20200,20000,20001,20000,21002,20000,20100,20110,21100,22100,20102
goeds,20102,20000,22022,20100,20010,20100,20110,20100,20100,20100,20102,20100,21000,21000,20000,20100,20100,20100,20000,20100,20100,20120,20100,21100,20100,20100,20100,20100,20100,20100,21000,20100,20100,20110,20100,20100,21110,20110,21110,20110,20201,20200,20100,20100,21100,20100,20100,21100,20100,20100,20100,21100,20100,20100,20100,20100,20100,20100,20110,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,21100,21100,21100,20100,20100,21100,20100,20102,20100,20100,20100,20101,20101,21101,20101,20102,21101,20101,20100,20100,21100,21100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,20100,20110,20100,20102,20100,20100,20100,20100,20002,20100,20100,20120,20100,20022,20001,20001,20000,20002,20210,20202,20200,20000,21100,21110,21000,21000,20202,21000,22110,22010,22220,22100,22000,22100,22100,22000,22100,22100,20010,20000,20000,20000,20000,20000,20000,20000,20200,20200,20200,20202,20100,20100,20100,20100,20102,20100,20000,20002,20000,20100,20010,20000,21000,21100,21100,21100,21100,21100,21010,21000,21100,20002,21000,20100,20000,20001,20000,21002,20100,20100,20100,21100,22000,20002
gokje,20001,20000,22000,20101,20000,20002,20001,20002,20001,20002,20011,20001,21000,21000,20000,20001,20001,20001,20000,20001,20001,20002,20001,21002,20002,20001,20001,20001,20001,20001,21000,20101,20002,20001,20001,20001,21001,20001,21002,20001,20001,20001,20001,20001,21001,20001,20101,21011,20201,20201,20201,21201,20202,20001,20001,20002,20001,20001,20001,20001,20101,20101,20001,20101,20001,20001,20101,20001,20001,21101,21001,21001,20001,20002,21001,20002,20001,20001,20001,20001,20001,20001,21001,20001,20001,21001,20002,20001,20101,21001,21001,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20002,20001,20002,20001,20000,20000,20000,20000,20000,20001,20001,20001,20000,21002,21001,21000,21000,20001,21000,22001,22000,22002,22002,22010,22001,22022,22000,22002,22001,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20001,20101,20001,20001,20001,20001,20000,20000,20000,20002,20000,20000,21000,21001,21001,21001,21001,21001,21000,21000,21002,20000,21000,20002,20000,20000,20000,21000,20001,20001,20001,21001,22000,20000
gokte,20021,20000,22000,20101,20000,20002,20001,20002,20001,20002,20001,20001,21000,21000,20000,20001,20001,20001,20000,20001,20001,20002,20001,21002,20002,20011,20001,20001,20001,20011,21000,20101,20002,20001,20001,20011,21001,20001,21002,20001,20011,20001,20001,20001,21001,20001,20111,21001,20201,20201,20201,21201,20222,20001,20001,20002,20001,20001,20001,20001,20101,20101,20001,20101,20001,20001,20101,20011,20001,21101,21001,21011,20011,20002,21011,20002,20001,20001,20001,20001,20011,20001,21001,20001,20001,21001,20022,20011,20111,21011,21021,20002,20001,20011,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20011,20001,20000,20002,20001,20002,20011,20000,20010,20000,20000,20000,20001,20001,20001,20000,21002,21001,21000,21000,20001,21000,22001,22000,22002,22002,22000,22001,22002,22000,22002,22001,20000,20000,20000,20000,20000,20000,20010,20000,20001,20001,20001,20001,20001,20101,20001,20001,20001,20011,20010,20000,20000,20002,20000,20010,21010,21001,21001,21001,21001,21011,21000,21010,21022,20000,21000,20002,20000,20010,20000,21000,20001,20001,20001,21001,22000,20000
golft,20001,20000,22000,20000,20000,20000,20000,20020,20100,20000,20000,20200,21200,21200,20000,20100,20000,20000,20000,20000,20000,20000,20000,21000,20000,20001,20000,20100,20000,20002,21000,20000,20000,20000,20100,20002,21000,20000,21000,20000,20002,20000,20100,20000,21100,20000,20002,21000,20010,20010,20000,21000,20001,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20200,20000,20002,20000,21000,21000,21002,20002,20000,21002,20000,20000,20010,20000,20000,20002,20000,21000,20100,20000,21100,20001,20101,20001,21001,21001,20000,20100,20002,20100,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20100,20002,20000,20000,20000,20000,20200,20202,20000,20002,20000,20010,20100,20100,20100,20110,20100,21100,21100,21100,21100,20000,21000,22000,22000,22000,22000,22000,22200,22000,22000,22000,22000,20000,20010,20000,20000,20100,20000,20002,20000,20000,20000,20000,20000,20010,20000,20100,20000,20000,20002,20022,20000,20100,20000,20000,20002,21002,21010,21000,21000,21000,21002,21000,21002,21001,20000,21000,20000,20000,20002,20000,21000,20000,20000,20100,21000,22000,20000
gomde,20001,20000,22020,20001,20010,20002,20011,20002,20001,20002,20001,20001,21000,21000,20200,20201,20201,20201,20200,20001,20001,20022,20001,21002,20002,20001,20001,20001,20001,20001,21000,20001,20002,20011,20001,20001,21011,20011,21012,20011,20001,20001,20001,20001,21001,20001,20001,21001,20001,20001,20001,21001,20002,20001,20001,20002,20001,20001,20011,20001,20001,20001,20001,20001,20001,20001,20201,20201,20201,21201,21201,21201,20001,20002,21001,20002,20001,20001,20001,20001,20001,20001,21001,20001,20001,21001,20002,20001,20001,21001,21001,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20011,20001,20001,20001,20001,20001,20001,20000,20002,20001,20022,20001,20020,20000,20000,20000,20000,20011,20001,20001,20100,21002,21011,21000,21000,20001,21100,22011,22010,22022,22102,22100,22101,22002,22000,22002,22001,20010,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20000,20102,20010,20000,21000,21001,21001,21001,21001,21001,21010,21000,21002,20000,21000,20002,20200,20000,20000,21000,20101,20101,20001,21001,22200,20000
gongs,20202,20100,22002,20000,20000,20000,20100,20000,20010,20100,20002,20000,21100,21000,20000,20000,20100,20000,20000,20100,20000,20000,20100,21000,20000,20100,20100,20000,20100,20000,21100,20000,20000,20000,20000,20000,21000,20010,21000,20000,20001,20000,20010,20010,21000,20100,20000,21000,20000,20000,20000,21000,20000,20010,20000,20000,20000,20100,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21000,21000,20200,20200,21200,20200,20202,20000,20000,20100,20001,20001,21001,20001,20002,21001,20001,20000,20000,21000,21000,20000,20000,20000,20000,20100,20000,20000,20000,20010,20002,20000,20000,20100,20002,20010,20000,20000,20100,20002,20010,20100,20000,20000,20202,20201,20001,20000,20102,20000,20002,20000,20000,21000,21000,21000,21000,20102,21100,22100,22100,22000,22010,22000,22000,22200,22010,22000,22000,20000,20000,20010,20000,20000,20100,20000,20000,20100,20000,20100,20102,20000,20000,20000,20000,20002,20000,20000,20102,20000,20000,20100,20100,21000,21000,21000,21100,21000,21000,21100,21000,21000,20002,21100,20000,20000,20201,20000,21002,20000,20000,20000,21000,22000,20002
gonst,20211,20100,22010,20000,20000,20000,20100,20000,20000,20100,20010,20000,21100,21000,20000,20000,20100,20000,20000,20100,20000,20000,20100,21000,20000,20101,20100,20000,20100,20002,21100,20000,20000,20000,20000,20002,21000,20000,21000,20000,20022,20000,20000,20000,21000,20100,20002,21000,20000,20000,20000,21000,20001,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20010,21000,21000,21002,20202,20200,21202,20200,20210,20000,20000,20100,20022,20010,21010,20010,20010,21010,20011,20001,20001,21001,21001,20000,20000,20002,20000,20100,20000,20000,20000,20000,20010,20000,20000,20100,20010,20000,20000,20002,20100,20010,20000,20100,20000,20002,20210,20222,20020,20000,20110,20000,20010,20000,20000,21000,21000,21000,21000,20110,21100,22100,22100,22000,22000,22000,22000,22200,22000,22000,22000,20000,20000,20000,20000,20000,20100,20002,20000,20100,20000,20100,20110,20000,20000,20000,20000,20010,20002,20002,20110,20000,20000,20100,20102,21002,21000,21000,21100,21000,21002,21100,21002,21001,20010,21100,20000,20000,20222,20000,21010,20000,20000,20000,21000,22000,20020
gooit,20001,20000,22000,20010,20000,20000,20000,20000,20000,20010,20000,20010,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20001,20000,20000,20000,20002,21000,20000,20000,20000,20000,20022,21000,20000,21000,20000,20002,20000,20020,20000,21000,20010,20002,21000,20000,20000,20020,21000,20001,20000,20000,20000,20010,20000,20020,20020,20000,20020,20010,20000,20000,20000,20000,20002,20020,21000,21000,21002,20002,20020,21002,20000,20000,20000,20010,20000,20002,20000,21000,20000,20020,21000,20001,20001,20021,21001,21001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20010,20000,20020,20020,20000,20000,20002,20020,20010,20010,20000,20010,20012,20010,20012,20010,20010,20000,20000,20020,20000,20010,20200,20200,21200,21200,20020,21200,22000,22020,22000,22000,22020,22000,22000,22020,22000,22000,20000,20000,20000,20010,20000,20000,20002,20000,20000,20000,20020,20000,20010,20010,20010,20010,20010,20012,20012,20000,20010,20010,20010,20012,21012,20200,20210,20200,20200,20202,20200,21202,20201,20020,21000,20000,20010,20002,20000,21000,20000,20000,20000,20200,22000,20000
goors,20002,20000,22002,20010,20020,20000,20000,20000,20000,20000,20002,20000,21000,21000,20000,20000,20000,20010,20000,20000,20010,20010,20010,21010,20010,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,21000,20000,21000,20000,20001,20000,20000,20000,21000,20000,20000,21000,20000,20000,20010,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21010,21000,20000,20000,21000,20020,20002,20000,20010,20010,20011,20011,21001,20001,20002,21001,20001,20000,20000,21000,21000,20000,20000,20000,20000,20000,20010,20000,20020,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20000,20000,20000,20002,20001,20001,20010,20002,20000,20002,20000,20000,20200,20200,21200,21210,20002,21200,22000,22000,22000,22000,22000,22000,22000,22010,22000,22010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20012,20010,20010,20010,20010,20012,20010,20010,20012,20010,20010,20010,20010,21010,20210,20210,20210,20210,20210,20210,21210,20210,20012,21000,20000,20000,20001,20000,21012,20010,20010,20000,20200,22000,20002
gordt,20001,20000,22020,20100,20110,20000,20010,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20100,20000,20000,20100,20220,20200,21200,20200,20001,20000,20000,20000,20002,21000,20000,20000,20010,20000,20002,21010,20010,21010,20010,20002,20000,20000,20000,21000,20000,20002,21000,20000,20000,20100,21000,20001,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,21000,21100,21002,20002,20000,21002,20100,20000,20000,20200,20200,20202,20100,21000,20000,20000,21000,20001,20001,20001,21001,21001,20000,20000,20002,20000,20000,20100,20000,20100,20000,20000,20000,20010,20000,20000,20000,20000,20002,20000,20000,20000,20000,20020,20002,20020,20002,20000,20200,20000,20010,20000,20000,20000,21000,21010,21000,21100,20000,21000,22010,22010,22020,22000,22000,22000,22000,22200,22000,22100,20110,20100,20100,20100,20100,20100,20102,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,20102,20100,20100,20100,20110,20102,21102,21100,21100,21100,21100,21102,21110,21102,21101,20100,21000,20000,20000,20002,20000,21200,20200,20200,20000,21000,22000,20000
goten,20111,20001,22000,20020,20000,20010,20022,20010,20020,20011,20020,20020,21002,21000,20000,20020,20022,20020,20000,20022,20020,20010,20022,21010,20010,20222,20022,20020,20022,20120,21002,20010,20010,20020,20020,20110,21010,20010,21010,20010,20110,20010,20010,20010,21010,20022,20110,21010,20020,20010,20010,21010,20110,20010,20010,20020,20020,20022,20010,20010,20010,20010,20010,20010,20010,20010,20010,20120,20010,21010,21010,21110,20121,20011,21111,20011,20011,20010,20020,20022,20110,20010,21010,20020,20010,21010,20110,20210,20210,21210,21210,20010,20010,20110,20020,20022,20020,20010,20010,20010,20010,20020,20010,20012,20010,20010,20020,20120,20012,20000,20010,20022,20010,20120,20001,20101,20000,20000,20001,20020,20010,20010,20000,21010,21020,21000,21000,20011,21001,22022,22002,22010,22010,22000,22020,22011,22000,22010,22020,20000,20000,20000,20000,20000,20002,20100,20000,20022,20020,20012,20011,20020,20020,20020,20020,20020,20120,20100,20001,20000,20010,20001,20101,21100,21020,21020,21022,21020,21120,21001,21100,21110,20000,21001,20010,20000,20101,20000,21000,20010,20010,20010,21010,22000,20000
graas,20002,20210,20002,22000,21210,20100,20100,20100,20100,20100,20102,20100,20100,20100,20110,20100,20100,21100,20110,20100,21100,21100,21100,21100,21100,20100,20100,20100,20100,20100,20100,20020,20000,20000,20000,20000,20000,20020,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20020,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20002,20000,21000,20000,20000,20000,20000,21000,20002,20000,21000,21000,21001,21021,20001,20001,20002,20001,20001,20020,20000,20000,20000,20000,20020,20020,20000,20000,21000,20000,21000,20020,20022,20000,20000,20000,20002,20020,20000,20000,20000,20002,20000,20000,20000,20000,20002,20001,20001,21020,20202,20000,20002,20000,20000,20000,20000,20000,21000,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,22220,22220,22220,22220,22220,22220,22220,22200,22000,22000,22000,22002,22000,22000,22000,22000,22002,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,20200,20200,20000,20001,20000,21002,21000,21020,20020,20100,20100,20102
grage,20001,20200,20000,22001,21200,20102,20101,20102,20111,20102,20101,20101,20100,20100,20100,20101,20101,21101,20100,20101,21101,21102,21101,21102,21102,20101,20101,20101,20101,20101,20100,20101,20002,20001,20001,20001,20001,20111,20002,20001,20001,20001,20011,20011,20001,20001,20001,20001,20001,20001,21001,20001,20002,20111,20101,20002,20001,20001,20001,20011,20001,20001,20001,20001,20001,20001,20101,20001,20001,20001,21001,20001,20001,20002,20001,21002,20001,20001,21001,21001,21001,21101,20001,20001,20001,20001,20002,20101,20001,20001,20001,20002,20101,20101,20001,20001,21001,20001,21001,20111,20101,20001,20001,20001,20001,20111,20001,20001,20001,20000,20012,20001,20002,20001,20000,20000,20000,21100,20200,20001,20001,20001,20000,20002,20001,20000,21000,20001,20000,20001,20000,20002,20012,20000,20001,20002,21010,20002,21001,22200,22200,22210,22200,22200,22200,22200,22200,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001,22000,22000,22000,22002,22000,22000,22000,22001,22001,22001,22001,22001,22000,22000,22002,22000,20200,20202,20000,20000,20000,21000,21001,21101,20101,20101,20100,20100
grien,20011,20001,20000,22220,21000,20010,20022,20010,20020,20211,20020,20120,20002,20000,20000,20020,20022,21020,20000,20022,21020,21010,21022,21010,21010,20022,20022,20020,20022,20020,20002,20010,20010,20020,20020,20110,20010,20010,20010,20010,20010,20010,20110,20010,20010,20222,20010,20010,20020,20010,21110,20010,20010,20010,20010,20020,20120,20022,20110,20110,20010,20110,20110,20010,20010,20010,20010,20020,20110,20010,21010,20010,20021,20111,20011,21011,20011,20010,21120,21022,21010,21010,20010,20020,20110,20010,20010,20010,20110,20010,20010,20010,20010,20010,20020,20022,21020,20010,21010,20010,20010,20120,20010,20112,20110,20010,20020,20020,20112,20100,20110,20022,20110,20120,20101,20101,20100,21100,20001,20020,20110,20010,20200,20010,20020,20000,21000,20111,20001,20022,20102,20010,20010,20100,20020,20011,21100,20010,21020,22000,22000,22000,22100,22000,22002,22000,22000,22022,22020,22112,22011,22220,22220,22220,22220,22220,22220,22200,22001,22200,22210,22201,22201,22200,22020,22120,22022,22020,22020,22001,22000,22010,22100,20001,20010,20100,20001,20000,21000,21010,21010,20010,20010,20000,20000
gr1nt,20011,20020,20000,22000,21000,20000,20010,20000,20000,20020,20000,20000,20010,20000,20000,20000,20010,21000,20000,20010,21000,21000,21010,21000,21000,20011,20010,20000,20010,20002,20010,20000,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20000,20100,20000,20010,20202,20000,20000,20100,21000,20000,20001,20000,20000,20000,20000,20010,20000,20000,20100,20000,20000,20000,20000,20000,20000,20002,20000,20000,21000,20002,20012,20010,20012,21010,20010,20000,21000,21010,21002,21000,20000,20000,20000,20000,20001,20001,20001,20001,20001,20000,20000,20002,20000,20010,21000,20100,21100,20000,20000,20000,20100,20010,20000,20000,20000,20002,20010,20000,20000,20110,20000,20002,20010,20012,20000,21000,20020,20000,20000,20000,20000,20000,20000,20000,21000,20010,20010,20010,20010,20000,20000,20000,20000,20010,21000,20000,21000,22000,22000,22000,22000,22000,22010,22002,22000,22010,22000,22010,22020,22000,22000,22000,22000,22000,22002,22002,22220,22000,22000,22020,22022,22002,22000,22000,22010,22000,22002,22020,22002,22001,22000,20020,20000,20000,20012,20000,21000,21100,21000,20000,20000,20000,20000
gr1pt,20001,20000,20000,22000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,21000,20000,20010,21010,21000,21000,21000,21000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20000,20100,20000,20000,20202,20000,20000,20100,21000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20002,20000,20000,21000,20002,20002,20000,20002,21000,20000,20010,21000,21000,21002,21000,20000,20000,20000,20000,20001,20001,20001,20001,20001,20000,20000,20002,20000,20000,21000,20100,21100,20000,20000,20000,20100,20000,20000,20000,20000,20002,20000,20000,20000,20110,20000,20002,20000,20002,20010,21000,20000,20000,20000,20000,20010,20000,20000,20010,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22010,22000,22000,22000,22000,22000,22010,22000,22002,22002,22200,22000,22000,22000,22002,22002,22000,22000,22000,22010,22002,22000,22002,22001,22000,20000,20000,20000,20002,20020,21000,21100,21000,20000,20000,20000,20000
gr1st,20011,20000,20010,22000,21000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,21000,21000,21000,21000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20022,20000,20000,20100,20000,20000,20202,20000,20000,20100,21000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20002,20010,20000,21000,20002,20002,20000,20002,21000,20010,20000,21000,21000,21022,21010,20010,20010,20010,20010,20011,20001,20001,20001,20001,20000,20000,20002,20000,20000,21000,20100,21100,20000,20010,20000,20100,20000,20010,20000,20000,20002,20000,20010,20000,20100,20000,20002,20010,20022,20020,21000,20010,20000,20010,20000,20000,20000,20000,20000,21000,20010,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22010,22000,22000,22000,22000,22010,22002,22002,22210,22000,22000,22000,22002,22002,22000,22000,22000,22000,22002,22000,22002,22001,22010,20000,20000,20000,20022,20000,21010,21100,21000,20000,20000,20000,20020
gr1ze,20001,20000,20000,22001,21000,20002,20001,20002,20001,20002,20001,20001,20000,20000,20000,20001,20001,21001,20000,20001,21001,21002,21001,21002,21002,20001,20001,20011,20011,20011,20010,20001,20002,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20101,20001,20001,20201,20001,20001,20101,21001,20001,20002,20001,20001,20002,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20002,20001,21002,20001,20001,21001,21001,21001,21001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20022,20001,20001,20001,20001,21001,20101,21101,20001,20001,20001,20101,20001,20001,20011,20011,20011,20011,20000,20002,20101,20002,20001,20000,20000,20000,21000,20000,20001,20001,20001,20000,20002,20001,20000,21000,20001,20000,20001,20000,20002,20002,20000,20001,20002,21000,20002,21011,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001,22000,22200,22000,22002,22000,22000,22000,22001,22001,22001,22001,22001,22000,22000,22002,22000,20000,20002,20000,20000,20000,21000,21101,21001,20001,20001,20000,20000
grilt,20001,20000,20000,22200,21000,20000,20000,20000,20010,20200,20000,20110,20010,20010,20000,20010,20000,21000,20000,20000,21000,21000,21000,21000,21000,20001,20000,20010,20000,20002,20000,20000,20000,20000,20010,20102,20000,20000,20000,20000,20002,20000,20110,20000,20010,20200,20002,20000,20000,20000,21100,20000,20001,20010,20010,20010,20110,20010,20110,20110,20010,20110,20110,20010,20010,20010,20000,20002,20100,20000,21000,20002,20002,20100,20002,21000,20000,20000,21100,21000,21002,21000,20000,20010,20100,20010,20001,20011,20101,20001,20001,20000,20010,20002,20010,20000,21000,20020,21000,20000,20000,20100,20000,20100,20100,20000,20010,20002,20100,20100,20100,20000,20110,20112,20100,20102,20100,21100,20010,20010,20110,20010,20210,20010,20010,20010,21010,20100,20000,20000,20100,20000,20000,20100,20010,20000,21100,20000,21000,22000,22000,22000,22100,22010,22000,22002,22000,22000,22000,22100,22000,22200,22200,22210,22200,22200,22202,22202,22000,22220,22200,22200,22202,22202,22000,22100,22000,22000,22002,22000,22002,22001,22100,20000,20000,20100,20002,20000,21000,21000,21000,20010,20000,20000,20000
grimt,20001,20000,20000,22200,21000,20000,20000,20000,20000,20200,20000,20100,20000,20000,20010,20010,20010,21010,20020,20000,21000,21000,21000,21000,21000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20102,20000,20000,20000,20000,20002,20000,20100,20000,20000,20200,20002,20000,20000,20000,21100,20000,20001,20000,20000,20000,20100,20000,20100,20100,20000,20100,20100,20000,20000,20000,20010,20012,20110,20010,21010,20012,20002,20100,20002,21000,20000,20000,21100,21000,21002,21000,20000,20000,20100,20000,20001,20001,20101,20001,20001,20000,20000,20002,20000,20000,21000,20000,21000,20000,20000,20100,20000,20100,20100,20000,20000,20002,20100,20100,20100,20000,20100,20102,20100,20102,20100,21100,20000,20000,20100,20000,20220,20000,20000,20000,21000,20100,20010,20000,20100,20000,20020,20110,20010,20000,21100,20000,21000,22000,22000,22000,22100,22000,22000,22002,22000,22000,22000,22100,22000,22200,22200,22200,22200,22200,22202,22202,22000,22200,22220,22200,22202,22202,22000,22100,22000,22000,22002,22000,22002,22001,22100,20000,20000,20120,20002,20000,21000,21010,21010,20000,20000,20020,20000
grist,20011,20000,20010,22200,21000,20000,20000,20000,20000,20200,20010,20100,20000,20000,20000,20000,20000,21000,20000,20000,21000,21000,21000,21000,21000,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20102,20000,20000,20000,20000,20022,20000,20100,20000,20000,20200,20002,20000,20000,20000,21100,20000,20001,20000,20000,20000,20100,20000,20100,20100,20000,20100,20100,20000,20000,20000,20000,20002,20110,20000,21000,20002,20002,20100,20002,21000,20010,20000,21100,21000,21022,21010,20010,20010,20110,20010,20011,20001,20101,20001,20001,20000,20000,20002,20000,20000,21000,20000,21000,20000,20010,20100,20000,20100,20110,20000,20000,20002,20100,20110,20100,20000,20100,20102,20110,20122,20120,21100,20010,20000,20110,20000,20200,20000,20000,20000,21000,20110,20000,20000,20100,20000,20000,20100,20000,20000,21100,20000,21000,22000,22000,22000,22100,22000,22000,22002,22000,22000,22000,22100,22010,22200,22200,22200,22200,22210,22202,22202,22010,22200,22200,22200,22202,22202,22000,22100,22000,22000,22002,22000,22002,22001,22110,20000,20000,20100,20022,20000,21010,21000,21000,20000,20000,20000,20020
grogs,20002,20000,20102,22000,21000,20000,20000,20000,20010,20000,20002,20000,20100,20100,20000,20000,20000,21000,20000,20000,21000,21000,21000,21100,21000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20100,20010,20100,20000,20001,20000,20010,20010,20100,20000,20000,20100,20000,20000,21000,20100,20000,20010,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,20100,21100,20100,20000,20000,20100,21000,20002,20000,21000,21000,21001,21001,20101,20001,20002,20101,20001,20000,20000,20100,20100,20000,20000,20000,20000,20000,21000,20000,21000,20010,20002,20000,20000,20000,20002,20010,20000,20000,20000,20002,20010,20000,20000,20000,20002,20001,20001,21000,20002,20000,20002,20000,20000,20200,20200,20200,21200,20002,20200,20100,20100,20100,20110,20100,20100,20100,21110,20100,21100,22000,22000,22010,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22002,22000,22000,22002,22000,22000,22000,22000,22100,22200,22200,22200,22200,22200,22200,22200,22200,22002,20100,20000,20000,20001,20000,21102,21000,21000,20000,20200,20100,20002
