Guess,zeeuw,zweed,zwols,zacht,zadel,zaden,zagen,zager,zaken,zalig,zambo,zanik,zavel,zeboe,zebra,zeden,zedig,zeelt,zegel,zegen,zegge,zegje,zeken,zeker,zelfs,zelve,zemel,zemen,zemig,zenen,zenig,zenit,zenuw,zepen,zepig,zesde,zetel,zeven,zever,zicht,zieke,ziens,ziezo,z1den,z1gen,z1l1n,z1nen,z1ner,z1net,z1pad,z1pen,z1tak,z1tas,z1tje,z1weg,z1zak,zitje,zloty,zoals,zocht,zodat,zoden,zodra,zogen,zolen,zomen,zomer,zomin,zonde,zones,zonet,zonz1,zopas,zopen,zoute,zover,zowat,zowel,zucht,zulke,zulks,zulle,zulte,zuren,zurig,zwaai,zwaan,zwaar,zwade,zwalp,zwamp,zwans,zware,zwart,zweeg,zweem,zweep,zweer,zweet,zwelg,zwenk,zwerk,zwerm,zwiep,zwier,zwilk,zwing,zwoel,zwoor,z1vak,zeper
zoekt,20200,20200,21000,20002,20100,20100,20100,20100,20110,20000,21000,20010,20100,21100,20100,20100,20100,20202,20100,20100,20100,20100,20110,20110,20100,20100,20100,20100,20100,20100,20100,20102,20100,20100,20100,20100,20101,20100,20100,20002,20220,20200,21200,20100,20100,20000,20100,20100,20102,20000,20100,20011,20001,20101,20100,20010,20101,21001,22000,22002,22002,22100,22000,22100,22100,22100,22100,22000,22100,22100,22102,22000,22000,22100,22101,22100,22002,22100,20002,20120,20020,20100,20101,20100,20000,20000,20000,20000,20100,20000,20000,20000,20100,20002,20200,20200,20200,20200,20202,20200,20210,20210,20200,20100,20100,20010,20000,21100,21000,20010,20100
zoele,20201,20201,21020,20000,20110,20100,20100,20100,20100,20010,21000,20000,20110,21102,20100,20101,20100,20221,20111,20101,20102,20102,20101,20101,20110,20112,20111,20101,20100,20101,20100,20100,20100,20101,20100,20102,20111,20101,20101,20000,20202,20200,21200,20100,20100,20010,20100,20100,20100,20000,20100,20000,20000,20002,20100,20000,20002,21010,22020,22000,22000,22100,22000,22100,22110,22100,22100,22000,22002,22100,22100,22000,22000,22100,22002,22100,22000,22110,20000,20012,20010,20022,20012,20100,20000,20000,20000,20000,20002,20020,20000,20000,20002,20000,20201,20201,20201,20201,20201,20220,20200,20200,20200,20100,20100,20020,20000,21110,21000,20000,20101
zoemt,20200,20200,21000,20002,20100,20100,20100,20100,20100,20000,21010,20000,20100,21100,20100,20100,20100,20202,20100,20100,20100,20100,20100,20100,20100,20100,20110,20110,20110,20100,20100,20102,20100,20100,20100,20100,20101,20100,20100,20002,20200,20200,21200,20100,20100,20000,20100,20100,20102,20000,20100,20001,20001,20101,20100,20000,20101,21001,22000,22002,22002,22100,22000,22100,22100,22110,22110,22010,22100,22100,22102,22000,22000,22100,22101,22100,22002,22100,20002,20100,20000,20100,20101,20100,20000,20000,20000,20000,20100,20000,20020,20000,20100,20002,20200,20210,20200,20200,20202,20200,20200,20200,20210,20100,20100,20000,20000,21100,21000,20000,20100
zoent,20200,20200,21000,20002,20100,20110,20110,20100,20110,20000,21000,20010,20100,21100,20100,20110,20100,20202,20100,20110,20100,20100,20110,20100,20100,20100,20100,20110,20100,20110,20110,20112,20110,20110,20100,20100,20101,20110,20100,20002,20200,20220,21200,20110,20110,20010,20110,20110,20112,20000,20110,20001,20001,20101,20100,20000,20101,21001,22000,22002,22002,22110,22000,22110,22110,22110,22100,22010,22110,22110,22112,22010,22000,22110,22101,22100,22002,22100,20002,20100,20000,20100,20101,20110,20000,20000,20010,20000,20100,20000,20000,20020,20100,20002,20200,20200,20200,20200,20202,20200,20220,20200,20200,20100,20100,20000,20020,21100,21000,20000,20100
zoete,20201,20201,21000,20010,20100,20100,20100,20100,20100,20000,21000,20000,20100,21102,20100,20101,20100,20211,20101,20101,20102,20102,20101,20101,20100,20102,20101,20101,20100,20101,20100,20110,20100,20101,20100,20102,20111,20101,20101,20010,20202,20200,21200,20100,20100,20000,20100,20100,20110,20000,20100,20010,20010,20012,20100,20000,20012,21020,22000,22010,22010,22100,22000,22100,22100,22100,22100,22000,22002,22100,22110,22000,22000,22100,22022,22100,22010,22100,20010,20002,20000,20002,20022,20100,20000,20000,20000,20000,20002,20000,20000,20000,20002,20010,20201,20201,20201,20201,20211,20200,20200,20200,20200,20100,20100,20000,20000,21100,21000,20000,20101
zonen,20010,20020,21000,20000,20020,20022,20022,20020,20022,20000,21000,20200,20020,21010,20010,20022,20010,20010,20020,20022,20010,20010,20022,20020,20010,20010,20020,20022,20010,20222,20210,20210,20210,20022,20010,20010,20020,20022,20020,20000,20010,20110,21010,20022,20022,20002,20222,20220,20220,20000,20022,20000,20000,20010,20020,20000,20010,21000,22000,22000,22000,22022,22000,22022,22022,22022,22020,22002,22210,22220,22220,22200,22000,22022,22010,22020,22000,22020,20000,20010,20000,20010,20010,20022,20000,20000,20002,20000,20010,20000,20000,20100,20010,20000,20020,20020,20020,20020,20020,20010,20110,20010,20010,20020,20020,20000,20100,21020,21000,20000,20020
zoogt,20000,20000,20200,20002,20000,20000,20010,20010,20000,20010,21000,20000,20000,21000,20000,20000,20010,20002,20010,20010,20020,20010,20000,20000,20000,20000,20000,20000,20010,20000,20010,20002,20000,20000,20010,20000,20001,20000,20000,20002,20000,20000,21000,20000,20010,20000,20000,20000,20002,20000,20000,20001,20001,20001,20010,20000,20001,20201,22000,22002,22002,22000,22000,22010,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22001,22000,22002,22000,20002,20000,20000,20000,20001,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20002,20010,20000,20000,20000,20002,20010,20000,20000,20000,20000,20000,20000,20010,20200,21200,20000,20000
zoolt,20000,20000,20220,20002,20010,20000,20000,20000,20000,20010,21000,20000,20010,21000,20000,20000,20000,20022,20010,20000,20000,20000,20000,20000,20010,20010,20010,20000,20000,20000,20000,20002,20000,20000,20000,20000,20011,20000,20000,20002,20000,20000,21000,20000,20000,20010,20000,20000,20002,20000,20000,20001,20001,20001,20000,20000,20001,20211,22020,22002,22002,22000,22000,22000,22010,22000,22000,22000,22000,22000,22002,22000,22000,22000,22001,22000,22002,22010,20002,20010,20010,20020,20011,20000,20000,20000,20000,20000,20000,20020,20000,20000,20000,20002,20000,20000,20000,20000,20002,20020,20000,20000,20000,20000,20000,20020,20000,20210,21200,20000,20000
zoomt,20000,20000,20200,20002,20000,20000,20000,20000,20000,20000,21010,20000,20000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,20000,20000,20002,20000,20000,20000,20000,20001,20000,20000,20002,20000,20000,21000,20000,20000,20000,20000,20000,20002,20000,20000,20001,20001,20001,20000,20000,20001,20201,22000,22002,22002,22000,22000,22000,22000,22010,22010,22010,22000,22000,22002,22000,22000,22000,22001,22000,22002,22000,20002,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20002,20000,20010,20000,20000,20002,20000,20000,20000,20010,20000,20000,20000,20000,20200,21200,20000,20000
zoons,20000,20000,20202,20000,20000,20010,20010,20000,20010,20000,21000,20010,20000,21000,20000,20010,20000,20000,20000,20010,20000,20000,20010,20000,20002,20000,20000,20010,20000,20010,20010,20010,20010,20010,20000,20001,20000,20010,20000,20000,20000,20022,21000,20010,20010,20010,20010,20010,20010,20000,20010,20000,20002,20000,20000,20000,20000,20200,22002,22000,22000,22010,22000,22010,22010,22010,22000,22010,22010,22012,22010,22010,22002,22010,22000,22000,22000,22000,20000,20000,20002,20000,20000,20010,20000,20000,20010,20000,20000,20000,20000,20022,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20000,20000,20000,20020,20200,21200,20000,20000
zorgt,20000,20000,21000,20002,20000,20000,20010,20110,20000,20010,21000,20000,20000,21000,20100,20000,20010,20002,20010,20010,20020,20010,20000,20100,20000,20000,20000,20000,20010,20000,20010,20002,20000,20000,20010,20000,20001,20000,20100,20002,20000,20000,21000,20000,20010,20000,20000,20100,20002,20000,20000,20001,20001,20001,20010,20000,20001,21001,22000,22002,22002,22000,22100,22010,22000,22000,22100,22000,22000,22000,22002,22000,22000,22000,22001,22100,22002,22000,20002,20000,20000,20000,20001,20200,20210,20000,20000,20100,20000,20000,20000,20000,20100,20102,20010,20000,20000,20100,20002,20010,20000,20100,20100,20000,20100,20000,20010,21000,21100,20000,20100
zotst,20000,20000,21010,20002,20000,20000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20010,20200,20000,20000,20002,20000,20010,21000,20000,20000,20000,20000,20000,20002,20000,20000,20200,20210,20200,20000,20000,20200,21100,22010,22002,22002,22000,22000,22000,22000,22000,22000,22000,22000,22010,22002,22000,22010,22000,22100,22000,22002,22000,20002,20000,20010,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20002,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000
zotte,20001,20001,21000,20100,20001,20001,20001,20001,20001,20000,21000,20000,20001,21002,20001,20001,20001,20101,20001,20001,20002,20002,20001,20001,20001,20002,20001,20001,20001,20001,20001,20101,20001,20001,20001,20002,20201,20001,20001,20100,20002,20001,21001,20001,20001,20000,20001,20001,20101,20000,20001,20200,20200,20202,20001,20000,20202,21020,22000,22100,22100,22001,22000,22001,22001,22001,22001,22000,22002,22001,22101,22000,22000,22001,22022,22001,22100,22001,20100,20002,20000,20002,20022,20001,20000,20000,20000,20000,20002,20000,20000,20000,20002,20100,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20000,20000,21001,21000,20000,20001
zoude,20101,20011,21000,20000,20011,20011,20001,20001,20001,20000,21000,20000,20001,21002,20001,20011,20011,20001,20001,20001,20002,20002,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20101,20001,20001,20022,20001,20001,20001,20000,20002,20001,21001,20011,20001,20000,20001,20001,20001,20010,20001,20000,20000,20002,20001,20000,20002,21000,22000,22000,22010,22011,22010,22001,22001,22001,22001,22000,22022,22001,22001,22000,22000,22001,22202,22001,22000,22001,20100,20102,20100,20102,20102,20101,20100,20000,20000,20000,20022,20000,20000,20000,20002,20000,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,21001,21000,20000,20001
zoudt,20100,20010,21000,20002,20010,20010,20000,20000,20000,20000,21000,20000,20000,21000,20000,20010,20010,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20100,20000,20000,20020,20001,20000,20000,20002,20000,20000,21000,20010,20000,20000,20000,20000,20002,20010,20000,20001,20001,20001,20000,20000,20001,21001,22000,22002,22012,22010,22010,22000,22000,22000,22000,22000,22020,22000,22002,22000,22000,22000,22201,22000,22002,22000,20102,20100,20100,20100,20101,20100,20100,20000,20000,20000,20020,20000,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000
zuigt,21000,20000,20000,20002,20000,20000,20010,20010,20000,20110,20000,20100,20000,20000,20000,20000,20110,20002,20010,20010,20020,20010,20000,20000,20000,20000,20000,20000,20110,20000,20110,20102,21000,20000,20110,20000,20001,20000,20000,20102,20100,20100,20100,20000,20010,20000,20000,20000,20002,20000,20000,20001,20001,20001,20010,20000,20101,20001,20000,20002,20002,20000,20000,20010,20000,20000,20000,20100,20000,20000,20002,20000,20000,20000,21001,20000,20002,20000,22002,22000,22000,22000,22001,22000,22110,20100,20000,20000,20000,20000,20000,20000,20000,20002,20010,20000,20000,20000,20002,20010,20000,20000,20000,20200,20200,20200,20210,20000,20000,20000,20000
zuipt,21000,20000,20000,20002,20000,20000,20000,20000,20000,20100,20000,20100,20000,20000,20000,20000,20100,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20100,20102,21000,20010,20110,20000,20001,20000,20000,20102,20100,20100,20100,20000,20000,20000,20000,20000,20002,20010,20010,20001,20001,20001,20000,20000,20101,20001,20000,20002,20002,20000,20000,20000,20000,20000,20000,20100,20000,20000,20002,20000,20010,20010,21001,20000,20002,20000,22002,22000,22000,22000,22001,22000,22100,20100,20000,20000,20000,20010,20010,20000,20000,20002,20000,20000,20010,20000,20002,20000,20000,20000,20000,20210,20200,20200,20200,20000,20000,20000,20010
zusje,21001,20001,20100,20000,20001,20001,20001,20001,20001,20000,20000,20000,20001,20002,20001,20001,20001,20001,20001,20001,20002,20022,20001,20001,20101,20002,20001,20001,20001,20001,20001,20001,21001,20001,20001,20202,20001,20001,20001,20000,20002,20101,20001,20001,20001,20000,20001,20001,20001,20000,20001,20000,20100,20022,20001,20000,20022,20000,20100,20000,20000,20001,20000,20001,20001,20001,20001,20000,20002,20101,20001,20000,20100,20001,21002,20001,20000,20001,22000,22002,22100,22002,22002,22001,22000,20000,20000,20000,20002,20000,20000,20100,20002,20000,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20001,20000,20000,20001
zuurt,21000,20000,20000,20002,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20020,20000,20000,20002,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20002,21000,20000,20000,20000,20001,20000,20010,20002,20000,20000,20000,20000,20000,20000,20000,20010,20002,20000,20000,20001,20001,20001,20000,20000,20001,20001,20000,20002,20002,20000,20020,20000,20000,20000,20010,20000,20000,20000,20002,20000,20000,20000,20201,20010,20002,20000,22002,22000,22000,22000,22001,22010,22010,20000,20000,20010,20000,20000,20000,20000,20020,20022,20000,20000,20000,20010,20002,20000,20000,20020,20020,20000,20010,20000,20000,20000,20010,20000,20010
zwakt,21000,22000,22000,20102,20100,20100,20100,20100,20110,20100,20100,20110,20100,20000,20100,20000,20000,20002,20000,20000,20000,20000,20010,20010,20000,20000,20000,20000,20000,20000,20000,20002,21000,20000,20000,20000,20001,20000,20000,20002,20020,20000,20000,20000,20000,20000,20000,20000,20002,20100,20000,20111,20101,20001,21000,20110,20001,20001,20200,20002,20102,20000,20100,20000,20000,20000,20000,20000,20000,20000,20002,20000,20100,20000,20001,20000,21102,21000,20002,20020,20020,20000,20001,20000,20000,22200,22200,22200,22200,22200,22200,22200,22200,22202,22000,22000,22000,22000,22002,22000,22010,22010,22000,22000,22000,22010,22000,22000,22000,20110,20000
zwalk,21000,22000,22020,20100,20110,20100,20100,20100,20101,20110,20100,20102,20110,20000,20100,20000,20000,20020,20010,20000,20000,20000,20001,20001,20010,20010,20010,20000,20000,20000,20000,20000,21000,20000,20000,20000,20010,20000,20000,20000,20001,20000,20000,20000,20000,20010,20000,20000,20000,20100,20000,20102,20100,20000,21000,20102,20000,20010,20220,20000,20100,20000,20100,20000,20010,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,21100,21010,20000,20011,20011,20020,20010,20000,20000,22200,22200,22200,22200,22220,22200,22200,22200,22200,22000,22000,22000,22000,22000,22020,22002,22002,22000,22000,22000,22022,22000,22010,22000,20102,20000
zwamt,21000,22000,22000,20102,20100,20100,20100,20100,20100,20100,20110,20100,20100,20000,20100,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,20000,20000,20002,21000,20000,20000,20000,20001,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20100,20000,20101,20101,20001,21000,20100,20001,20001,20200,20002,20102,20000,20100,20000,20000,20010,20010,20010,20000,20000,20002,20000,20100,20000,20001,20000,21102,21000,20002,20000,20000,20000,20001,20000,20000,22200,22200,22200,22200,22200,22220,22200,22200,22202,22000,22010,22000,22000,22002,22000,22000,22000,22010,22000,22000,22000,22000,22000,22000,20100,20000
zweef,21210,22220,22000,20000,20020,20020,20020,20020,20020,20000,20000,20000,20020,20110,20100,20120,20100,20210,20120,20120,20110,20110,20120,20120,20101,20110,20120,20120,20100,20120,20100,20100,21100,20120,20100,20110,20120,20120,20120,20000,20210,20200,20200,20020,20020,20000,20020,20020,20020,20000,20020,20000,20000,20100,21020,20000,20100,20000,20000,20000,20000,20020,20000,20020,20020,20020,20020,20000,20100,20020,20020,20000,20000,20020,20100,20020,21000,21020,20000,20100,20000,20100,20100,20020,20000,22000,22000,22000,22100,22000,22000,22000,22100,22000,22220,22220,22220,22220,22220,22200,22200,22200,22200,22020,22020,22000,22000,22020,22000,20000,20120
zweel,21210,22220,22001,20000,20022,20020,20020,20020,20020,20001,20000,20000,20022,20110,20100,20120,20100,20211,20122,20120,20110,20110,20120,20120,20101,20111,20122,20120,20100,20120,20100,20100,21100,20120,20100,20110,20122,20120,20120,20000,20210,20200,20200,20020,20020,20001,20020,20020,20020,20000,20020,20000,20000,20100,21020,20000,20100,20001,20001,20000,20000,20020,20000,20020,20021,20020,20020,20000,20100,20020,20020,20000,20000,20020,20100,20020,21000,21022,20000,20101,20001,20101,20101,20020,20000,22000,22000,22000,22100,22001,22000,22000,22100,22000,22220,22220,22220,22220,22220,22201,22200,22200,22200,22020,22020,22001,22000,22022,22000,20000,20120
zwelt,21200,22200,22020,20002,20110,20100,20100,20100,20100,20010,20000,20000,20110,20100,20100,20100,20100,20222,20110,20100,20100,20100,20100,20100,20110,20110,20110,20100,20100,20100,20100,20102,21100,20100,20100,20100,20111,20100,20100,20002,20200,20200,20200,20100,20100,20010,20100,20100,20102,20000,20100,20001,20001,20101,21100,20000,20101,20011,20020,20002,20002,20100,20000,20100,20110,20100,20100,20000,20100,20100,20102,20000,20000,20100,20101,20100,21002,21110,20002,20110,20010,20120,20111,20100,20000,22000,22000,22000,22100,22020,22000,22000,22100,22002,22200,22200,22200,22200,22202,22220,22200,22200,22200,22100,22100,22020,22000,22110,22000,20000,20100
zwemt,21200,22200,22000,20002,20100,20100,20100,20100,20100,20000,20010,20000,20100,20100,20100,20100,20100,20202,20100,20100,20100,20100,20100,20100,20100,20100,20110,20110,20110,20100,20100,20102,21100,20100,20100,20100,20101,20100,20100,20002,20200,20200,20200,20100,20100,20000,20100,20100,20102,20000,20100,20001,20001,20101,21100,20000,20101,20001,20000,20002,20002,20100,20000,20100,20100,20110,20110,20010,20100,20100,20102,20000,20000,20100,20101,20100,21002,21100,20002,20100,20000,20100,20101,20100,20000,22000,22000,22000,22100,22000,22020,22000,22100,22002,22200,22210,22200,22200,22202,22200,22200,22200,22210,22100,22100,22000,22000,22100,22000,20000,20100
zwerf,21200,22200,22000,20000,20100,20100,20100,20110,20100,20000,20000,20000,20100,20100,20120,20100,20100,20200,20100,20100,20100,20100,20100,20110,20101,20100,20100,20100,20100,20100,20100,20100,21100,20100,20100,20100,20100,20100,20110,20000,20200,20200,20200,20100,20100,20000,20100,20110,20100,20000,20100,20000,20000,20100,21100,20000,20100,20000,20000,20000,20000,20100,20020,20100,20100,20100,20110,20000,20100,20100,20100,20000,20000,20100,20100,20110,21000,21100,20000,20100,20000,20100,20100,20110,20010,22000,22000,22010,22100,22000,22000,22000,22120,22020,22200,22200,22200,22210,22200,22200,22200,22220,22220,22100,22110,22000,22000,22100,22010,20000,20110
zwets,21200,22200,22002,20010,20100,20100,20100,20100,20100,20000,20000,20000,20100,20100,20100,20100,20100,20210,20100,20100,20100,20100,20100,20100,20102,20100,20100,20100,20100,20100,20100,20110,21100,20100,20100,20101,20110,20100,20100,20010,20200,20202,20200,20100,20100,20000,20100,20100,20110,20000,20100,20010,20012,20110,21100,20000,20110,20020,20002,20010,20010,20100,20000,20100,20100,20100,20100,20000,20100,20102,20110,20000,20002,20100,20120,20100,21010,21100,20010,20100,20002,20100,20120,20100,20000,22000,22000,22000,22100,22000,22000,22002,22100,22010,22200,22200,22200,22200,22210,22200,22200,22200,22200,22100,22100,22000,22000,22100,22000,20000,20100
zw1gt,21000,22000,22000,20002,20000,20000,20010,20010,20000,20010,20000,20000,20000,20000,20000,20000,20010,20002,20010,20010,20020,20010,20000,20000,20000,20000,20000,20000,20010,20000,20010,20002,21000,20000,20010,20000,20001,20000,20000,20002,20000,20000,20000,20100,20110,20100,20100,20100,20102,20100,20100,20101,20101,20101,21110,20100,20001,20001,20000,20002,20002,20000,20000,20010,20000,20000,20000,20000,20000,20000,20002,20100,20000,20000,20001,20000,21002,21000,20002,20000,20000,20000,20001,20000,20010,22000,22000,22000,22000,22000,22000,22000,22000,22002,22010,22000,22000,22000,22002,22010,22000,22000,22000,22000,22000,22000,22010,22000,22000,20100,20000
zw1mt,21000,22000,22000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,20000,20000,20002,21000,20000,20000,20000,20001,20000,20000,20002,20000,20000,20000,20100,20100,20100,20100,20100,20102,20100,20100,20101,20101,20101,21100,20100,20001,20001,20000,20002,20002,20000,20000,20000,20000,20010,20010,20010,20000,20000,20002,20100,20000,20000,20001,20000,21002,21000,20002,20000,20000,20000,20001,20000,20000,22000,22000,22000,22000,22000,22020,22000,22000,22002,22000,22010,22000,22000,22002,22000,22000,22000,22010,22000,22000,22000,22000,22000,22000,20100,20000
zw1nt,21000,22000,22000,20002,20000,20010,20010,20000,20010,20000,20000,20010,20000,20000,20000,20010,20000,20002,20000,20010,20000,20000,20010,20000,20000,20000,20000,20010,20000,20010,20010,20012,21010,20010,20000,20000,20001,20010,20000,20002,20000,20020,20000,20110,20110,20110,20110,20110,20112,20100,20110,20101,20101,20101,21100,20100,20001,20001,20000,20002,20002,20010,20000,20010,20010,20010,20000,20010,20010,20010,20012,20110,20000,20010,20001,20000,21002,21000,20002,20000,20000,20000,20001,20010,20000,22000,22010,22000,22000,22000,22000,22020,22000,22002,22000,22000,22000,22000,22002,22000,22020,22000,22000,22000,22000,22000,22020,22000,22000,20100,20000
zwikt,21000,22000,22000,20002,20000,20000,20000,20000,20010,20100,20000,20110,20000,20000,20000,20000,20100,20002,20000,20000,20000,20000,20010,20010,20000,20000,20000,20000,20100,20000,20100,20102,21000,20000,20100,20000,20001,20000,20000,20102,20120,20100,20100,20000,20000,20000,20000,20000,20002,20000,20000,20011,20001,20001,21000,20010,20101,20001,20000,20002,20002,20000,20000,20000,20000,20000,20000,20100,20000,20000,20002,20000,20000,20000,20001,20000,21002,21000,20002,20020,20020,20000,20001,20000,20100,22100,22000,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22002,22000,22010,22010,22000,22200,22200,22210,22200,22000,22000,20010,20000
zwoeg,21010,22020,22200,20000,20020,20020,20021,20021,20020,20002,20100,20000,20020,20110,20010,20020,20012,20010,20021,20021,20011,20011,20020,20020,20010,20010,20020,20020,20012,20020,20012,20010,21010,20020,20012,20010,20020,20020,20020,20000,20010,20010,20110,20020,20021,20000,20020,20020,20020,20000,20020,20000,20000,20010,21022,20000,20010,20200,20100,20100,20100,20120,20100,20121,20120,20120,20120,20100,20110,20120,20120,20100,20100,20120,20110,20120,21100,21120,20000,20010,20000,20010,20010,20020,20002,22000,22000,22000,22010,22000,22000,22000,22010,22000,22022,22020,22020,22020,22020,22012,22010,22010,22010,22020,22020,22000,22002,22220,22200,20000,20020
ziend,20200,20202,20000,20000,20101,20111,20110,20100,20110,21000,20000,21010,20100,20100,20100,20111,21101,20200,20100,20110,20100,20100,20110,20100,20100,20100,20100,20110,21100,20110,21110,21110,20110,20110,21100,20101,20100,20110,20100,22000,22200,22220,22200,20111,20110,20010,20110,20110,20110,20002,20110,20000,20000,20100,20100,20000,22100,20000,20000,20000,20001,20111,20001,20110,20110,20110,20100,21010,20111,20110,20110,20010,20000,20110,20100,20100,20000,20100,20000,20100,20000,20100,20100,20110,21000,21000,20010,20000,20101,20000,20000,20020,20100,20000,20200,20200,20200,20200,20200,20200,20220,20200,20200,21100,21100,21000,21020,20100,20000,20000,20100
z1des,20010,20120,20002,20000,20220,20220,20020,20020,20020,20000,20000,20000,20020,20010,20010,20220,20210,20010,20020,20020,20010,20010,20020,20020,20012,20010,20020,20020,20010,20020,20010,20010,20010,20020,20010,20111,20020,20020,20020,20000,20010,20012,20010,22220,22020,22000,22020,22020,22020,22100,22020,22000,22002,22010,22020,22000,20010,20000,20002,20000,20200,20220,20200,20020,20020,20020,20020,20000,20110,20022,20020,21000,20002,20020,20010,20020,20000,20020,20000,20010,20002,20010,20010,20020,20000,20000,20000,20000,20110,20000,20000,20002,20010,20000,20020,20020,20020,20020,20020,20010,20010,20010,20010,20020,20020,20000,20000,20020,20000,22000,20020
zinde,20001,20011,20000,20000,20011,20111,20101,20001,20101,21000,20000,21200,20001,20002,20001,20111,21011,20001,20001,20101,20002,20002,20101,20001,20001,20002,20001,20101,21001,20201,21201,21201,20201,20101,21001,20022,20001,20101,20001,22000,22002,22101,22001,20111,20101,20100,20201,20201,20201,20010,20101,20000,20000,20002,20001,20000,22002,20000,20000,20000,20010,20111,20010,20101,20101,20101,20001,21100,20222,20201,20201,20200,20000,20101,20002,20001,20000,20001,20000,20002,20000,20002,20002,20101,21000,21000,20100,20000,20022,20000,20000,20100,20002,20000,20001,20001,20001,20001,20001,20001,20101,20001,20001,21001,21001,21000,21100,20001,20000,20000,20001
zipte,20001,20001,20000,20010,20001,20001,20001,20001,20001,21000,20000,21000,20001,20002,20001,20001,21001,20011,20001,20001,20002,20002,20001,20001,20001,20002,20001,20001,21001,20001,21001,21011,20001,20201,21201,20002,20011,20001,20001,22010,22002,22001,22001,20001,20001,20000,20001,20001,20011,20200,20201,20010,20010,20012,20001,20000,22012,20020,20000,20010,20010,20001,20000,20001,20001,20001,20001,21000,20002,20001,20011,20000,20200,20201,20022,20001,20010,20001,20010,20002,20000,20002,20022,20001,21000,21000,20000,20000,20002,20100,20100,20000,20002,20010,20001,20001,20101,20001,20011,20001,20001,20001,20001,21101,21001,21000,21000,20001,20000,20000,20201
zoets,20200,20200,21002,20010,20100,20100,20100,20100,20100,20000,21000,20000,20100,21100,20100,20100,20100,20210,20100,20100,20100,20100,20100,20100,20102,20100,20100,20100,20100,20100,20100,20110,20100,20100,20100,20101,20110,20100,20100,20010,20200,20202,21200,20100,20100,20000,20100,20100,20110,20000,20100,20010,20012,20110,20100,20000,20110,21020,22002,22010,22010,22100,22000,22100,22100,22100,22100,22000,22100,22102,22110,22000,22002,22100,22120,22100,22010,22100,20010,20100,20002,20100,20120,20100,20000,20000,20000,20000,20100,20000,20000,20002,20100,20010,20200,20200,20200,20200,20210,20200,20200,20200,20200,20100,20100,20000,20000,21100,21000,20000,20100
zotje,20001,20001,21000,20100,20001,20001,20001,20001,20001,20000,21000,20000,20001,21002,20001,20001,20001,20101,20001,20001,20002,20022,20001,20001,20001,20002,20001,20001,20001,20001,20001,20101,20001,20001,20001,20002,20201,20001,20001,20100,20002,20001,21001,20001,20001,20000,20001,20001,20101,20000,20001,20200,20200,20222,20001,20000,20222,21100,22000,22100,22100,22001,22000,22001,22001,22001,22001,22000,22002,22001,22101,22000,22000,22001,22102,22001,22100,22001,20100,20002,20000,20002,20102,20001,20000,20000,20000,20000,20002,20000,20000,20000,20002,20100,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20000,20000,21001,21000,20000,20001
zesje,22001,21001,20100,20000,21000,21000,21000,21000,21000,20000,20000,20000,21000,22002,22000,22001,22000,22001,22001,22001,22002,22022,22001,22001,22100,22002,22001,22001,22000,22001,22000,22000,22000,22001,22000,22202,22001,22001,22001,20000,21002,21100,21000,21000,21000,20000,21000,21000,21000,20000,21000,20000,20100,20022,21000,20000,20022,20000,20100,20000,20000,21000,20000,21000,21000,21000,21000,20000,20002,21100,21000,20000,20100,21000,20002,21000,20000,21000,20000,20002,20100,20002,20002,21000,20000,20000,20000,20000,20002,20000,20000,20100,20002,20000,21001,21001,21001,21001,21001,21000,21000,21000,21000,21000,21000,20000,20000,21000,20000,20000,22001
