Guess,maagd,mahdi,malta,maori,mekka,moors,morin,maagd,maand,maart,maats,macho,macht,macro,madam,mager,maggi,magie,magma,magot,majem,major,makam,maken,maker,makke,malen,maler,malie,malta,malus,malve,mamba,mamma,manco,mande,manen,maner,manga,mango,manie,manna,manou,maren,marge,markt,marot,maske,massa,match,maten,mater,matig,matje,matse,mauve,mazen,media,medio,medoc,meel1,meent,meers,meest,meeuw,meien,meier,mekka,melde,melen,melig,melis,meluw,memel,menen,menie,menig,mensa,merci,merel,meren,meson,meten,meter,metro,meute,mezzo,miauw,micro,m1den,m1nen,m1ner,m1ten,m1ter,milde,mille,mimen,mimer,minne,minor,minst,minus,mirre,mirte,mixen,mixer,mixes,mocht,model,modem,modus,moeke,moest,mogen,mogol,moker,mokka,molen,molik,monde,moois,moord,morel,moren,mores,morse,motel,motet,motie,motor,motse,motte,motto,moven,mufte,mulat,mungo,musea,muzak,mythe,moede,mikwe,mikwa,mixed
mofje,20000,20000,20000,21000,20001,22000,22000,20000,20000,20000,20000,21000,20000,21000,20000,20001,20000,20002,20000,21000,20011,21010,20000,20001,20001,20002,20001,20001,20002,20000,20000,20002,20000,20000,21000,20002,20001,20001,20000,21000,20002,20000,21000,20001,20002,20000,21000,20002,20000,20000,20001,20001,20000,20022,20002,20002,20001,20001,21001,21001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,21001,20002,21001,20000,21000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,21000,20000,20000,20002,20002,20001,20001,20001,22000,22001,22001,22000,22002,22001,22001,22000,22001,22000,22001,22000,22002,22000,22000,22001,22001,22001,22002,22001,22001,22002,22000,22002,22002,22000,22001,20202,20000,21000,20001,20000,20002,22002,20002,20000,20001
mokte,20000,20000,20020,21000,20201,22000,22000,20000,20000,20010,20020,21000,20010,21000,20000,20001,20000,20002,20000,21010,20001,21000,20200,20201,20201,20202,20001,20001,20002,20020,20000,20002,20000,20000,21000,20002,20001,20001,20000,21000,20002,20000,21000,20001,20002,20110,21010,20102,20000,20010,20011,20011,20010,20012,20012,20002,20001,20001,21001,21001,20001,20011,20001,20011,20001,20001,20001,20201,20002,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20011,20011,21011,20022,21001,20000,21000,20001,20001,20001,20011,20011,20002,20002,20001,20001,20002,21000,20010,20000,20002,20022,20001,20001,20001,22010,22001,22001,22000,22102,22011,22001,22000,22201,22200,22001,22100,22002,22000,22000,22001,22001,22001,22002,22011,22011,22012,22010,22012,22022,22020,22001,20022,20010,21000,20001,20100,20012,22002,20202,20200,20001
molde,20010,20020,20200,21000,20001,22000,22000,20010,20010,20000,20000,21000,20000,21000,20010,20001,20000,20002,20000,21000,20001,21000,20000,20001,20001,20002,20201,20201,20202,20200,20200,20202,20000,20000,21000,20022,20001,20001,20000,21000,20002,20000,21000,20001,20002,20000,21000,20002,20000,20000,20001,20001,20000,20002,20002,20002,20001,20011,21011,21011,20101,20001,20001,20001,20001,20001,20001,20001,20222,20201,20201,20201,20201,20101,20001,20002,20001,20001,20001,20101,20001,21001,20001,20001,21001,20002,21001,20000,21000,20011,20001,20001,20001,20001,20222,20202,20001,20001,20002,21000,20000,20000,20002,20002,20001,20001,20001,22000,22111,22011,22010,22002,22001,22001,22100,22001,22000,22201,22200,22022,22000,22010,22101,22001,22001,22002,22101,22001,22002,22000,22002,22002,22000,22001,20002,20200,21000,20001,20000,20002,22022,20002,20000,20011
molmt,20000,20000,20201,21000,20000,22000,22000,20000,20000,20002,20001,21000,20002,21000,20010,20000,20000,20000,20020,21002,20010,21000,20010,20000,20000,20000,20200,20200,20200,20201,20200,20200,20010,20020,21000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20002,21002,20000,20000,20001,20001,20001,20001,20001,20001,20000,20000,20000,21000,21000,20100,20002,20000,20002,20000,20000,20000,20000,20200,20200,20200,20200,20200,20110,20000,20000,20000,20000,20000,20100,20000,21000,20001,20001,21001,20001,21000,20000,21000,20000,20000,20000,20001,20001,20200,20200,20010,20010,20000,21000,20002,20000,20000,20001,20000,20000,20000,22002,22100,22010,22000,22000,22002,22000,22100,22000,22000,22200,22200,22000,22000,22000,22100,22000,22000,22000,22101,22002,22001,22001,22001,22001,22001,22000,20001,20202,21000,20000,20000,20001,22000,20000,20000,20000
momde,20010,20020,20000,21000,20001,22000,22000,20010,20010,20000,20000,21000,20000,21000,20110,20001,20000,20002,20100,21000,20101,21000,20100,20001,20001,20002,20001,20001,20002,20000,20000,20002,20200,20200,21000,20022,20001,20001,20000,21000,20002,20000,21000,20001,20002,20000,21000,20002,20000,20000,20001,20001,20000,20002,20002,20002,20001,20011,21011,21011,20001,20001,20001,20001,20001,20001,20001,20001,20022,20001,20001,20001,20001,20201,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,21001,20002,21001,20000,21000,20011,20001,20001,20001,20001,20022,20002,20201,20201,20002,21000,20000,20000,20002,20002,20001,20001,20001,22000,22011,22111,22010,22002,22001,22001,22000,22001,22000,22001,22000,22022,22000,22010,22001,22001,22001,22002,22001,22001,22002,22000,22002,22002,22000,22001,20002,20000,21000,20001,20000,20002,22022,20002,20000,20011
mondt,20010,20020,20001,21000,20000,22000,22100,20010,20110,20002,20001,21000,20002,21000,20010,20000,20000,20000,20000,21002,20000,21000,20000,20100,20000,20000,20100,20000,20000,20001,20000,20000,20000,20000,21200,20220,20200,20200,20200,21200,20200,20200,21200,20100,20000,20002,21002,20000,20000,20001,20101,20001,20001,20001,20001,20000,20100,20010,21010,21010,20000,20102,20000,20002,20000,20100,20000,20000,20020,20100,20000,20000,20000,20000,20200,20200,20200,20200,20000,20000,20100,21100,20101,20001,21001,20001,21000,20000,21000,20110,20200,20200,20101,20001,20020,20000,20100,20000,20200,21200,20202,20200,20000,20001,20100,20000,20000,22002,22010,22010,22010,22000,22002,22100,22000,22000,22000,22100,22000,22220,22000,22010,22000,22100,22000,22000,22001,22002,22001,22001,22001,22001,22001,22100,20001,20002,21200,20000,20000,20001,22020,20000,20000,20010
moogt,20020,20000,20001,20200,20000,22200,22000,20020,20000,20002,20001,21000,20002,21000,20000,20010,20020,20010,20010,21012,20000,21000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,21000,20000,20000,20000,20020,21020,20000,20000,21000,20000,20020,20002,21002,20000,20000,20001,20001,20001,20011,20001,20001,20000,20000,20000,21000,21000,20000,20002,20000,20002,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,21000,20001,20001,21001,20001,21000,20000,21000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,21000,20002,20000,20000,20001,20000,20000,20000,22002,22000,22000,22000,22000,22002,22010,22110,22000,22000,22000,22000,22000,22200,22200,22000,22000,22000,22000,22001,22002,22001,22101,22001,22001,22101,22000,20001,20002,21020,20000,20000,20001,22000,20000,20000,20000
mooie,20000,20010,20000,20210,20001,22200,22020,20000,20000,20000,20000,21000,20000,21000,20000,20001,20010,20022,20000,21000,20001,21000,20000,20001,20001,20002,20001,20001,20022,20000,20000,20002,20000,20000,21000,20002,20001,20001,20000,21000,20022,20000,21000,20001,20002,20000,21000,20002,20000,20000,20001,20001,20020,20002,20002,20002,20001,20021,21021,21001,20001,20001,20001,20001,20001,20011,20011,20001,20002,20001,20021,20021,20001,20001,20001,20022,20021,20001,20011,20001,20001,21001,20001,20001,21001,20002,21001,20010,21010,20001,20001,20001,20001,20001,20012,20012,20011,20011,20012,21010,20010,20010,20012,20012,20011,20011,20011,22000,22001,22001,22000,22002,22001,22001,22100,22001,22000,22001,22020,22002,22220,22200,22001,22001,22001,22002,22001,22001,22022,22100,22002,22002,22100,22001,20002,20000,21000,20001,20000,20002,22002,20012,20010,20011
mopje,20000,20000,20000,21000,20001,22000,22000,20000,20000,20000,20000,21000,20000,21000,20000,20001,20000,20002,20000,21000,20011,21010,20000,20001,20001,20002,20001,20001,20002,20000,20000,20002,20000,20000,21000,20002,20001,20001,20000,21000,20002,20000,21000,20001,20002,20000,21000,20002,20000,20000,20001,20001,20000,20022,20002,20002,20001,20001,21001,21001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,21001,20002,21001,20000,21000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,21000,20000,20000,20002,20002,20001,20001,20001,22000,22001,22001,22000,22002,22001,22001,22000,22001,22000,22001,22000,22002,22000,22000,22001,22001,22001,22002,22001,22001,22002,22000,22002,22002,22000,22001,20002,20000,21000,20001,20000,20002,22002,20002,20000,20001
morde,20010,20020,20000,21100,20001,22100,22200,20010,20010,20100,20000,21000,20000,21100,20010,20101,20000,20002,20000,21000,20001,21100,20000,20001,20101,20002,20001,20101,20002,20000,20000,20002,20000,20000,21000,20022,20001,20101,20000,21000,20002,20000,21000,20201,20202,20200,21200,20002,20000,20000,20001,20101,20000,20002,20002,20002,20001,20011,21011,21011,20001,20001,20101,20001,20001,20001,20101,20001,20022,20001,20001,20001,20001,20001,20001,20002,20001,20001,20201,20201,20201,21001,20001,20101,21101,20002,21001,20000,21100,20011,20001,20101,20001,20101,20022,20002,20001,20101,20002,21100,20000,20000,20202,20202,20001,20101,20001,22000,22011,22011,22010,22002,22001,22001,22000,22101,22000,22001,22000,22022,22000,22110,22201,22201,22201,22202,22001,22001,22002,22100,22002,22002,22000,22001,20002,20000,21000,20001,20000,20002,22022,20002,20000,20011
morst,20000,20000,20001,21100,20000,22110,22200,20000,20000,20102,20011,21000,20002,21100,20000,20100,20000,20000,20000,21002,20000,21100,20000,20000,20100,20000,20000,20100,20000,20001,20010,20000,20000,20000,21000,20000,20000,20100,20000,21000,20000,20000,21000,20200,20200,20202,21202,20010,20020,20001,20001,20101,20001,20001,20021,20000,20000,20000,21000,21000,20000,20002,20110,20022,20000,20000,20100,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20020,20200,20200,20200,21010,20001,20101,21101,20001,21000,20000,21100,20000,20000,20100,20001,20101,20000,20000,20000,20100,20000,21100,20022,20010,20200,20201,20000,20100,20010,22002,22000,22000,22010,22000,22022,22000,22000,22100,22000,22000,22000,22000,22010,22100,22200,22200,22210,22220,22001,22002,22001,22101,22021,22001,22001,22000,20001,20002,21000,20010,20000,20001,22000,20000,20000,20000
moten,20000,20000,20100,21000,20010,22000,22002,20000,20001,20100,20100,21000,20100,21000,20000,20020,20000,20010,20000,21100,20020,21000,20000,20022,20020,20010,20022,20020,20010,20100,20000,20010,20000,20000,21001,20011,20022,20021,20001,21001,20011,20001,21001,20022,20010,20100,21100,20010,20000,20200,20222,20220,20200,20210,20210,20010,20022,20010,21010,21010,20010,20111,20010,20110,20010,20022,20020,20010,20010,20022,20010,20010,20010,20020,20022,20011,20011,20011,20010,20020,20022,21012,20222,20220,21210,20110,21010,20000,21000,20022,20022,20021,20222,20220,20010,20010,20022,20020,20011,21001,20101,20001,20010,20110,20022,20020,20020,22100,22020,22020,22000,22010,22110,22022,22000,22020,22000,22022,22000,22011,22000,22000,22020,22022,22020,22010,22220,22220,22210,22200,22210,22210,22200,22022,20110,20100,21001,20020,20000,20210,22010,20010,20000,20020
motje,20000,20000,20100,21000,20001,22000,22000,20000,20000,20100,20100,21000,20100,21000,20000,20001,20000,20002,20000,21100,20011,21010,20000,20001,20001,20002,20001,20001,20002,20100,20000,20002,20000,20000,21000,20002,20001,20001,20000,21000,20002,20000,21000,20001,20002,20100,21100,20002,20000,20200,20201,20201,20200,20222,20202,20002,20001,20001,21001,21001,20001,20101,20001,20101,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20201,20201,21201,20102,21001,20000,21000,20001,20001,20001,20201,20201,20002,20002,20001,20001,20002,21000,20100,20000,20002,20102,20001,20001,20001,22100,22001,22001,22000,22002,22101,22001,22000,22001,22000,22001,22000,22002,22000,22000,22001,22001,22001,22002,22201,22201,22202,22200,22202,22202,22200,22001,20102,20100,21000,20001,20000,20202,22002,20002,20000,20001
motst,20000,20000,20100,21000,20000,22010,22000,20000,20000,20002,20110,21000,20002,21000,20000,20000,20000,20000,20000,21002,20000,21000,20000,20000,20000,20000,20000,20000,20000,20100,20010,20000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20000,21000,20000,20000,20002,21002,20010,20020,20200,20200,20200,20200,20200,20220,20000,20000,20000,21000,21000,20000,20002,20010,20022,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20020,20000,20000,20000,21010,20200,20200,21200,20100,21000,20000,21000,20000,20000,20000,20200,20200,20000,20000,20000,20000,20000,21000,20022,20010,20000,20100,20000,20000,20010,22002,22000,22000,22010,22000,22022,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22000,22010,22020,22200,22202,22200,22200,22220,22201,22201,22000,20100,20002,21000,20010,20000,20200,22000,20000,20000,20000
muffe,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20002,20000,20000,20001,20000,20000,20001,20001,20002,20001,20001,20002,20000,21000,20002,20000,20000,20000,20002,20001,20001,20000,20000,20002,20000,21000,20001,20002,20000,20000,20002,20000,20000,20001,20001,20000,20002,20002,21002,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20001,20002,20001,20001,20001,21001,20001,20001,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,21002,20001,21000,20000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,20000,20000,21000,20002,20002,20001,20001,20001,20000,20001,20001,21000,20002,20001,20001,20000,20001,20000,20001,20000,20002,20000,20000,20001,20001,20001,20002,20001,20001,20002,20000,20002,20002,20000,20001,22202,22000,22000,22001,22000,20002,20002,20002,20000,20001
mufst,20000,20000,20001,20000,20000,20010,20000,20000,20000,20002,20011,20000,20002,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,21010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20002,20010,20020,20001,20001,20001,20001,20001,20021,21000,20000,20000,20000,20000,20000,20002,20010,20022,21000,20000,20000,20000,20000,20000,20000,20010,21000,20000,20000,20000,20000,20020,20000,20000,20000,20010,20001,20001,20001,21001,20000,21000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20022,21010,20000,20001,20000,20000,20010,20002,20000,20000,21010,20000,20022,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20010,20020,20001,20002,20001,20001,20021,20001,20001,20000,22201,22002,22000,22010,22000,20001,20000,20000,20000,20000
mugje,20100,20000,20000,20000,20001,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20201,20200,20202,20200,20200,20011,20010,20000,20001,20001,20002,20001,20001,20002,20000,21000,20002,20000,20000,20000,20002,20001,20001,20100,20100,20002,20000,21000,20001,20102,20000,20000,20002,20000,20000,20001,20001,20100,20022,20002,21002,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20001,20002,20001,20101,20001,21001,20001,20001,20002,20101,20001,20001,20001,20001,20001,20001,20001,20001,21002,20001,21000,20000,20001,20001,20001,20001,20001,20002,20002,20001,20001,20002,20000,20000,21000,20002,20002,20001,20001,20001,20000,20001,20001,21000,20002,20001,20201,20200,20001,20000,20001,20000,20002,20000,20000,20001,20001,20001,20002,20001,20001,20002,20000,20002,20002,20000,20001,22002,22000,22100,22001,22000,20002,20002,20002,20000,20001
muien,20000,20100,20000,20100,20010,20000,20102,20000,20001,20000,20000,20000,20000,20000,20000,20020,20100,20110,20000,20000,20020,20000,20000,20022,20020,20010,20022,20020,20110,20000,21000,20010,20000,20000,20001,20011,20022,20021,20001,20001,20111,20001,21001,20022,20010,20000,20000,20010,20000,20000,20022,20020,20100,20010,20010,21010,20022,20110,20110,20010,20010,20011,20010,20010,21010,20222,20220,20010,20010,20022,20110,20110,21010,20020,20022,20111,20111,20011,20110,20020,20022,20012,20022,20020,20010,21010,20010,21100,20100,20022,20022,20021,20022,20020,20110,20110,20122,20120,20111,20101,20101,21101,20110,20110,20122,20120,20120,20000,20020,20020,21000,20010,20010,20022,20000,20020,20000,20022,20100,20011,20100,20000,20020,20022,20020,20010,20020,20020,20110,20000,20010,20010,20000,20022,22010,22000,22001,22020,22000,20010,20010,20110,20100,20120
muikt,20000,20100,20001,20100,20020,20000,20100,20000,20000,20002,20001,20000,20002,20000,20000,20000,20100,20100,20000,20002,20000,20000,20010,20010,20010,20020,20000,20000,20100,20001,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,21000,20000,20000,20022,20002,20020,20000,20001,20001,20001,20101,20001,20001,21000,20000,20100,20100,20000,20000,20002,20000,20002,21000,20200,20200,20020,20000,20000,20100,20100,21000,20000,20000,20100,20100,20000,20100,20000,20000,20000,20001,20001,20001,21001,20000,21100,20100,20000,20000,20000,20001,20001,20100,20100,20100,20100,20100,20100,20102,21100,20100,20101,20100,20100,20100,20002,20000,20000,21000,20020,20002,20000,20000,20010,20020,20000,20110,20000,20100,20000,20000,20000,20000,20000,20001,20002,20101,20001,20001,20001,20001,20000,22001,22002,22000,22000,22010,20001,20000,20110,20110,20100
muist,20000,20100,20001,20100,20000,20010,20100,20000,20000,20002,20011,20000,20002,20000,20000,20000,20100,20100,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20100,20001,21010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,21000,20000,20000,20002,20002,20010,20020,20001,20001,20001,20101,20001,20021,21000,20000,20100,20100,20000,20000,20002,20010,20022,21000,20200,20200,20000,20000,20000,20100,20110,21000,20000,20000,20100,20100,20020,20100,20000,20000,20010,20001,20001,20001,21001,20000,21100,20100,20000,20000,20000,20001,20001,20100,20100,20100,20100,20100,20100,20122,21110,20100,20101,20100,20100,20110,20002,20000,20000,21010,20000,20022,20000,20000,20000,20000,20000,20100,20000,20110,20000,20000,20000,20010,20020,20001,20002,20101,20001,20021,20001,20001,20000,22001,22002,22000,22010,22000,20001,20000,20100,20100,20100
mulle,20000,20000,20200,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20000,20002,20000,20000,20001,20000,20000,20001,20001,20002,20201,20201,20202,20200,21200,20202,20000,20000,20000,20002,20001,20001,20000,20000,20002,20000,21000,20001,20002,20000,20000,20002,20000,20000,20001,20001,20000,20002,20002,21002,20001,20001,20001,20001,20021,20001,20001,20001,21001,20001,20001,20001,20202,20201,20201,20201,21201,20101,20001,20002,20001,20001,20001,20101,20001,20001,20001,20001,20001,21002,20001,21000,20000,20001,20001,20001,20001,20001,20202,20222,20001,20001,20002,20000,20000,21000,20002,20002,20001,20001,20001,20000,20101,20001,21000,20002,20001,20001,20100,20001,20000,20201,20200,20002,20000,20000,20101,20001,20001,20002,20101,20001,20002,20000,20002,20002,20000,20001,22002,22200,22000,22001,22000,20002,20002,20002,20000,20001
mulst,20000,20000,20201,20000,20000,20010,20000,20000,20000,20002,20011,20000,20002,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20200,20200,20200,20201,21210,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20002,20002,20010,20020,20001,20001,20001,20001,20001,20021,21000,20000,20000,20000,20000,20100,20002,20010,20022,21000,20000,20000,20000,20200,20200,20200,20210,21200,20100,20000,20000,20000,20020,20000,20100,20000,20010,20001,20001,20001,21001,20000,21000,20000,20000,20000,20000,20001,20001,20200,20200,20000,20000,20000,20000,20022,21010,20000,20001,20000,20000,20010,20002,20100,20000,21010,20000,20022,20000,20100,20000,20000,20200,20200,20000,20010,20000,20100,20000,20010,20020,20101,20002,20001,20001,20021,20001,20001,20000,22001,22202,22000,22010,22000,20001,20000,20000,20000,20000
muren,20000,20000,20000,20100,20010,20100,20202,20000,20001,20100,20000,20000,20000,20100,20000,20120,20000,20010,20000,20000,20020,20100,20000,20022,20120,20010,20022,20120,20010,20000,21000,20010,20000,20000,20001,20011,20022,20121,20001,20001,20011,20001,21001,20222,20210,20200,20200,20010,20000,20000,20022,20120,20000,20010,20010,21010,20022,20010,20010,20010,20010,20011,20110,20010,21010,20022,20120,20010,20010,20022,20010,20010,21010,20020,20022,20011,20011,20011,20210,20220,20222,20012,20022,20120,20110,21010,20010,21000,20100,20022,20022,20121,20022,20120,20010,20010,20022,20120,20011,20101,20001,21001,20210,20210,20022,20120,20020,20000,20020,20020,21000,20010,20010,20022,20000,20120,20000,20022,20000,20011,20000,20100,20220,20222,20220,20210,20020,20020,20010,20100,20010,20010,20000,20022,22010,22000,22001,22020,22000,20010,20010,20010,20000,20020
murwe,20000,20000,20000,20100,20001,20100,20200,20000,20000,20100,20000,20000,20000,20100,20000,20101,20000,20002,20000,20000,20001,20100,20000,20001,20101,20002,20001,20101,20002,20000,21000,20002,20000,20000,20000,20002,20001,20101,20000,20000,20002,20000,21000,20201,20202,20200,20200,20002,20000,20000,20001,20101,20000,20002,20002,21002,20001,20001,20001,20001,20001,20001,20101,20001,21011,20001,20101,20001,20002,20001,20001,20001,21011,20001,20001,20002,20001,20001,20201,20201,20201,20001,20001,20101,20101,21002,20001,21010,20100,20001,20001,20101,20001,20101,20002,20002,20001,20101,20002,20100,20000,21000,20202,20202,20001,20101,20001,20000,20001,20001,21000,20002,20001,20001,20000,20101,20000,20001,20000,20002,20000,20100,20201,20201,20201,20202,20001,20001,20002,20100,20002,20002,20000,20001,22002,22000,22000,22001,22000,20002,20002,20022,20020,20001
murwt,20000,20000,20001,20100,20000,20100,20200,20000,20000,20102,20001,20000,20002,20100,20000,20100,20000,20000,20000,20002,20000,20100,20000,20000,20100,20000,20000,20100,20000,20001,21000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,21000,20200,20200,20202,20202,20000,20000,20001,20001,20101,20001,20001,20001,21000,20000,20000,20000,20000,20000,20002,20100,20002,21010,20000,20100,20000,20000,20000,20000,20000,21010,20000,20000,20000,20000,20000,20200,20200,20200,20000,20001,20101,20101,21001,20000,21010,20100,20000,20000,20100,20001,20101,20000,20000,20000,20100,20000,20100,20002,21000,20200,20201,20000,20100,20000,20002,20000,20000,21000,20000,20002,20000,20000,20100,20000,20000,20000,20000,20000,20100,20200,20200,20200,20200,20001,20002,20001,20101,20001,20001,20001,20000,22001,22002,22000,22000,22000,20001,20000,20020,20020,20000
musts,20000,20000,20020,20000,20000,20002,20000,20000,20000,20010,20022,20000,20010,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,21002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20010,20010,20200,20201,20010,20010,20010,20010,20010,20110,21000,20000,20000,20000,20000,20000,20010,20002,20110,21000,20000,20000,20000,20000,20000,20000,20002,21000,20000,20000,20000,20000,20100,20000,20000,20000,20200,20010,20010,20010,21020,20000,21000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20000,20000,20000,20110,21002,20000,20020,20000,20000,20002,20010,20000,20000,21002,20000,20110,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20002,20100,20010,20010,20010,20010,20110,20020,20020,20000,22020,22010,22000,22200,22000,20010,20000,20000,20000,20000
muzen,20000,20000,20000,20000,20010,20000,20002,20000,20001,20000,20000,20000,20000,20000,20000,20020,20000,20010,20000,20000,20020,20000,20000,20022,20020,20010,20022,20020,20010,20000,21000,20010,20000,20000,20001,20011,20022,20021,20001,20001,20011,20001,21001,20022,20010,20000,20000,20010,20000,20000,20022,20020,20000,20010,20010,21010,20222,20010,20010,20010,20010,20011,20010,20010,21010,20022,20020,20010,20010,20022,20010,20010,21010,20020,20022,20011,20011,20011,20010,20020,20022,20012,20022,20020,20010,21010,20210,21000,20000,20022,20022,20021,20022,20020,20010,20010,20022,20020,20011,20001,20001,21001,20010,20010,20022,20020,20020,20000,20020,20020,21000,20010,20010,20022,20000,20020,20000,20022,20000,20011,20000,20000,20020,20022,20020,20010,20020,20020,20010,20000,20010,20010,20000,20022,22010,22000,22001,22020,22200,20010,20010,20010,20000,20020
mailt,22000,22100,22011,22100,21000,20000,20100,22000,22000,22002,22001,22000,22002,22000,22000,22000,22100,22100,22000,22002,22000,22000,22000,22000,22000,22000,22010,22010,22110,22011,22010,22010,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22002,22002,22000,22000,22001,22001,22001,22101,22001,22001,22000,22000,21100,20100,20000,20020,20002,20000,20002,20000,20200,20200,21000,20010,20010,20110,20110,20010,20010,20000,20100,20100,21000,20100,20010,20000,20000,20001,20001,20001,20001,20000,21100,20100,20000,20000,20000,20001,20001,20110,20120,20100,20100,20100,20100,20102,20100,20100,20101,20100,20100,20100,20002,20010,20000,20000,20000,20002,20000,20010,20000,21000,20010,20110,20000,20100,20000,20010,20000,20000,20000,20011,20002,20101,20001,20001,20001,20001,20000,20001,21012,20000,21000,21000,20001,20000,20100,21100,20100
malls,22000,22000,22200,22000,21000,20002,20000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22200,22200,22200,22200,22202,22200,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22001,22001,22000,22000,22000,22000,22000,22001,22000,22000,21000,20000,20000,20020,20000,20002,20001,20000,20000,20000,21000,20200,20200,20200,20202,20200,20100,20000,20000,20000,21001,20000,20100,20000,20001,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20200,20220,20000,20000,20000,20000,20001,20002,20000,20000,20000,20000,20002,20000,20100,20000,20002,20000,20001,20000,20100,20000,21000,20200,20200,20000,20002,20000,20100,20000,20002,20001,20100,20000,20000,20000,20001,20000,20000,20000,20000,21200,20000,21001,21000,20000,20000,20000,21000,20000
meden,20100,20100,20000,20000,22000,20000,20002,20100,20101,20000,20000,20000,20000,20000,20200,20020,20000,21000,20000,20000,20020,20000,20000,20022,20020,21000,20022,20020,21000,20000,20000,21000,20000,20000,20001,21101,20022,20021,20001,20001,21001,20001,20001,20022,21000,20000,20000,21000,20000,20000,20022,20020,20000,21000,21000,21000,20022,22200,22200,22200,22010,22011,22010,22010,22010,22022,22020,22000,22110,22022,22000,22000,22000,22020,22022,22011,22001,22001,22000,22020,22022,22002,22022,22020,22000,22010,22000,20000,20000,20222,20022,20021,20022,20020,21100,21000,20022,20020,21001,20001,20001,20001,21000,21000,20022,20020,20020,20000,20220,20220,20200,21010,21000,20022,20000,20020,20000,20022,20000,21101,20000,20100,20020,20022,20020,21000,20020,20020,21000,20000,21000,21000,20000,20022,21000,20000,20001,20020,20000,21000,21110,21000,20000,20120
meurt,20000,20000,20001,20020,22000,20020,20010,20000,20000,20022,20001,20000,20002,20020,20000,21010,20000,21000,20000,20002,21000,20010,20000,21000,21010,21000,21000,21010,21000,20001,20100,21000,20000,20000,20000,21000,21000,21010,20000,20000,21000,20000,20100,21010,21010,20012,20012,21000,20000,20001,21001,21011,20001,21001,21001,21200,21000,22000,22000,22000,22000,22002,22020,22002,22100,22000,22010,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22010,22010,22010,22000,22001,22011,22021,22201,22000,20100,20020,21000,21000,21010,21001,21011,21000,21000,21000,21010,21000,20010,20002,20100,21020,21011,21000,21010,21000,20002,21000,21000,20100,21000,21002,21000,20000,21010,20000,21000,20000,21000,20000,20020,21010,21010,21010,21010,21001,21002,21001,20011,21001,21001,20001,21000,21101,20102,20100,21100,20100,21001,21000,21000,20000,21000
