Guess,waals,wales,walin,welsh,waaks,waard,wacht,waden,wafel,wagen,wagon,waken,waker,wakke,walen,wamen,wanen,want1,wants,wapen,waren,wasem,wasz1,water,watje,wazig,webbe,wedde,weder,weegs,weeps,wegel,wegen,weger,wegge,weide,weids,weken,welig,welke,welnu,wende,wenen,wener,wepel,weren,werst,wessi,weten,weven,wever,wezel,wezen,whist,wicht,wieme,wiens,wierf,wierp,wigge,w1den,w1dte,w1fie,w1fje,w1ken,w1len,w1sje,w1ten,w1zen,w1zer,wikke,wilde,winch,winde,winst,winti,wisse,witje,witte,wodka,woede,woerd,woest,wogen,wonde,wonen,woord,worst,wraak,wrake,wrang,wreed,wreef,wrong,wulps,warau,washi,wasco
welkt,20100,21200,20200,22200,20020,20000,20002,21000,21100,21000,20000,21010,21010,21020,21200,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22010,22200,22220,22200,22000,22000,22000,22100,22000,22002,22000,22001,22000,22000,22100,22000,20002,20002,21000,21000,21000,21000,21000,21000,21001,21000,21000,21010,21200,21000,21001,21000,21000,21020,21200,20000,21000,20002,20001,21000,21001,21001,20020,21000,21000,21002,21000,21000,21000,20000,20002,20010,21020,20000,21000,21000,20000,20200,20000,20000,20000
wemel,20001,20021,20001,22001,20000,20000,20000,20020,20022,20020,20000,20020,20020,21000,20021,20220,20020,20000,20000,20020,20020,20120,20000,20020,21000,20000,22010,22010,22020,22010,22010,22022,22020,22020,22010,22010,22000,22020,22001,22011,22001,22010,22020,22020,22022,22020,22000,22000,22020,22020,22020,22022,22020,20000,20000,21110,21000,21000,21000,21000,20020,21000,21000,21000,20020,20021,21000,20020,20020,20020,21000,21001,20000,21000,20000,20000,21000,21000,21000,20000,21010,21000,21000,20020,21000,20020,20000,20000,20000,21000,20000,21020,21020,20000,20001,20000,20000,20000
wendt,20000,21000,20100,22000,20000,20010,20002,21110,21000,21100,20100,21100,21000,21000,21100,21100,21200,20201,20201,21100,21100,21000,20000,21001,21001,20000,22000,22020,22010,22000,22000,22000,22100,22000,22000,22020,22020,22100,22000,22000,22100,22220,22200,22200,22000,22100,22002,22000,22101,22100,22000,22000,22100,20002,20002,21000,21100,21000,21000,21000,21110,21011,21000,21000,21100,21100,21000,21101,21100,21000,21000,21020,20200,21220,20202,20201,21000,21001,21001,20010,21020,21010,21002,21100,21220,21200,20010,20002,20000,21000,20100,21010,21000,20100,20000,20000,20000,20000
wenkt,20000,21000,20100,22000,20020,20000,20002,21100,21000,21100,20100,21110,21010,21020,21100,21100,21200,20201,20201,21100,21100,21000,20000,21001,21001,20000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22110,22000,22020,22100,22200,22200,22200,22000,22100,22002,22000,22101,22100,22000,22000,22100,20002,20002,21000,21100,21000,21000,21000,21100,21001,21000,21000,21110,21100,21000,21101,21100,21000,21020,21000,20200,21200,20202,20201,21000,21001,21001,20020,21000,21000,21002,21100,21200,21200,20000,20002,20010,21020,20100,21000,21000,20100,20000,20000,20000,20000
wenst,20010,21010,20100,22020,20010,20000,20002,21100,21000,21100,20100,21100,21000,21000,21100,21100,21200,20201,20211,21100,21100,21010,20010,21001,21001,20000,22000,22000,22000,22010,22010,22000,22100,22000,22000,22000,22010,22100,22000,22000,22100,22200,22200,22200,22000,22100,22022,22020,22101,22100,22000,22000,22100,20022,20002,21000,21110,21000,21000,21000,21100,21001,21000,21000,21100,21100,21010,21101,21100,21000,21000,21000,20200,21200,20222,20201,21020,21001,21001,20000,21000,21000,21022,21100,21200,21200,20000,20022,20000,21000,20100,21000,21000,20100,20010,20000,20010,20010
werft,20000,21000,20000,22000,20000,20100,20002,21000,21010,21000,20000,21000,21100,21000,21000,21000,21000,20001,20001,21000,21200,21000,20000,21101,21001,20000,22000,22000,22100,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22200,22202,22000,22001,22000,22100,22000,22000,20002,20002,21000,21000,21110,21100,21000,21000,21001,21010,21010,21000,21000,21000,21001,21000,21100,21000,21000,20000,21000,20002,20001,21000,21001,21001,20000,21000,21100,21002,21000,21000,21000,20100,20202,20100,21100,20100,21100,21110,20100,20000,20200,20000,20000
werkt,20000,21000,20000,22000,20020,20100,20002,21000,21000,21000,20000,21010,21110,21020,21000,21000,21000,20001,20001,21000,21200,21000,20000,21101,21001,20000,22000,22000,22100,22000,22000,22000,22000,22100,22000,22000,22000,22010,22000,22020,22000,22000,22000,22100,22000,22200,22202,22000,22001,22000,22100,22000,22000,20002,20002,21000,21000,21100,21100,21000,21000,21001,21000,21000,21010,21000,21000,21001,21000,21100,21020,21000,20000,21000,20002,20001,21000,21001,21001,20020,21000,21100,21002,21000,21000,21000,20100,20202,20110,21120,20100,21100,21100,20100,20000,20200,20000,20000
werpt,20000,21000,20000,22000,20000,20100,20002,21000,21000,21000,20000,21000,21100,21000,21000,21000,21000,20001,20001,21010,21200,21000,20000,21101,21001,20000,22000,22000,22100,22000,22020,22000,22000,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22010,22200,22202,22000,22001,22000,22100,22000,22000,20002,20002,21000,21000,21100,21110,21000,21000,21001,21000,21000,21000,21000,21000,21001,21000,21100,21000,21000,20000,21000,20002,20001,21000,21001,21001,20000,21000,21100,21002,21000,21000,21000,20100,20202,20100,21100,20100,21100,21100,20100,20020,20200,20000,20000
wetje,20000,21000,20000,22000,20000,20000,20100,21000,21000,21000,20000,21000,21000,20002,21000,21000,21000,20100,20100,21000,21000,21000,20000,21200,20222,20000,22002,22002,22001,22001,22001,22001,22001,22001,22002,22002,22000,22001,22000,22002,22000,22002,22001,22001,22001,22001,22100,22000,22201,22001,22001,22001,22001,20100,20100,21002,21000,21000,21000,20002,21000,20102,20002,20022,21000,21000,20022,21200,21000,21000,20002,20002,20000,20002,20100,20100,20002,20222,20202,20000,21002,21000,21100,21000,20002,21000,20000,20100,20000,20002,20000,21001,21001,20000,20000,20000,20000,20000
wette,20000,21000,20000,22000,20000,20000,20100,21000,21000,21000,20000,21000,21000,20002,21000,21000,21000,20020,20020,21000,21000,21000,20000,21200,20202,20000,22002,22002,22001,22001,22001,22001,22001,22001,22002,22002,22000,22001,22000,22002,22000,22002,22001,22001,22001,22001,22100,22000,22201,22001,22001,22001,22001,20100,20100,21002,21000,21000,21000,20002,21000,20022,20002,20002,21000,21000,20002,21200,21000,21000,20002,20002,20000,20002,20100,20020,20002,20202,20222,20000,21002,21000,21100,21000,20002,21000,20000,20100,20000,20002,20000,21001,21001,20000,20000,20000,20000,20000
wiedt,20000,20100,21000,20100,20000,20010,20002,20110,20100,20100,20000,20100,20100,20100,20100,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,21000,20100,20120,20110,20200,20200,20100,20100,20100,20100,21120,21120,20100,21100,20100,20100,20120,20100,20100,20100,20100,20102,21100,20101,20100,20100,20100,20100,21002,22002,22200,22200,22200,22200,22100,20110,20111,21100,20100,20100,20100,20100,20101,20100,20100,22100,22120,22000,22120,22002,22001,22100,22101,22101,20010,20220,20210,20202,20100,20120,20100,20010,20002,20000,20100,20000,20210,20200,20000,20000,20000,21000,20000
wiegt,20000,20100,21000,20100,20000,20000,20002,20100,20100,20110,20010,20100,20100,20100,20100,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,21010,20100,20100,20100,20220,20200,20110,20110,20110,20120,21100,21100,20100,21110,20100,20100,20100,20100,20100,20100,20100,20102,21100,20101,20100,20100,20100,20100,21002,22002,22200,22200,22200,22200,22120,20100,20101,21100,20100,20100,20100,20100,20101,20100,20100,22100,22100,22000,22100,22002,22001,22100,22101,22101,20000,20200,20200,20202,20110,20100,20100,20000,20002,20000,20100,20010,20200,20200,20010,20000,20000,21000,20000
wiekt,20000,20100,21000,20100,20020,20000,20002,20100,20100,20100,20000,20110,20110,20120,20100,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,21000,20100,20100,20100,20200,20200,20100,20100,20100,20100,21100,21100,20110,21100,20120,20100,20100,20100,20100,20100,20100,20102,21100,20101,20100,20100,20100,20100,21002,22002,22200,22200,22200,22200,22100,20100,20101,21100,20100,20110,20100,20100,20101,20100,20100,22120,22100,22000,22100,22002,22001,22100,22101,22101,20020,20200,20200,20202,20100,20100,20100,20000,20002,20010,20120,20000,20200,20200,20000,20000,20000,21000,20000
wielt,20020,20110,21010,20110,20000,20000,20002,20100,20110,20100,20000,20100,20100,20100,20110,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,21000,20100,20100,20100,20200,20200,20110,20100,20100,20100,21100,21100,20100,21110,20110,20110,20100,20100,20100,20110,20100,20102,21100,20101,20100,20100,20110,20100,21002,22002,22200,22200,22200,22200,22100,20100,20101,21100,20100,20100,20110,20100,20101,20100,20100,22100,22110,22000,22100,22002,22001,22100,22101,22101,20000,20200,20200,20202,20100,20100,20100,20000,20002,20000,20100,20000,20200,20200,20000,20010,20000,21000,20000
wigje,20000,20001,21000,20001,20000,20000,20000,20001,20001,20201,20200,20001,20001,20002,20001,20001,20001,20000,20000,20001,20001,20001,20000,20001,20022,21100,20002,20002,20001,20101,20001,20201,20201,20201,20202,21002,21001,20001,21101,20002,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20001,21000,22000,22002,22001,22001,22001,22202,20001,20002,21002,20022,20001,20001,20022,20001,20001,20001,22002,22002,22000,22002,22000,22000,22002,22022,22002,20000,20002,20001,20001,20201,20002,20001,20000,20000,20000,20002,20100,20001,20001,20100,20000,20000,21000,20000
w1dde,20000,20001,20000,20001,20000,20100,20000,20201,20001,20001,20000,20001,20001,20002,20001,20001,20001,21000,20000,20001,20001,20001,21000,20001,20002,20000,20002,20222,20201,20001,20001,20001,20001,20001,20002,20022,20021,20001,20001,20002,20001,20022,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20001,20001,20001,20002,22201,22202,22002,22002,22001,22001,22002,22001,22001,22001,20002,20022,20000,20022,20000,20000,20002,20002,20002,20200,20022,20101,20001,20001,20022,20001,20100,20000,20000,20002,20000,20101,20001,20000,20000,20000,20000,20000
w1der,20000,20020,20000,20010,20000,20101,20000,20220,20020,20020,20000,20020,20022,20010,20020,20020,20020,21000,20000,20020,20021,20020,21000,20022,20010,20000,20010,20210,20222,20010,20010,20020,20020,20022,20010,20110,20110,20020,20010,20010,20010,20110,20020,20022,20020,20021,20011,20010,20020,20020,20022,20020,20020,20000,20000,20010,20010,20011,20011,20010,22220,22210,22010,22010,22020,22020,22010,22020,22020,22022,20010,20110,20000,20110,20000,20000,20010,20010,20010,20200,20110,20111,20010,20020,20110,20020,20101,20001,20001,20011,20001,20121,20021,20001,20000,20001,20000,20000
w1dst,20010,20010,20000,20020,20010,20100,20002,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,21001,20011,20000,20000,20010,21010,20001,20001,20000,20000,20200,20200,20010,20010,20000,20000,20000,20000,20100,20110,20000,20000,20000,20000,20100,20000,20000,20000,20000,20022,20020,20001,20000,20000,20000,20000,20022,20002,20000,20010,20000,20000,20000,22200,22201,22000,22000,22000,22000,22010,22001,22000,22000,20000,20100,20000,20100,20022,20001,20020,20001,20001,20200,20100,20100,20022,20000,20100,20000,20100,20022,20000,20000,20000,20100,20000,20000,20010,20000,20010,20010
w1lde,20100,20201,20200,20201,20000,20010,20000,20011,20101,20001,20000,20001,20001,20002,20201,20001,20001,21000,20000,20001,20001,20001,21000,20001,20002,20000,20002,20022,20011,20001,20001,20101,20001,20001,20002,20022,20021,20001,20201,20202,20201,20022,20001,20001,20101,20001,20001,20001,20001,20001,20001,20101,20001,20000,20000,20002,20001,20001,20001,20002,22011,22012,22002,22002,22001,22201,22002,22001,22001,22001,20002,20222,20000,20022,20000,20000,20002,20002,20002,20010,20022,20011,20001,20001,20022,20001,20010,20000,20000,20002,20000,20011,20001,20000,20200,20000,20000,20000
w1nen,20000,20020,20002,20010,20000,20000,20000,20022,20020,20022,20002,20022,20020,20010,20022,20022,20222,21200,20200,20022,20022,20020,21000,20020,20010,20000,20010,20010,20020,20010,20010,20020,20022,20020,20010,20010,20010,20022,20010,20010,20110,20210,20222,20220,20020,20022,20010,20010,20022,20022,20020,20020,20022,20000,20000,20010,20110,20010,20010,20010,22022,22010,22010,22010,22022,22022,22010,22022,22022,22020,20010,20010,20200,20210,20200,20200,20010,20010,20010,20000,20010,20010,20010,20022,20210,20222,20000,20000,20000,20010,20100,20020,20020,20100,20000,20000,20000,20000
w1ste,20100,20101,20000,20101,20100,20000,20010,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,21020,20120,20001,20001,20201,21200,20011,20012,20000,20002,20002,20001,20101,20101,20001,20001,20001,20002,20002,20101,20001,20001,20002,20001,20002,20001,20001,20001,20001,20111,20201,20011,20001,20001,20001,20001,20110,20010,20002,20101,20001,20001,20002,22001,22022,22002,22002,22001,22001,22202,22011,22001,22001,20002,20002,20000,20002,20110,20020,20202,20012,20022,20000,20002,20001,20111,20001,20002,20001,20000,20110,20000,20002,20000,20001,20001,20000,20100,20000,20200,20200
w1ven,20000,20020,20002,20010,20000,20000,20000,20022,20020,20022,20002,20022,20020,20010,20022,20022,20022,21001,20001,20022,20022,20020,21000,20020,20010,20000,20010,20010,20020,20010,20010,20020,20022,20020,20010,20010,20010,20022,20010,20010,20011,20011,20022,20021,20020,20022,20010,20010,20022,20222,20220,20020,20022,20000,20000,20010,20011,20010,20010,20010,22022,22010,22010,22010,22022,22022,22010,22022,22022,22020,20010,20010,20001,20011,20001,20001,20010,20010,20010,20000,20010,20010,20010,20022,20011,20022,20000,20000,20000,20010,20001,20020,20020,20001,20000,20000,20000,20000
w1zig,20000,20000,20020,20000,20000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,21100,20000,20000,20222,20000,20000,20000,20001,20000,20001,20001,20001,20001,20010,20010,20000,20022,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20200,20200,20010,20010,20010,20010,20010,20010,20011,22000,22000,22020,22000,22000,22000,22000,22000,22200,22200,20010,20010,20010,20010,20010,20010,20010,20010,20010,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20002,20000,20000,20002,20000,20000,20010,20000
wikte,20000,20001,21000,20001,20100,20000,20010,20001,20001,20001,20000,20201,20201,20202,20001,20001,20001,20020,20020,20001,20001,20001,20000,20011,20012,21000,20002,20002,20001,20001,20001,20001,20001,20001,20002,21002,21001,20201,21001,20102,20001,20002,20001,20001,20001,20001,20011,21001,20011,20001,20001,20001,20001,21010,22010,22002,22001,22001,22001,22002,20001,20022,21002,20002,20201,20001,20002,20011,20001,20001,22202,22002,22000,22002,22010,22020,22002,22012,22022,20100,20002,20001,20011,20001,20002,20001,20000,20010,20100,20102,20000,20001,20001,20000,20000,20000,21000,20000
windt,20000,20000,21100,20000,20000,20010,20002,20110,20000,20100,20100,20100,20000,20000,20100,20100,20200,20201,20201,20100,20100,20000,20000,20001,20001,21000,20000,20020,20010,20000,20000,20000,20100,20000,20000,21020,21020,20100,21000,20000,20100,20220,20200,20200,20000,20100,20002,21000,20101,20100,20000,20000,20100,21002,22002,22000,22100,22000,22000,22000,20110,20011,21000,20000,20100,20100,20000,20101,20100,20000,22000,22020,22200,22220,22202,22201,22000,22001,22001,20010,20020,20010,20002,20100,20220,20200,20010,20002,20000,20000,20100,20010,20000,20100,20000,20000,21000,20000
wipte,20000,20001,21000,20001,20000,20000,20010,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20020,20020,20201,20001,20001,20000,20011,20012,21000,20002,20002,20001,20001,20101,20001,20001,20001,20002,21002,21001,20001,21001,20002,20001,20002,20001,20001,20201,20001,20011,21001,20011,20001,20001,20001,20001,21010,22010,22002,22001,22001,22101,22002,20001,20022,21002,20002,20001,20001,20002,20011,20001,20001,22002,22002,22000,22002,22010,22020,22002,22012,22022,20000,20002,20001,20011,20001,20002,20001,20000,20010,20000,20002,20000,20001,20001,20000,20100,20000,21000,20000
wiste,20100,20101,21000,20101,20100,20000,20010,20001,20001,20001,20000,20001,20001,20002,20001,20001,20001,20020,20120,20001,20001,20201,20200,20011,20012,21000,20002,20002,20001,20101,20101,20001,20001,20001,20002,21002,21101,20001,21001,20002,20001,20002,20001,20001,20001,20001,20111,21201,20011,20001,20001,20001,20001,21110,22010,22002,22101,22001,22001,22002,20001,20022,21002,20002,20001,20001,20202,20011,20001,20001,22002,22002,22000,22002,22110,22020,22202,22012,22022,20000,20002,20001,20111,20001,20002,20001,20000,20110,20000,20002,20000,20001,20001,20000,20100,20000,21200,20200
witst,20010,20010,21000,20020,20010,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20110,20000,20000,20010,20010,20200,20200,21000,20000,20000,20000,20010,20010,20000,20000,20000,20000,21000,21010,20000,21000,20000,20000,20000,20000,20000,20000,20000,20022,21020,20200,20000,20000,20000,20000,21022,22002,22000,22010,22000,22000,22000,20000,20100,21000,20000,20000,20000,20010,20200,20000,20000,22000,22000,22000,22000,22022,22100,22020,22200,22201,20000,20000,20000,20022,20000,20000,20000,20000,20022,20000,20000,20000,20000,20000,20000,20010,20000,21010,20010
woedt,20000,20100,20000,20100,20000,20010,20002,20110,20100,20100,21000,20100,20100,20100,20100,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,20000,20100,20120,20110,20200,20200,20100,20100,20100,20100,20120,20120,20100,20100,20100,20100,20120,20100,20100,20100,20100,20102,20100,20101,20100,20100,20100,20100,20002,20002,20200,20200,20200,20200,20100,20110,20111,20100,20100,20100,20100,20100,20101,20100,20100,20100,20120,20000,20120,20002,20001,20100,20101,20101,22010,22220,22210,22202,22100,22120,22100,22010,22002,20000,20100,20000,20210,20200,21000,20000,20000,20000,21000
woelt,20020,20110,20010,20110,20000,20000,20002,20100,20110,20100,21000,20100,20100,20100,20110,20100,20100,20001,20001,20100,20100,20100,20000,20101,20101,20000,20100,20100,20100,20200,20200,20110,20100,20100,20100,20100,20100,20100,20110,20110,20110,20100,20100,20100,20110,20100,20102,20100,20101,20100,20100,20110,20100,20002,20002,20200,20200,20200,20200,20100,20100,20101,20100,20100,20100,20110,20100,20101,20100,20100,20100,20110,20000,20100,20002,20001,20100,20101,20101,22000,22200,22200,22202,22100,22100,22100,22000,22002,20000,20100,20000,20200,20200,21000,20010,20000,20000,21000
wondt,20000,20000,20100,20000,20000,20010,20002,20110,20000,20100,21100,20100,20000,20000,20100,20100,20200,20201,20201,20100,20100,20000,20000,20001,20001,20000,20000,20020,20010,20000,20000,20000,20100,20000,20000,20020,20020,20100,20000,20000,20100,20220,20200,20200,20000,20100,20002,20000,20101,20100,20000,20000,20100,20002,20002,20000,20100,20000,20000,20000,20110,20011,20000,20000,20100,20100,20000,20101,20100,20000,20000,20020,20200,20220,20202,20201,20000,20001,20001,22010,22020,22010,22002,22100,22220,22200,22010,22002,20000,20000,20100,20010,20000,21100,20000,20000,20000,21000
woont,20000,20000,20010,20000,20000,20000,20002,20010,20000,20010,21010,20010,20000,20000,20010,20010,20010,20011,20011,20010,20010,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20010,20000,20000,20020,20010,20010,20010,20000,20010,20002,20000,20011,20010,20000,20000,20010,20002,20002,20000,20020,20000,20000,20000,20010,20001,20000,20000,20010,20010,20000,20011,20010,20000,20000,20000,20010,20010,20012,20011,20000,20001,20001,22000,22000,22000,22002,22010,22010,22010,22200,22002,20000,20000,20020,20000,20000,20220,20000,20000,20000,21000
wordt,20000,20000,20000,20000,20000,20110,20002,20010,20000,20000,21000,20000,20100,20000,20000,20000,20000,20001,20001,20000,20200,20000,20000,20101,20001,20000,20000,20020,20110,20000,20000,20000,20000,20100,20000,20020,20020,20000,20000,20000,20000,20020,20000,20100,20000,20200,20202,20000,20001,20000,20100,20000,20000,20002,20002,20000,20000,20100,20100,20000,20010,20011,20000,20000,20000,20000,20000,20001,20000,20100,20000,20020,20000,20020,20002,20001,20000,20001,20001,22010,22020,22110,22002,22000,22020,22000,22110,22202,20100,20100,20100,20110,20100,21100,20000,20200,20000,21000
worgt,20000,20000,20000,20000,20000,20100,20002,20000,20000,20010,21010,20000,20100,20000,20000,20000,20000,20001,20001,20000,20200,20000,20000,20101,20001,20010,20000,20000,20100,20020,20000,20010,20010,20110,20020,20000,20000,20000,20010,20000,20000,20000,20000,20100,20000,20200,20202,20000,20001,20000,20100,20000,20000,20002,20002,20000,20000,20100,20100,20020,20000,20001,20000,20000,20000,20000,20000,20001,20000,20100,20000,20000,20000,20000,20002,20001,20000,20001,20001,22000,22000,22100,22002,22010,22000,22000,22100,22202,20100,20100,20110,20100,20100,21110,20000,20200,20000,21000
wraps,20202,20102,20100,20001,20202,21200,20100,20100,20100,20100,20100,20100,21100,20100,20100,20100,20100,20100,20102,20110,21100,20101,20101,21100,20100,20100,20000,20000,21000,20002,20022,20000,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20000,21000,20010,21000,21001,20001,20000,20000,21000,20000,20000,20001,20000,20000,20002,21000,21010,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,21000,20000,20000,20000,20000,20001,20000,20001,20000,20000,20100,20000,21000,20001,20000,20000,20000,21000,21001,22200,22200,22200,22000,22000,22000,20022,21100,20101,20101
wrede,20000,20100,20000,20100,20000,21010,20000,20110,20100,20100,20000,20100,21100,20002,20100,20100,20100,20000,20000,20100,21100,20100,20000,21100,20002,20000,20102,20122,21111,20201,20201,20101,20101,21101,20102,20122,20120,20101,20100,20102,20100,20122,20101,21101,20101,21101,21100,20100,20101,20101,21101,20101,20101,20000,20000,20202,20200,21200,21200,20002,20110,20012,20002,20002,20100,20100,20002,20100,20100,21100,20002,20022,20000,20022,20000,20000,20002,20002,20002,20010,20222,21210,20200,20100,20022,20100,21010,21000,22000,22002,22000,22211,22201,22000,20000,21000,20000,20000
wreek,20000,20020,20000,20100,20001,21000,20000,20020,20020,20020,20000,20021,21021,20101,20020,20020,20020,20000,20000,20020,21020,20020,20000,21020,20100,20000,20110,20110,21120,20210,20210,20120,20120,21120,20110,20110,20100,20121,20100,20111,20100,20110,20120,21120,20120,21120,21100,20100,20120,20120,21120,20120,20120,20000,20000,20210,20200,21200,21200,20100,20020,20100,20100,20100,20021,20020,20100,20020,20020,21020,20101,20100,20000,20100,20000,20000,20100,20100,20100,20001,20210,21200,20200,20020,20100,20020,21000,21000,22002,22101,22000,22220,22220,22000,20000,21000,20000,20000
wrens,20002,20102,20010,20101,20002,21000,20000,20110,20100,20110,20010,20110,21100,20100,20110,20110,20110,20010,20012,20110,21110,20101,20001,21100,20100,20000,20100,20100,21100,20202,20202,20100,20110,21100,20100,20100,20102,20110,20100,20100,20120,20110,20110,21110,20100,21110,21101,20101,20110,20110,21100,20100,20110,20001,20000,20200,20222,21200,21200,20100,20110,20100,20100,20100,20110,20110,20101,20110,20110,21100,20100,20100,20010,20110,20011,20010,20101,20100,20100,20000,20200,21200,20201,20110,20110,20110,21000,21001,22000,22100,22020,22200,22200,22020,20002,21000,20001,20001
wr1ft,20000,20000,20000,20000,20000,21000,20002,20000,20010,20000,20000,20000,21000,20000,20000,20000,20000,20101,20001,20000,21000,20000,20100,21001,20001,20000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,21000,21002,20000,20001,20000,21000,20000,20000,20002,20002,20000,20000,21010,21000,20000,20100,20101,20110,20110,20100,20100,20100,20101,20100,21100,20000,20000,20000,20000,20002,20001,20000,20001,20001,20000,20000,21000,20002,20000,20000,20000,21000,21002,22000,22000,22000,22000,22010,22000,20000,21000,20000,20000
wrikt,20000,20000,20100,20000,20020,21000,20002,20000,20000,20000,20000,20010,21010,20020,20000,20000,20000,20001,20001,20000,21000,20000,20000,21001,20001,20100,20000,20000,21000,20000,20000,20000,20000,21000,20000,20200,20200,20010,20100,20020,20000,20000,20000,21000,20000,21000,21002,20100,20001,20000,21000,20000,20000,20202,20102,20100,20100,21100,21100,20100,20000,20001,20100,20000,20010,20000,20000,20001,20000,21000,20120,20100,20100,20100,20102,20101,20100,20101,20101,20020,20000,21000,20002,20000,20000,20000,21000,21002,22010,22020,22000,22000,22000,22000,20000,21000,20100,20000
wring,20000,20000,20110,20000,20000,21000,20000,20010,20000,20011,20011,20010,21000,20000,20010,20010,20010,20010,20010,20010,21010,20000,20000,21000,20000,20102,20000,20000,21000,20001,20000,20001,20011,21001,20001,20200,20200,20010,20102,20000,20020,20010,20010,21010,20000,21010,21000,20100,20010,20010,21000,20000,20010,20200,20100,20100,20120,21100,21100,20101,20010,20000,20100,20000,20010,20010,20000,20010,20010,21000,20100,20100,20110,20110,20110,20110,20100,20100,20100,20000,20000,21000,20000,20011,20010,20010,21000,21000,22000,22000,22022,22000,22000,22022,20000,21000,20100,20000
wroeg,20000,20020,20000,20010,20000,21000,20000,20020,20020,20021,20101,20020,21020,20010,20020,20020,20020,20000,20000,20020,21020,20020,20000,21020,20010,20002,20010,20010,21020,20011,20010,20021,20021,21021,20011,20010,20010,20020,20012,20010,20010,20010,20020,21020,20020,21020,21010,20010,20020,20020,21020,20020,20020,20000,20000,20010,20010,21010,21010,20011,20020,20010,20010,20010,20020,20020,20010,20020,20020,21020,20010,20010,20000,20010,20000,20000,20010,20010,20010,20100,20110,21110,20110,20121,20110,20120,21200,21100,22000,22010,22002,22020,22020,22202,20000,21000,20000,20100
wroet,20000,20020,20000,20010,20000,21000,20002,20020,20020,20020,20100,20020,21020,20010,20020,20020,20020,20001,20001,20020,21020,20020,20000,21021,20011,20000,20010,20010,21020,20010,20010,20020,20020,21020,20010,20010,20010,20020,20010,20010,20010,20010,20020,21020,20020,21020,21012,20010,20021,20020,21020,20020,20020,20002,20002,20010,20010,21010,21010,20010,20020,20011,20010,20010,20020,20020,20010,20021,20020,21020,20010,20010,20000,20010,20002,20001,20010,20011,20011,20100,20110,21110,20112,20120,20110,20120,21200,21102,22000,22010,22000,22020,22020,22200,20000,21000,20000,20100
wrokt,20000,20000,20000,20000,20020,21000,20002,20000,20000,20000,20100,20010,21010,20020,20000,20000,20000,20001,20001,20000,21000,20000,20000,21001,20001,20000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20000,20000,20010,20000,20020,20000,20000,20000,21000,20000,21000,21002,20000,20001,20000,21000,20000,20000,20002,20002,20000,20000,21000,21000,20000,20000,20001,20000,20000,20010,20000,20000,20001,20000,21000,20020,20000,20000,20000,20002,20001,20000,20001,20001,20120,20100,21100,20102,20100,20100,20100,21200,21102,22010,22020,22000,22000,22000,22200,20000,21000,20000,20100
wufte,20000,20001,20000,20001,20000,20000,20010,20001,20201,20001,20000,20001,20001,20002,20001,20001,20001,20020,20020,20001,20001,20001,20000,20011,20012,20000,20002,20002,20001,20001,20001,20001,20001,20001,20002,20002,20001,20001,20001,20002,21001,20002,20001,20001,20001,20001,20011,20001,20011,20001,20001,20001,20001,20010,20010,20002,20001,20101,20001,20002,20001,20022,20202,20202,20001,20001,20002,20011,20001,20001,20002,20002,20000,20002,20010,20020,20002,20012,20022,20000,20002,20001,20011,20001,20002,20001,20000,20010,20000,20002,20000,20001,20101,20000,22000,21000,20000,20000
