Guess,parbo,par1s,pasen,polen,pools,pruis,paaps,paard,paars,paart,pacen,pacht,paddo,paddy,paden,padie,pager,pages,pak1s,pakje,palen,palet,palts,pampa,panda,panel,panen,panna,panne,panty,paper,papil,papje,pappa,parel,paren,paret,paria,parka,part1,party,pasar,pasja,pasje,passe,pasta,patat,patch,pater,patio,pauze,pedel,pedis,pegel,pekel,pelen,peluw,penis,penny,peper,peren,pesto,peter,pezen,pezig,piano,piepa,p1len,p1ler,p1nen,p1pen,p1per,p1pje,piket,pikol,pilav,pinas,pinda,pioen,pipet,piste,pitje,pitte,pixel,pizza,plaag,plaat,plaid,plane,plank,plano,plant,plebs,pleet,plein,pleit,plemp,plens,plint,ploeg,plomp,plons,plooi,ploos,ploot,plots,pluim,pluis,poeha,poema,poets,pogen,poger,poken,poker,polak,polio,polis,polka,ponem,poort,popel,porem,porie,porno,porto,porum,poses,potas,poten,poter,potig,potje,poule,pover,power,pozen,praal,praam,praat,prang,prauw,preek,prent,priel,priem,prima,prime,primo,prins,print,prion,prior,proef,promo,pronk,pront,prooi,prove,provo,proxy,proza,pruik,pruim,prune,pruts,psalm,puber,pubis,puist,punch,pupil,puppy,puree,puren,putse,putto,pylon,pingo,plurk,pangi,parwa,peies
prots,21100,21002,20001,20100,20202,22002,20002,21000,21002,21010,20000,20010,20100,20000,20000,20000,21000,20002,20002,20000,20000,20010,20022,20000,20000,20000,20000,20000,20000,20020,21000,20000,20000,20000,21000,21000,21010,21000,21000,21020,21020,21001,20001,20001,20001,20021,20010,20010,21010,20110,20000,20000,20002,20000,20000,20000,20000,20002,20000,21000,21000,20121,21010,20000,20000,20100,20000,20000,21000,20000,20000,21000,20000,20010,20100,20000,20002,20000,20200,20010,20021,20010,20020,20000,20000,20000,20010,20000,20000,20000,20100,20010,20002,20010,20000,20010,20000,20002,20010,20200,20200,20202,20200,20202,20210,20222,20000,20002,20100,20100,20122,20100,21100,20100,21100,20100,20100,20102,20100,20100,21210,20100,21100,21100,21100,21120,21100,20102,20112,20110,21110,20110,20110,20100,21100,21100,20100,22000,22000,22010,22000,22000,22000,22010,22000,22000,22000,22000,22100,22002,22010,22100,22100,22200,22200,22200,22210,22200,22200,22200,22200,22200,22000,22000,22000,22022,20001,21000,20002,20011,20000,20000,20000,21000,21000,20011,20120,20100,20100,21000,20000,21000,20002
pufte,20000,20000,20001,20001,20000,21000,20000,20000,20000,20010,20001,20010,20000,20000,20001,20002,20001,20001,20000,20002,20001,20011,20020,20000,20000,20001,20001,20000,20002,20020,20001,20000,20002,20000,20001,20001,20011,20000,20000,20020,20020,20000,20000,20002,20002,20020,20010,20010,20011,20010,21002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20021,20011,20001,20001,20000,20001,20001,20001,20001,20001,20001,20002,20011,20000,20000,20000,20000,20001,20011,20022,20012,20022,20001,20000,20000,20010,20000,20002,20000,20000,20010,20001,20011,20001,20011,20001,20001,20010,20001,20000,20000,20000,20000,20010,20020,21000,21000,20001,20001,20021,20001,20001,20001,20001,20000,20000,20000,20000,20001,20010,20001,20001,20002,20000,20020,21000,20001,20010,20011,20011,20010,20012,21002,20001,20001,20001,20000,20000,20010,20000,21000,20001,20011,20001,20001,20000,20002,20000,20000,20010,20000,20000,20101,20000,20000,20010,20000,20002,20000,20000,20000,21000,21000,21002,21020,20000,22001,22000,22010,22000,22000,22000,22002,22001,22012,22020,20000,20000,21000,20000,20000,20001
puien,20000,20000,20022,20022,20000,21100,20000,20000,20000,20000,20022,20000,20000,20000,20022,20110,20020,20020,20000,20010,20022,20020,20000,20000,20001,20021,20022,20001,20011,20001,20020,20100,20010,20000,20020,20022,20020,20100,20000,20000,20000,20000,20000,20010,20010,20000,20000,20000,20020,20100,21010,20020,20110,20020,20020,20022,21010,20111,20011,20020,20022,20010,20020,20022,20110,20101,20110,20022,20020,20022,20022,20020,20010,20120,20100,20100,20101,20101,20122,20120,20110,20110,20110,20120,20100,20000,20000,20100,20011,20001,20001,20001,20010,20020,20112,20110,20010,20011,20201,20020,20000,20001,20100,20000,20000,20000,21100,21100,20010,20010,20010,20022,20020,20022,20020,20000,20100,20100,20000,20021,20000,20020,20020,20110,20001,20000,21000,20020,20000,20022,20020,20100,20010,21010,20020,20020,20022,20000,20000,20000,20001,21000,20020,20011,20220,20220,20200,20210,20200,20201,20201,20202,20200,20020,20000,20001,20001,20100,20010,20000,20000,20000,21100,21100,21011,21000,20000,22020,22100,22200,22001,22100,22000,22020,22022,22010,22000,20002,20101,21000,20101,20000,20220
puike,20000,20000,20001,20001,20000,21100,20000,20000,20000,20000,20001,20000,20000,20000,20001,20102,20001,20001,20010,20012,20001,20001,20000,20000,20000,20001,20001,20000,20002,20000,20001,20100,20002,20000,20001,20001,20001,20100,20020,20000,20000,20000,20000,20002,20002,20000,20000,20000,20001,20100,21002,20001,20101,20001,20011,20001,21001,20101,20001,20001,20001,20001,20001,20001,20101,20100,20101,20001,20001,20001,20001,20001,20002,20111,20110,20100,20100,20100,20101,20101,20102,20102,20102,20101,20100,20000,20000,20100,20002,20010,20000,20000,20001,20001,20101,20101,20001,20001,20200,20001,20000,20000,20100,20000,20000,20000,21100,21100,20001,20001,20001,20001,20001,20011,20011,20010,20100,20100,20020,20001,20000,20001,20001,20102,20000,20000,21000,20001,20000,20001,20001,20100,20002,21002,20001,20001,20001,20000,20000,20000,20000,21000,20011,20001,20201,20201,20200,20202,20200,20200,20200,20200,20200,20001,20000,20010,20000,20100,20002,20000,20000,20000,21110,21100,21002,21000,20000,22001,22100,22200,22000,22100,22000,22002,22001,22002,22000,20000,20100,21010,20100,20000,20201
puilt,20000,20000,20000,20010,20020,21100,20000,20000,20000,20002,20000,20002,20000,20000,20000,20100,20000,20000,20000,20000,20010,20012,20011,20000,20000,20010,20000,20000,20000,20001,20000,20110,20000,20000,20010,20000,20002,20100,20000,20001,20001,20000,20000,20000,20000,20001,20002,20001,20001,20101,21000,20010,20100,20010,20010,20010,21010,20100,20000,20000,20000,20001,20001,20000,20100,20100,20100,20010,20010,20000,20000,20000,20000,20102,20110,20110,20100,20100,20100,20102,20101,20101,20101,20110,20100,20010,20012,20110,20010,20010,20010,20012,20010,20012,20110,20112,20010,20010,20212,20010,20010,20010,20110,20010,20012,20011,21110,21110,20000,20000,20001,20000,20000,20000,20000,20010,20110,20110,20010,20000,20002,20010,20000,20100,20000,20001,21000,20000,20001,20001,20001,20101,20001,21020,20000,20000,20000,20010,20000,20002,20000,21000,20000,20002,20210,20200,20200,20200,20200,20200,20202,20200,20200,20000,20000,20000,20002,20100,20000,20000,20000,20000,21100,21100,21000,21001,20020,22000,22100,22202,22000,22110,22000,22000,22000,22001,22001,20010,20100,21010,20100,20000,20200
puimt,20000,20000,20000,20000,20000,21100,20000,20000,20000,20002,20000,20002,20000,20000,20000,20100,20000,20000,20000,20000,20000,20002,20001,20010,20000,20000,20000,20000,20000,20001,20000,20100,20000,20000,20000,20000,20002,20100,20000,20001,20001,20000,20000,20000,20000,20001,20002,20001,20001,20101,21000,20000,20100,20000,20000,20000,21000,20100,20000,20000,20000,20001,20001,20000,20100,20100,20100,20000,20000,20000,20000,20000,20000,20102,20100,20100,20100,20100,20100,20102,20101,20101,20101,20100,20100,20000,20002,20100,20000,20000,20000,20002,20000,20002,20100,20102,20020,20000,20202,20000,20020,20000,20100,20000,20002,20001,21110,21100,20000,20020,20001,20000,20000,20000,20000,20000,20100,20100,20000,20010,20002,20000,20010,20100,20000,20001,21010,20000,20001,20001,20001,20101,20001,21000,20000,20000,20000,20000,20010,20002,20000,21000,20000,20002,20200,20210,20220,20220,20220,20200,20202,20200,20200,20000,20020,20000,20002,20100,20000,20000,20000,20000,21100,21110,21000,21001,20010,22000,22100,22202,22000,22100,22000,22000,22000,22001,22001,20000,20100,21000,20100,20000,20200
pukje,20000,20000,20001,20001,20000,21000,20000,20000,20000,20000,20001,20000,20000,20000,20001,20002,20001,20001,20200,20222,20001,20001,20000,20000,20000,20001,20001,20000,20002,20000,20001,20000,20022,20000,20001,20001,20001,20000,20100,20000,20000,20000,20020,20022,20002,20000,20000,20000,20001,20000,21002,20001,20001,20001,20201,20001,21001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20001,20001,20001,20001,20001,20001,20022,20201,20200,20000,20000,20000,20001,20001,20002,20022,20002,20001,20000,20000,20000,20000,20002,20100,20000,20000,20001,20001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20000,20000,20000,21000,21000,20001,20001,20001,20001,20001,20201,20201,20100,20000,20000,20100,20001,20000,20001,20001,20002,20000,20000,21000,20001,20000,20001,20001,20000,20022,21002,20001,20001,20001,20000,20000,20000,20000,21000,20101,20001,20001,20001,20000,20002,20000,20000,20000,20000,20000,20001,20000,20100,20000,20000,20002,20000,20000,20000,21100,21000,21002,21000,20000,22001,22000,22000,22000,22000,22000,22002,22001,22002,22000,20000,20000,21100,20000,20000,20001
pulkt,20000,20000,20000,20200,20100,21000,20000,20000,20000,20002,20000,20002,20000,20000,20000,20000,20000,20000,20010,20010,20200,20202,20201,20000,20000,20100,20000,20000,20000,20001,20000,20100,20000,20000,20100,20000,20002,20000,20020,20001,20001,20000,20000,20000,20000,20001,20002,20001,20001,20001,21000,20100,20000,20100,20110,20200,21200,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20200,20200,20000,20000,20000,20000,20012,20110,20200,20000,20000,20000,20002,20001,20001,20001,20100,20000,20100,20102,20100,20100,20110,20100,20102,20100,20102,20100,20102,20100,20100,20102,20100,20100,20100,20100,20100,20102,20101,21100,21100,20000,20000,20001,20000,20000,20010,20010,20210,20200,20200,20220,20000,20002,20100,20000,20000,20000,20001,21000,20000,20001,20001,20001,20001,20001,21100,20000,20000,20000,20100,20000,20002,20000,21000,20010,20002,20100,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,21010,21000,21000,21001,20100,22000,22000,22002,22000,22100,22000,22000,22000,22001,22001,20200,20000,21110,20000,20000,20000
pulst,20000,20010,20010,20200,20110,21010,20010,20000,20010,20002,20000,20002,20000,20000,20000,20000,20000,20010,20010,20000,20200,20202,20211,20000,20000,20100,20000,20000,20000,20001,20000,20100,20000,20000,20100,20000,20002,20000,20000,20001,20001,20010,20010,20010,20020,20011,20002,20001,20001,20001,21000,20100,20010,20100,20100,20200,21200,20010,20000,20000,20000,20011,20001,20000,20000,20000,20000,20200,20200,20000,20000,20000,20000,20002,20100,20200,20010,20000,20000,20002,20011,20001,20001,20100,20000,20100,20102,20100,20100,20100,20100,20102,20110,20102,20100,20102,20100,20110,20102,20100,20100,20110,20100,20110,20102,20111,21100,21110,20000,20000,20011,20000,20000,20000,20000,20200,20200,20210,20200,20000,20002,20100,20000,20000,20000,20001,21000,20010,20011,20001,20001,20001,20001,21100,20000,20000,20000,20100,20000,20002,20000,21000,20000,20002,20100,20000,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,21000,21000,21000,21011,20110,22000,22010,22022,22000,22100,22000,22000,22000,22021,22001,20200,20000,21100,20000,20000,20010
pumps,20000,20002,20001,20000,20002,21002,20022,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20002,20000,20000,20000,20002,20220,20000,20000,20000,20000,20000,20000,20010,20010,20010,20020,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20001,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,21000,20002,20000,20010,20000,20001,20000,20000,20000,20000,20020,20000,20000,20000,20010,20010,20010,20000,20000,20000,20002,20000,20000,20010,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20110,20002,20000,20000,20110,20002,20000,20002,20000,20002,21100,21002,20000,20100,20002,20000,20000,20000,20000,20000,20000,20002,20000,20100,20000,20010,20100,20000,20000,20000,21100,20002,20002,20000,20000,20000,20000,21000,20000,20000,20000,20000,20100,20000,20000,21000,20000,20000,20000,20100,20100,20100,20100,20002,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,21000,21100,21000,21002,20101,22000,22002,22001,22000,22010,22020,22000,22000,22001,22000,20000,20000,21000,20000,20000,20002
punks,20000,20002,20101,20100,20002,21002,20002,20000,20002,20000,20100,20000,20000,20000,20100,20000,20000,20002,20012,20010,20100,20000,20002,20000,20200,20200,20200,20200,20200,20200,20000,20000,20000,20000,20000,20100,20000,20000,20020,20000,20000,20001,20001,20001,20001,20001,20000,20000,20000,20000,21000,20000,20002,20000,20010,20100,21000,20202,20200,20000,20100,20001,20000,20100,20000,20100,20000,20100,20000,20200,20100,20000,20000,20010,20010,20000,20202,20200,20100,20000,20001,20000,20000,20000,20000,20000,20000,20000,20100,20110,20100,20100,20002,20000,20100,20000,20000,20102,20100,20000,20000,20102,20000,20002,20000,20002,21000,21002,20000,20000,20002,20100,20000,20110,20010,20010,20000,20002,20020,20200,20000,20000,20000,20000,20100,20000,21000,20002,20002,20100,20000,20000,20000,21000,20000,20000,20100,20000,20000,20000,20100,21000,20010,20100,20000,20000,20000,20000,20000,20102,20100,20100,20000,20000,20000,20110,20100,20000,20000,20000,20000,20000,21010,21000,21100,21002,20001,22000,22002,22001,22200,22000,22000,22000,22100,22001,22000,20100,20200,21010,20200,20000,20002
puste,20000,20100,20201,20001,20100,21100,20100,20000,20100,20010,20001,20010,20000,20000,20001,20002,20001,20101,20100,20002,20001,20011,20120,20000,20000,20001,20001,20000,20002,20020,20001,20000,20002,20000,20001,20001,20011,20000,20000,20020,20020,20200,20200,20202,20202,20220,20010,20010,20011,20010,21002,20001,20101,20001,20001,20001,21001,20101,20001,20001,20001,20221,20011,20001,20001,20000,20001,20001,20001,20001,20001,20001,20002,20011,20000,20000,20100,20000,20001,20011,20222,20012,20022,20001,20000,20000,20010,20000,20002,20000,20000,20010,20101,20011,20001,20011,20001,20101,20010,20001,20000,20100,20000,20100,20010,20120,21000,21100,20001,20001,20121,20001,20001,20001,20001,20000,20000,20100,20000,20001,20010,20001,20001,20002,20000,20020,21000,20201,20110,20011,20011,20010,20012,21002,20001,20001,20001,20000,20000,20010,20000,21000,20001,20011,20001,20001,20000,20002,20000,20100,20010,20000,20000,20001,20000,20000,20010,20000,20002,20000,20000,20000,21000,21000,21002,21120,20100,22001,22100,22110,22000,22000,22000,22002,22001,22112,22020,20000,20000,21000,20000,20000,20101
putje,20000,20000,20001,20001,20000,21000,20000,20000,20000,20100,20001,20100,20000,20000,20001,20002,20001,20001,20000,20022,20001,20101,20100,20000,20000,20001,20001,20000,20002,20100,20001,20000,20022,20000,20001,20001,20101,20000,20000,20100,20100,20000,20020,20022,20002,20100,20200,20200,20201,20200,21002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20101,20201,20001,20001,20000,20001,20001,20001,20001,20001,20001,20022,20101,20000,20000,20000,20000,20001,20101,20102,20222,20202,20001,20000,20000,20100,20000,20002,20000,20000,20100,20001,20101,20001,20101,20001,20001,20100,20001,20000,20000,20000,20000,20100,20100,21000,21000,20001,20001,20101,20001,20001,20001,20001,20000,20000,20000,20000,20001,20100,20001,20001,20002,20000,20100,21000,20001,20200,20201,20201,20200,20222,21002,20001,20001,20001,20000,20000,20100,20000,21000,20001,20101,20001,20001,20000,20002,20000,20000,20100,20000,20000,20001,20000,20000,20100,20000,20002,20000,20000,20000,21000,21000,21002,21100,20000,22001,22000,22100,22000,22000,22000,22002,22001,22202,22200,20000,20000,21000,20000,20000,20001
putst,20000,20010,20010,20000,20010,21010,20010,20000,20010,20002,20000,20002,20000,20000,20000,20000,20000,20010,20010,20000,20000,20002,20110,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20002,20000,20000,20100,20100,20010,20010,20010,20020,20110,20202,20200,20200,20200,21000,20000,20010,20000,20000,20000,21000,20010,20000,20000,20000,20110,20200,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20002,20110,20200,20201,20000,20000,20000,20002,20000,20000,20000,20000,20002,20010,20002,20000,20002,20000,20010,20002,20000,20000,20010,20000,20010,20002,20110,21000,21010,20000,20000,20110,20000,20000,20000,20000,20000,20000,20010,20000,20000,20002,20000,20000,20000,20000,20100,21000,20010,20210,20200,20200,20200,20200,21000,20000,20000,20000,20000,20000,20002,20000,21000,20000,20002,20000,20000,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,21000,21000,21000,21110,20010,22000,22010,22022,22000,22000,22000,22000,22000,22220,22201,20000,20000,21000,20000,20000,20010
putte,20000,20000,20001,20001,20000,21000,20000,20000,20000,20100,20001,20100,20000,20000,20001,20002,20001,20001,20000,20002,20001,20101,20020,20000,20000,20001,20001,20000,20002,20020,20001,20000,20002,20000,20001,20001,20101,20000,20000,20020,20020,20000,20000,20002,20002,20020,20210,20200,20201,20200,21002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20021,20201,20001,20001,20000,20001,20001,20001,20001,20001,20001,20002,20101,20000,20000,20000,20000,20001,20101,20022,20202,20222,20001,20000,20000,20100,20000,20002,20000,20000,20100,20001,20101,20001,20101,20001,20001,20100,20001,20000,20000,20000,20000,20100,20020,21000,21000,20001,20001,20021,20001,20001,20001,20001,20000,20000,20000,20000,20001,20100,20001,20001,20002,20000,20020,21000,20001,20200,20201,20201,20200,20202,21002,20001,20001,20001,20000,20000,20100,20000,21000,20001,20101,20001,20001,20000,20002,20000,20000,20100,20000,20000,20001,20000,20000,20100,20000,20002,20000,20000,20000,21000,21000,21002,21020,20000,22001,22000,22100,22000,22000,22000,22002,22001,22202,22220,20000,20000,21000,20000,20000,20001
puurs,20010,20012,20001,20000,20002,20212,20002,20020,20022,20020,20000,20000,20000,20000,20000,20000,20010,20002,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20010,20010,20010,20010,20010,20010,20010,20011,20001,20001,20001,20001,20000,20000,20010,20000,20200,20000,20002,20000,20000,20000,21000,20002,20000,20010,20010,20001,20010,20000,20000,20000,20000,20000,20010,20000,20000,20010,20000,20000,20000,20000,20002,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20002,20000,20002,20200,20202,20000,20000,20002,20000,20010,20000,20010,20000,20000,20002,20000,20000,20020,20000,20010,20010,20010,20010,21010,20002,20002,20000,20010,20000,20000,20200,20010,20010,20000,20010,20010,20010,20010,21010,20010,20010,20010,20010,20010,20010,20010,20012,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20210,20210,20210,20212,20001,22010,22002,22001,22000,22000,22000,22010,22010,22001,22000,20000,20000,20220,20000,20010,20002
puurt,20010,20010,20000,20000,20000,20210,20000,20020,20020,20022,20000,20002,20000,20000,20000,20000,20010,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20000,20001,20010,20000,20000,20000,20010,20010,20012,20010,20010,20011,20011,20010,20000,20000,20000,20001,20002,20001,20011,20001,20200,20000,20000,20000,20000,20000,21000,20000,20000,20010,20010,20001,20011,20000,20000,20000,20000,20000,20010,20000,20000,20010,20000,20002,20000,20000,20000,20000,20000,20002,20001,20001,20001,20000,20000,20000,20002,20000,20000,20000,20000,20002,20000,20002,20000,20002,20000,20000,20002,20000,20000,20000,20000,20000,20002,20001,20200,20200,20000,20000,20001,20000,20010,20000,20010,20000,20000,20000,20000,20000,20022,20000,20010,20010,20010,20011,21010,20000,20001,20001,20011,20001,20001,20200,20010,20010,20000,20010,20010,20012,20010,21010,20010,20012,20010,20010,20010,20010,20010,20010,20012,20010,20010,20010,20010,20010,20012,20010,20010,20010,20010,20010,20210,20210,20210,20211,20000,22010,22000,22002,22000,22000,22000,22010,22010,22001,22001,20000,20000,20220,20000,20010,20000
piets,20000,20002,20101,20100,20002,21002,20002,20000,20002,20010,20100,20010,20000,20000,20100,21100,20100,20102,20002,20100,20100,20110,20022,20000,20000,20100,20100,20000,20100,20020,20100,21000,20100,20000,20100,20100,20110,21000,20000,20020,20020,20001,20001,20101,20101,20021,20010,20010,20110,21010,20100,20100,21102,20100,20100,20100,20100,21102,20100,20100,20100,20121,20110,20100,21100,22000,22200,20100,20100,20100,20100,20100,20100,22110,22000,22000,22002,22000,22100,22110,22121,22110,22120,22100,22000,20000,20010,21000,20100,20000,20000,20010,20202,20210,21200,21210,20200,20202,21010,20100,20000,20002,21000,20002,20010,20022,21000,21002,20200,20200,20222,20100,20100,20100,20100,20000,21000,21002,20000,20100,20010,20100,20100,21100,20000,20020,20000,20102,20012,20110,20110,21010,20110,20100,20100,20100,20100,20000,20000,20010,20000,20000,20200,20210,21100,21100,21000,21100,21000,21002,21010,21000,21000,20100,20000,20000,20010,21000,20100,20000,20000,20000,21000,21000,20100,20022,20001,20100,21002,21011,20000,21000,20000,20100,20100,20111,20020,20000,22000,20000,21000,20000,21102
pacet,22000,22000,22020,20020,20000,20000,22000,22000,22000,22002,22220,22202,22000,22000,22020,22010,22020,22020,22000,22010,22020,22022,22001,22000,22000,22020,22020,22000,22010,22001,22020,22000,22010,22000,22020,22020,22022,22000,22000,22001,22001,22000,22000,22010,22010,22001,22002,22101,22021,22001,22010,20020,20010,20020,20020,20020,20010,20010,20010,20020,20020,20011,20021,20020,20010,21000,21010,20020,20020,20020,20020,20020,20010,20022,20000,21000,21000,21000,20020,20022,20011,20011,20011,20020,21000,21000,21002,21000,21010,21000,21000,21002,20010,20022,20010,20012,20010,20010,20002,20020,20000,20000,20000,20000,20002,20001,20000,20000,21010,21010,20011,20020,20020,20020,20020,21000,20000,20000,21000,20020,20002,20020,20020,20010,20000,20001,20000,20020,21001,20021,20021,20001,20011,20010,20020,20020,20020,21000,21000,21002,21000,21000,20020,20012,20020,20020,21000,20010,20000,20000,20002,20000,20000,20020,20000,20000,20002,20000,20010,20000,20000,21000,20000,20000,20010,20001,21000,20020,20000,20002,20100,20000,20000,20020,20020,20011,20001,20000,20000,20000,22000,22000,20020
packs,22000,22002,22001,20000,20002,20002,22002,22000,22002,22000,22200,22200,22000,22000,22000,22000,22000,22002,22012,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22020,22000,22000,22001,22001,22001,22001,22001,22000,22100,22000,22000,22000,20000,20002,20000,20010,20000,20000,20002,20000,20000,20000,20001,20000,20000,20000,21000,21000,20000,20000,20000,20000,20000,20000,20010,20010,21000,21002,21000,20000,20000,20001,20000,20000,20000,21000,21000,21000,21000,21000,21010,21000,21000,20002,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20002,20000,20002,20000,20002,21000,21000,20002,20000,20000,20010,20010,21010,20000,20002,21020,20000,20000,20000,20000,20000,20000,20000,20000,20002,21002,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,20010,20000,20000,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,21000,20010,20000,20000,20002,21001,20000,20002,20001,20100,20000,20000,20000,20000,20001,20000,20000,20000,20010,22000,22000,20002
parse,22200,22210,22011,20001,20010,20110,22010,22100,22110,22100,22001,22000,22000,22000,22001,22002,22101,22011,22010,22002,22001,22001,22010,22000,22000,22001,22001,22000,22002,22000,22101,22000,22002,22000,22201,22201,22201,22200,22200,22200,22200,22110,22010,22012,22022,22010,22000,22000,22101,22000,22002,20001,20011,20001,20001,20001,20001,20011,20001,20101,20201,20011,20101,20001,20001,21000,21001,20001,20101,20001,20001,20101,20002,20001,20000,21000,21010,21000,20001,20001,20012,20002,20002,20001,21000,21000,21000,21000,21002,21000,21000,21000,20011,20001,20001,20001,20001,20011,20000,20001,20000,20010,20000,20010,20000,20010,20000,20010,21001,21001,20011,20001,20101,20001,20101,21000,20000,20010,21000,20001,20100,20001,20201,20202,20200,20200,20200,20011,21010,20001,20101,20000,20002,20002,20101,20101,20001,21100,21100,21100,21100,21100,20101,20101,20101,20101,21100,20102,20100,20110,20100,20100,20100,20101,20100,20100,20100,20100,20102,20100,20100,21100,20100,20100,20102,20110,21010,20101,20010,20020,20000,20000,20000,20202,20201,20022,20000,20000,20000,20100,22000,22200,20011
pepte,20000,20000,21000,21000,20000,20000,20100,20000,20000,20010,21000,20010,20000,20000,21000,20002,21000,21000,20000,20002,21000,21010,20020,20100,20000,21000,21000,20000,20002,20020,21200,20200,20202,20200,21000,21000,21010,20000,20000,20020,20020,20000,20000,20002,20002,20020,20010,20010,21010,20010,20002,22001,22000,22001,22001,22001,22000,22000,22000,22201,22001,22020,22011,22001,22000,20000,21100,21000,21000,21000,21200,21200,20202,21010,20000,20000,20000,20000,21000,21210,20022,20012,20022,21000,20000,20000,20010,20000,20002,20000,20000,20010,21000,21011,21000,21010,21100,21000,20010,21000,20100,20000,20000,20000,20010,20020,20000,20000,21000,21000,21020,21000,21000,21000,21000,20000,20000,20000,20000,21000,20010,21200,21000,20002,20000,20020,20000,21000,20010,21010,21010,20010,20012,20002,21000,21000,21000,20000,20000,20010,20000,20000,21001,21010,21000,21000,20000,20002,20000,20000,20010,20000,20000,21000,20000,20000,20010,20000,20002,20000,20000,20000,20000,20000,20002,20020,20000,21000,20000,20010,20000,20200,20200,21002,21000,20012,20020,20000,20000,20000,20000,20000,22001
piekt,20000,20000,20100,20100,20000,21000,20000,20000,20000,20002,20100,20002,20000,20000,20100,21100,20100,20100,20010,20110,20100,20102,20001,20000,20000,20100,20100,20000,20100,20001,20100,21000,20100,20000,20100,20100,20102,21000,20020,20001,20001,20000,20000,20100,20100,20001,20002,20001,20101,21001,20100,20100,21100,20100,20110,20100,20100,21100,20100,20100,20100,20101,20101,20100,21100,22000,22200,20100,20100,20100,20100,20100,20100,22112,22010,22000,22000,22000,22100,22102,22101,22101,22101,22100,22000,20000,20002,21000,20100,20010,20000,20002,20200,20202,21200,21202,20200,20200,21002,20100,20000,20000,21000,20000,20002,20001,21000,21000,20200,20200,20201,20100,20100,20110,20110,20010,21000,21000,20020,20100,20002,20100,20100,21100,20000,20001,20000,20100,20001,20101,20101,21001,20101,20100,20100,20100,20100,20000,20000,20002,20000,20000,20210,20202,21100,21100,21000,21100,21000,21000,21002,21000,21000,20100,20000,20010,20002,21000,20100,20000,20000,20000,21010,21000,20100,20001,20000,20100,21000,21002,20000,21000,20000,20100,20100,20101,20001,20000,22000,20010,21000,20000,21100
pilde,20000,20000,20001,20201,20100,21000,20000,20010,20000,20000,20001,20000,20020,20020,20011,21012,20001,20001,20000,20002,20201,20201,20200,20000,20020,20101,20001,20000,20002,20000,20001,21100,20002,20000,20101,20001,20001,21000,20000,20000,20000,20000,20000,20002,20002,20000,20000,20000,20001,21000,20002,20111,21011,20101,20101,20201,20201,21001,20001,20001,20001,20001,20001,20001,21001,22000,22001,20201,20201,20001,20001,20001,20002,22001,22100,22200,22000,22020,22001,22001,22002,22002,22002,22101,22000,20100,20100,21110,20102,20100,20100,20100,20101,20101,21101,21101,20101,20101,21100,20101,20100,20100,21100,20100,20100,20100,21100,21100,20001,20001,20001,20001,20001,20001,20001,20200,21200,21200,20200,20001,20000,20101,20001,21002,20000,20000,20000,20001,20000,20001,20001,21000,20002,20102,20001,20001,20001,20100,20000,20000,20000,20000,20001,20001,21101,21001,21000,21002,21000,21000,21000,21000,21000,20001,20000,20000,20000,21000,20002,20000,20000,20000,21000,21000,20002,20000,20100,20001,21000,21000,20000,21100,20000,20002,20001,20002,20000,20200,22000,20100,21000,20000,21001
