Guess,finse,frank,frans,fries,fabel,facet,facie,facit,facta,fagot,faire,faken,fakir,falen,falie,farad,farao,farce,farde,fasen,fases,fatum,fatwa,fauna,faxen,feces,feeks,feest,femel,fenol,ferry,fiber,fiche,fichu,ficus,fielt,fiets,f1fel,f1nte,filet,fiool,firma,fitis,fjord,flair,flank,flard,flash,flauw,fleer,flens,flets,fleur,flink,flirt,flits,floep,floer,floot,flora,floss,fluim,fluit,fluks,fluor,flyer,fobie,focus,foert,folie,folio,folky,fonds,forel,forma,forte,forto,forum,fossa,foton,foyer,fraai,frame,franc,frank,frase,frats,freak,frees,freon,fries,friet,frigo,frons,front,fruit,fundi,funky,furie,fusee,fusie,futon,fylum,frust,fysio
fungi,20201,20100,20100,20001,20000,20000,20001,20001,20000,20010,20001,20100,20001,20100,20001,20000,20000,20000,20000,20100,20000,21000,20000,21100,20100,20000,20000,20000,20000,20200,20000,20001,20001,21001,21001,20001,20001,20000,20200,20001,20001,20001,20001,20000,20001,20100,20000,20000,21000,20000,20100,20000,21000,20101,20001,20001,20000,20000,20000,20000,20000,21001,21001,21000,21000,20000,20001,21000,20000,20001,20001,20000,20200,20000,20000,20000,20000,21000,20000,20100,20000,20002,20000,20100,20100,20000,20000,20000,20000,20100,20001,20001,20021,20100,20100,21001,22202,22200,22001,22000,22001,22100,21000,21000,20001
forst,20020,20100,20110,20110,20000,20002,20000,20002,20001,21002,20100,20000,20100,20000,20000,20200,21200,20200,20200,20010,20010,20001,20001,20000,20000,20010,20010,20022,20000,21000,20200,20100,20000,20000,20010,20002,20011,20000,20001,20002,21000,20200,20011,21100,20100,20000,20100,20020,20000,20100,20010,20011,20100,20000,20102,20011,21000,21100,21002,21100,21020,20000,20002,20010,21100,20100,22000,22010,22102,22000,22000,22000,22010,22200,22200,22201,22201,22200,22020,22001,22100,20100,20100,20100,20100,20120,20111,20100,20110,21100,20110,20102,21100,21110,21102,20102,20000,20000,20200,20010,20010,21001,20000,20122,21010
faket,20010,21100,21000,20020,22020,22022,22010,22002,22001,22002,22010,22220,22200,22020,22010,22000,22000,22010,22010,22020,22020,22001,22001,22000,22020,20020,20110,20012,20020,20010,20010,20020,20010,20000,20000,20012,20011,20020,20011,20022,20000,21000,20001,20000,21000,21100,21000,21000,21000,20020,20010,20011,20010,20100,20002,20001,20020,20020,20002,21000,20000,20000,20002,20100,20000,20020,20010,20000,20012,20010,20000,20100,20000,20020,21000,20011,20001,20000,21000,20001,20020,21000,21010,21000,21100,21010,21001,21110,20020,20010,20020,20022,20000,20000,20002,20002,20000,20100,20010,20020,20010,20001,20000,20002,20000
field,22100,20000,20000,21100,20110,20100,21100,21000,20000,20000,21100,20100,21000,20110,21110,20002,20000,20100,20101,20100,20100,20000,20000,20000,20100,20100,20200,20200,20110,20110,20100,22100,22100,22000,22000,22220,22200,20110,20100,22110,22010,22000,22000,20002,21010,20010,20012,20010,20010,20210,20210,20210,20210,21010,21010,21010,20110,20110,20010,20010,20010,21010,21010,20010,20010,20110,21100,20000,20200,21110,21010,20010,20001,20110,20000,20100,20000,20000,20000,20000,20100,21000,20100,20000,20000,20100,20000,20200,20200,20200,21100,21100,21000,20000,20000,21000,21001,20000,21100,20100,21100,20000,20010,20000,21000
flops,20001,20000,20002,20002,21000,20000,20000,20000,20000,20100,20000,20000,20000,21000,21000,20000,20100,20000,20000,20001,20002,20000,20000,20000,20000,20002,20002,20001,21000,21100,20000,20000,20000,20000,20002,21000,20002,21000,20000,21000,21200,20000,20002,20200,22000,22000,22000,22001,22000,22000,22002,22002,22000,22000,22000,22002,22210,22200,22200,22200,22202,22000,22000,22002,22100,22000,20100,20102,20100,21100,21100,21100,20102,21100,20100,20100,20100,20100,20101,20100,20100,20000,20000,20000,20000,20001,20002,20000,20002,20100,20002,20000,20100,20202,20200,20000,20000,20000,20000,20001,20001,20100,21000,20001,20101
flost,20020,20000,20010,20010,21000,20002,20000,20002,20001,20102,20000,20000,20000,21000,21000,20000,20100,20000,20000,20010,20010,20001,20001,20000,20000,20010,20010,20022,21000,21100,20000,20000,20000,20000,20010,21002,20011,21000,20001,21002,21200,20000,20011,20200,22000,22000,22000,22020,22000,22000,22010,22011,22000,22000,22002,22011,22200,22200,22202,22200,22220,22000,22002,22010,22100,22000,20100,20110,20102,21100,21100,21100,20110,21100,20100,20101,20101,20100,20120,20101,20100,20000,20000,20000,20000,20020,20011,20000,20010,20100,20010,20002,20100,20210,20202,20002,20000,20000,20000,20010,20010,20101,21000,20022,20110
frets,20101,22000,22002,22102,20100,20110,20100,20010,20020,20010,21100,20100,21000,20100,20100,21000,21000,21100,21100,20101,20102,20010,20010,20000,20100,20102,20202,20211,20100,20100,21100,21100,20100,20000,20002,20210,20222,20100,20120,20110,20000,21000,20012,21000,21000,20000,21000,20001,20000,21200,20202,20222,21200,20000,21010,20022,20100,21100,20010,21000,20002,20000,20010,20002,21000,21100,20100,20002,21210,20100,20000,20000,20002,21100,21000,21120,21020,21000,20001,20010,21100,22000,22100,22000,22000,22101,22022,22200,22202,22200,22102,22110,22000,22002,22010,22010,20000,20000,21100,20101,20101,20010,20000,22011,20001
flati,20001,20200,20200,20001,21100,20110,20101,20111,20120,20110,20101,20100,20101,21100,21101,20100,20100,20100,20100,20100,20100,20110,20110,20100,20100,20000,20000,20010,21000,21000,20000,20001,20001,20001,20001,21011,20021,21000,20020,21011,21001,20101,20011,20000,22201,22200,22200,22200,22200,22000,22000,22020,22000,22001,22011,22021,22000,22000,22010,22100,22000,22001,22011,22000,22000,22000,20001,20000,20010,21001,21001,21000,20000,21000,20100,20020,20020,20000,20100,20010,20000,20202,20200,20200,20200,20200,20220,20100,20000,20000,20001,20011,20001,20000,20010,20011,20002,20000,20001,20000,20001,20010,21000,20010,20001
forti,20001,20100,20100,20101,20000,20010,20001,20011,20020,21010,20101,20000,20101,20000,20001,20200,21200,20200,20200,20000,20000,20010,20010,20000,20000,20000,20000,20010,20000,21000,20200,20101,20001,20001,20001,20011,20021,20000,20020,20011,21001,20201,20011,21100,20101,20000,20100,20000,20000,20100,20000,20020,20100,20001,20111,20021,21000,21100,21010,21100,21000,20001,20011,20000,21100,20100,22001,22000,22110,22001,22001,22000,22000,22200,22200,22220,22220,22200,22000,22010,22100,20102,20100,20100,20100,20100,20120,20100,20100,21100,20101,20111,21101,21100,21110,20111,20002,20000,20201,20000,20001,21010,20000,20110,21001
fahds,20001,21000,21002,20002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22020,22001,22002,22000,22000,22000,22000,20002,20002,20001,20000,20000,20000,20000,20100,20100,20002,20000,20002,20000,20000,20000,20000,21000,20002,20010,21000,21000,21010,21101,21000,20000,20002,20002,20000,20000,20000,20002,20000,20000,20000,21000,20002,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20022,20000,21000,20000,20000,20000,21001,20000,20000,21000,21000,21000,21000,21001,21002,21000,20002,20000,20002,20000,20000,20002,20000,20000,20020,20000,20000,20001,20001,20000,20000,20001,20001
fayes,20011,21000,21002,20022,22020,22020,22010,22000,22000,22000,22010,22020,22000,22020,22010,22000,22000,22010,22010,22021,22022,22000,22000,22000,22020,20022,20012,20011,20020,20010,20110,20020,20010,20000,20002,20010,20012,20020,20010,20020,20000,21000,20002,20000,21000,21000,21000,21001,21000,20020,20012,20012,20010,20000,20000,20002,20020,20020,20000,21000,20002,20000,20000,20002,20000,20220,20010,20002,20010,20010,20000,20100,20002,20020,21000,20010,20000,20000,21001,20000,20220,21000,21010,21000,21000,21011,21002,21010,20022,20010,20022,20020,20000,20002,20000,20000,20000,20100,20010,20021,20011,20000,20100,20001,20101
febes,21001,20000,20002,20022,20220,20020,21000,20000,20000,20000,21000,20020,20000,20020,21000,20000,20000,21000,21000,20021,20022,20000,20000,20000,20020,22022,22012,22011,22020,22000,22000,20220,21000,20000,20002,21000,21002,20020,21000,20020,20000,20000,20002,20000,20000,20000,20000,20001,20000,21020,21002,21002,21000,20000,20000,20002,20020,20020,20000,20000,20002,20000,20000,20002,20000,20020,21200,20002,21000,21000,20000,20000,20002,20020,20000,21000,20000,20000,20001,20000,20020,20000,21000,20000,20000,21001,20002,21000,21022,21000,20022,20020,20000,20002,20000,20000,20000,20000,21000,21021,21001,20000,20000,20001,20001
fiens,22111,20020,20022,21102,20100,20100,21100,21000,20000,20000,21100,20110,21000,20110,21100,20000,20000,20100,20100,20111,20102,20000,20000,20020,20110,20102,20202,20201,20100,20110,20100,22100,22100,22000,22002,22200,22202,20100,20110,22100,22000,22000,22002,20000,21000,20020,20000,20001,20000,20200,20222,20202,20200,21020,21000,21002,20100,20100,20000,20000,20002,21000,21000,20002,20000,20100,21100,20002,20200,21100,21000,20000,20012,20100,20000,20100,20000,20000,20001,20010,20100,21000,20100,20020,20020,20101,20002,20200,20202,20210,21102,21100,21000,20022,20020,21000,21010,20010,21100,20101,21101,20010,20000,20001,21001
fieps,22101,20000,20002,21102,20100,20100,21100,21000,20000,20000,21100,20100,21000,20100,21100,20000,20000,20100,20100,20101,20102,20000,20000,20000,20100,20102,20202,20201,20100,20100,20100,22100,22100,22000,22002,22200,22202,20100,20100,22100,22000,22000,22002,20000,21000,20000,20000,20001,20000,20200,20202,20202,20200,21000,21000,21002,20110,20100,20000,20000,20002,21000,21000,20002,20000,20100,21100,20002,20200,21100,21000,20000,20002,20100,20000,20100,20000,20000,20001,20000,20100,21000,20100,20000,20000,20101,20002,20200,20202,20200,21102,21100,21000,20002,20000,21000,21000,20000,21100,20101,21101,20000,20000,20001,21001
finns,22201,20020,20022,21002,20000,20000,21000,21000,20000,20000,21000,20100,21000,20100,21000,20000,20000,20000,20000,20101,20002,20000,20000,20020,20100,20002,20002,20001,20000,20200,20000,22000,22000,22000,22002,22000,22002,20000,20200,22000,22000,22000,22002,20000,21000,20020,20000,20001,20000,20000,20022,20002,20000,21020,21000,21002,20000,20000,20000,20000,20002,21000,21000,20002,20000,20000,21000,20002,20000,21000,21000,20000,20202,20000,20000,20000,20000,20000,20001,20100,20000,21000,20000,20020,20020,20001,20002,20000,20002,20100,21002,21000,21000,20022,20020,21000,21200,20200,21000,20001,21001,20100,20000,20001,21001
flips,20101,20000,20002,20202,21000,20000,20100,20100,20000,20000,20200,20000,20100,21000,21100,20000,20000,20000,20000,20001,20002,20000,20000,20000,20000,20002,20002,20001,21000,21000,20000,20100,20100,20100,20102,21100,20102,21000,20000,21100,21100,20100,20102,20000,22100,22000,22000,22001,22000,22000,22002,22002,22000,22200,22200,22202,22010,22000,22000,22000,22002,22100,22100,22002,22000,22000,20100,20002,20000,21100,21100,21000,20002,21000,20000,20000,20000,20000,20001,20000,20000,20100,20000,20000,20000,20001,20002,20000,20002,20000,20202,20200,20200,20002,20000,20100,20100,20000,20100,20001,20101,20000,21000,20001,20101
flors,20001,20010,20012,20012,21000,20000,20000,20000,20000,20100,20020,20000,20010,21000,21000,20010,20110,20010,20010,20001,20002,20000,20000,20000,20000,20002,20002,20001,21000,21100,20020,20010,20000,20000,20002,21000,20002,21000,20000,21000,21200,20010,20002,20220,22010,22000,22020,22001,22000,22010,22002,22002,22010,22000,22020,22002,22200,22210,22200,22220,22202,22000,22000,22002,22110,22010,20100,20102,20120,21100,21100,21100,20102,21110,20110,20110,20110,20110,20101,20100,20110,20010,20010,20010,20010,20011,20012,20010,20012,20110,20012,20010,20110,20212,20210,20010,20000,20000,20010,20001,20001,20100,21000,20011,20101
freds,20101,22000,22002,22102,20100,20100,20100,20000,20000,20000,21100,20100,21000,20100,20100,21010,21000,21100,21120,20101,20102,20000,20000,20000,20100,20102,20202,20201,20100,20100,21100,21100,20100,20000,20002,20200,20202,20100,20100,20100,20000,21000,20002,21010,21000,20000,21010,20001,20000,21200,20202,20202,21200,20000,21000,20002,20100,21100,20000,21000,20002,20000,20000,20002,21000,21100,20100,20002,21200,20100,20000,20000,20022,21100,21000,21100,21000,21000,20001,20000,21100,22000,22100,22000,22000,22101,22002,22200,22202,22200,22102,22100,22000,22002,22000,22000,20020,20000,21100,20101,20101,20000,20000,22001,20001
frees,20101,22000,22002,22022,20020,20020,20100,20000,20000,20000,21100,20020,21000,20020,20100,21000,21000,21100,21100,20021,20022,20000,20000,20000,20020,20122,20212,20211,20120,20100,21100,21020,20100,20000,20002,20200,20202,20020,20100,20020,20000,21000,20002,21000,21000,20000,21000,20001,20000,21220,20202,20202,21200,20000,21000,20002,20020,21020,20000,21000,20002,20000,20000,20002,21000,21020,20100,20002,21200,20100,20000,20000,20002,21020,21000,21100,21000,21000,20001,20000,21020,22000,22100,22000,22000,22101,22002,22200,22222,22200,22022,22020,22000,22002,22000,22000,20000,20000,21100,20121,20101,20000,20000,22001,20001
fuads,20001,20200,20202,20002,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20110,20100,20100,20120,20101,20102,21100,20100,21100,20100,20002,20002,20001,20000,20000,20000,20000,20000,21000,21002,20000,20002,20000,20000,20000,20000,20100,20002,20010,20200,20200,20210,20201,21200,20000,20002,20002,21000,20000,20000,20002,20000,20000,20000,20100,20002,21000,21000,21002,21000,20000,20000,21002,20000,20000,20000,20000,20022,20000,20100,20000,20000,21000,20101,20000,20000,20200,20200,20200,20200,20201,20202,20100,20002,20000,20002,20000,20000,20002,20000,21000,22020,22000,22000,22001,22001,22000,21000,21001,20001
finse,22222,20100,20110,21011,20001,20001,21002,21000,20000,20000,21002,20101,21000,20101,21002,20000,20000,20002,20002,20111,20011,20000,20000,20100,20101,20011,20011,20021,20001,20201,20001,22001,22002,22000,22010,22001,22011,20001,20202,22001,22000,22000,22010,20000,21000,20100,20000,20020,20000,20001,20111,20011,20001,21100,21000,21010,20001,20001,20000,20000,20020,21000,21000,20010,20000,20001,21002,20010,20001,21002,21000,20000,20210,20001,20000,20002,20000,20000,20020,20100,20001,21000,20002,20100,20100,20022,20010,20001,20011,20101,21011,21001,21000,20110,20100,21000,21200,20200,21002,20012,21012,20100,20000,20020,21010
frank,20010,22222,22220,22000,20100,20100,20100,20100,20100,20100,21100,20111,21101,20110,20100,21100,21100,21100,21100,20110,20100,20100,20100,20120,20110,20000,20001,20000,20000,20010,21000,21000,20000,20000,20000,20000,20000,20000,20010,20000,20000,21100,20000,21000,21200,20222,21200,20200,20200,21000,20020,20000,21000,20022,21000,20000,20000,21000,20000,21100,20000,20000,20000,20001,21000,21000,20000,20000,21000,20000,20000,20001,20010,21000,21100,21000,21000,21000,20100,20010,21000,22200,22200,22220,22222,22200,22200,22102,22000,22010,22000,22000,22000,22020,22020,22000,20010,20011,21000,20000,20000,20010,20000,22000,20000
frans,20011,22220,22222,22002,20100,20100,20100,20100,20100,20100,21100,20110,21100,20110,20100,21100,21100,21100,21100,20111,20102,20100,20100,20120,20110,20002,20002,20001,20000,20010,21000,21000,20000,20000,20002,20000,20002,20000,20010,20000,20000,21100,20002,21000,21200,20220,21200,20201,20200,21000,20022,20002,21000,20020,21000,20002,20000,21000,20000,21100,20002,20000,20000,20002,21000,21000,20000,20002,21000,20000,20000,20000,20012,21000,21100,21000,21000,21000,20101,20010,21000,22200,22200,22220,22220,22201,22202,22100,22002,22010,22002,22000,22000,22022,22020,22000,20010,20010,21000,20001,20001,20010,20000,22001,20001
fries,20111,22000,22002,22222,20020,20020,20110,20100,20000,20000,21210,20020,21100,20020,20110,21000,21000,21010,21010,20021,20022,20000,20000,20000,20020,20022,20012,20011,20020,20010,21010,21120,20110,20100,20102,20110,20112,20020,20010,20120,20100,21100,20102,21000,21100,20000,21000,20001,20000,21020,20012,20012,21010,20200,21200,20202,20020,21020,20000,21000,20002,20100,20100,20002,21000,21020,20110,20002,21010,20110,20100,20000,20002,21020,21000,21010,21000,21000,20001,20000,21020,22100,22010,22000,22000,22011,22002,22010,22022,22010,22222,22220,22200,22002,22000,22100,20100,20000,21110,20021,20111,20000,20000,22001,20101
fabel,20010,21000,21000,20020,22222,22020,22010,22000,22000,22000,22010,22020,22000,22021,22011,22000,22000,22010,22010,22020,22020,22000,22000,22000,22020,20020,20010,20010,20022,20012,20010,20220,20010,20000,20000,20011,20010,20022,20010,20021,20002,21000,20000,20000,21001,21001,21001,21001,21001,20021,20011,20011,20011,20001,20001,20001,20021,20021,20001,21001,20001,20001,20001,20001,20001,20021,20210,20000,20010,20011,20001,20001,20000,20022,21000,20010,20000,20000,21000,20000,20020,21000,21010,21000,21000,21010,21000,21010,20020,20010,20020,20020,20000,20000,20000,20000,20000,20000,20010,20020,20010,20000,20001,20000,20000
facet,20010,21000,21000,20020,22020,22222,22210,22202,22201,22002,22010,22020,22000,22020,22010,22000,22000,22110,22010,22020,22020,22001,22001,22000,22020,20220,20010,20012,20020,20010,20010,20020,20210,20200,20200,20012,20011,20020,20011,20022,20000,21000,20001,20000,21000,21000,21000,21000,21000,20020,20010,20011,20010,20000,20002,20001,20020,20020,20002,21000,20000,20000,20002,20000,20000,20020,20010,20200,20012,20010,20000,20000,20000,20020,21000,20011,20001,20000,21000,20001,20020,21000,21010,21100,21000,21010,21001,21010,20020,20010,20020,20022,20000,20000,20002,20002,20000,20000,20010,20020,20010,20001,20000,20002,20000
facie,20012,21000,21000,20011,22001,22201,22222,22220,22200,22000,22012,22001,22020,22001,22022,22000,22000,22102,22002,22001,22001,22000,22000,22000,22001,20201,20001,20001,20001,20001,20001,20011,20212,20210,20210,20011,20011,20001,20002,20011,20010,21010,20020,20000,21020,21000,21000,21000,21000,20001,20001,20001,20001,20010,20010,20010,20001,20001,20000,21000,20000,20020,20020,20000,20000,20001,20022,20200,20001,20022,20020,20000,20000,20001,21000,20002,20000,20000,21000,20000,20001,21010,21002,21100,21000,21002,21000,21001,20001,20001,20011,20011,20010,20000,20000,20020,20010,20000,20022,20002,20022,20000,20000,20000,20020
facit,20010,21000,21000,20010,22000,22202,22220,22222,22201,22002,22010,22000,22020,22000,22020,22000,22000,22100,22000,22000,22000,22001,22001,22000,22000,20200,20000,20002,20000,20000,20000,20010,20210,20210,20210,20012,20011,20000,20001,20012,20010,21010,20021,20000,21020,21000,21000,21000,21000,20000,20000,20001,20000,20010,20012,20011,20000,20000,20002,21000,20000,20020,20022,20000,20000,20000,20020,20200,20002,20020,20020,20000,20000,20000,21000,20001,20001,20000,21000,20001,20000,21010,21000,21100,21000,21000,21001,21000,20000,20000,20010,20012,20010,20000,20002,20022,20010,20000,20020,20000,20020,20001,20000,20002,20020
facta,20000,21000,21000,20000,22000,22210,22200,22210,22222,22010,22000,22000,22000,22000,22000,22001,22001,22100,22000,22000,22000,22010,22012,22002,22000,20200,20000,20010,20000,20000,20000,20000,20200,20200,20200,20010,20020,20000,20020,20010,20000,20002,20010,20000,21000,21000,21000,21000,21000,20000,20000,20020,20000,20000,20010,20020,20000,20000,20010,20002,20000,20000,20010,20000,20000,20000,20000,20200,20010,20000,20000,20000,20000,20000,20002,20020,20020,20000,20002,20010,20000,21001,21000,21100,21000,21000,21020,21000,20000,20000,20000,20010,20000,20000,20010,20010,20000,20000,20000,20000,20000,20010,20000,20010,20000
fagot,20000,21000,21000,20000,22000,22002,22000,22002,22001,22222,22000,22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,22001,22001,22000,22000,20000,20000,20002,20000,20020,20000,20000,20000,20000,20000,20002,20001,20000,20001,20002,20020,21000,20001,20010,21000,21000,21000,21000,21000,20000,20000,20001,20000,20000,20002,20001,20010,20010,20022,21010,20010,20000,20002,20000,20020,20000,20010,20010,20012,20010,20010,20010,20010,20010,21010,20011,20011,20010,21010,20021,20010,21000,21000,21000,21000,21000,21001,21000,20000,20020,20000,20002,20110,20010,20012,20002,20000,20000,20000,20000,20000,20021,20000,20002,20010
faire,20102,21010,21010,20211,22001,22001,22102,22100,22000,22000,22222,22001,22110,22001,22102,22010,22010,22012,22012,22001,22001,22000,22000,22000,22001,20001,20001,20001,20001,20001,20021,20111,20102,20100,20100,20101,20101,20001,20002,20101,20100,21110,20100,20020,21110,21000,21020,21000,21000,20011,20001,20001,20011,20200,20220,20200,20001,20011,20000,21020,20000,20100,20100,20000,20010,20011,20102,20000,20021,20102,20100,20000,20000,20011,21010,20012,20010,20010,21000,20000,20011,21110,21012,21010,21010,21012,21010,21011,20011,20011,20211,20211,20210,20010,20010,20110,20100,20000,20112,20002,20102,20000,20000,20010,20100
faken,20011,21101,21001,20020,22020,22020,22010,22000,22000,22000,22010,22222,22200,22022,22010,22000,22000,22010,22010,22022,22020,22000,22000,22001,22022,20020,20110,20010,20020,20011,20010,20020,20010,20000,20000,20010,20010,20020,20011,20020,20000,21000,20000,20000,21000,21101,21000,21000,21000,20020,20011,20010,20010,20101,20000,20000,20020,20020,20000,21000,20000,20000,20000,20100,20000,20020,20010,20000,20010,20010,20000,20100,20001,20020,21000,20010,20000,20000,21000,20002,20020,21000,21010,21001,21101,21010,21000,21110,20020,20012,20020,20020,20000,20001,20001,20000,20001,20101,20010,20020,20010,20002,20000,20000,20000
fakir,20010,21101,21001,20011,22000,22000,22020,22020,22000,22000,22011,22200,22222,22000,22020,22001,22001,22001,22001,22000,22000,22000,22000,22000,22000,20000,20100,20000,20000,20000,20001,20012,20010,20010,20010,20010,20010,20000,20000,20010,20010,21011,20020,20001,21022,21100,21001,21000,21000,20002,20000,20000,20002,20110,20011,20010,20000,20002,20000,21001,20000,20020,20020,20100,20002,20002,20020,20000,20001,20020,20020,20100,20000,20001,21001,20001,20001,20001,21000,20000,20002,21011,21001,21001,21101,21001,21001,21101,20001,20001,20011,20011,20011,20001,20001,20021,20010,20100,20021,20000,20020,20000,20000,20001,20020
falen,20011,21001,21001,20020,22120,22020,22010,22000,22000,22000,22010,22022,22000,22222,22210,22000,22000,22010,22010,22022,22020,22000,22000,22001,22022,20020,20010,20010,20120,20111,20010,20020,20010,20000,20000,20110,20010,20120,20011,20220,20100,21000,20000,20000,21100,21101,21100,21100,21100,20120,20111,20110,20110,20101,20100,20100,20120,20120,20100,21100,20100,20100,20100,20100,20100,20120,20010,20000,20010,20210,20200,20200,20001,20120,21000,20010,20000,20000,21000,20002,20020,21000,21010,21001,21001,21010,21000,21010,20020,20012,20020,20020,20000,20001,20001,20000,20001,20001,20010,20020,20010,20002,20200,20000,20000
falie,20012,21000,21000,20011,22101,22001,22022,22020,22000,22000,22012,22001,22020,22201,22222,22000,22000,22002,22002,22001,22001,22000,22000,22000,22001,20001,20001,20001,20101,20101,20001,20011,20012,20010,20010,20111,20011,20101,20002,20211,20110,21010,20020,20000,21120,21100,21100,21100,21100,20101,20101,20101,20101,20110,20110,20110,20101,20101,20100,21100,20100,20120,20120,20100,20100,20101,20022,20000,20001,20222,20220,20200,20000,20101,21000,20002,20000,20000,21000,20000,20001,21010,21002,21000,21000,21002,21000,21001,20001,20001,20011,20011,20010,20000,20000,20020,20010,20000,20022,20002,20022,20000,20200,20000,20020
farad,20000,21100,21100,20100,22000,22000,22000,22000,22010,22000,22100,22000,22100,22000,22000,22222,22220,22200,22201,22000,22000,22000,22010,22010,22000,20000,20000,20000,20000,20000,20200,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,21200,20000,20102,21100,21000,21102,21000,21000,20100,20000,20000,20100,20000,20100,20000,20000,20100,20000,21100,20000,20000,20000,20000,20100,20100,20000,20000,20100,20000,20000,20000,20001,20200,21200,20200,20200,20200,21000,20000,20100,21120,21100,21100,21100,21100,21100,20120,20100,20100,20100,20100,20100,20100,20100,20100,20001,20000,20200,20000,20000,20000,20000,20100,20000
farao,20000,21100,21100,20100,22000,22000,22000,22000,22010,22001,22100,22000,22100,22000,22000,22220,22222,22200,22200,22000,22000,22000,22010,22010,22000,20000,20000,20000,20000,20001,20200,20100,20000,20000,20000,20000,20000,20000,20000,20000,20001,21200,20000,20101,21100,21000,21100,21000,21000,20100,20000,20000,20100,20000,20100,20000,20001,20101,20001,21101,20001,20000,20000,20000,20101,20100,20001,20001,20101,20001,20002,20001,20001,20201,21201,20201,20202,20201,21001,20001,20101,21120,21100,21100,21100,21100,21100,20120,20100,20101,20100,20100,20102,20101,20101,20100,20000,20000,20200,20000,20000,20001,20000,20100,20002
farce,20002,21100,21100,20101,22001,22011,22012,22010,22010,22000,22102,22001,22100,22001,22002,22200,22200,22222,22202,22001,22001,22000,22000,22000,22001,20011,20001,20001,20001,20001,20201,20101,20012,20010,20010,20001,20001,20001,20002,20001,20000,21200,20000,20100,21100,21000,21100,21000,21000,20101,20001,20001,20101,20000,20100,20000,20001,20101,20000,21100,20000,20000,20000,20000,20100,20101,20002,20010,20101,20002,20000,20000,20000,20201,21200,20202,20200,20200,21000,20000,20101,21100,21102,21110,21100,21102,21100,21101,20101,20101,20101,20101,20100,20100,20100,20100,20000,20000,20202,20002,20002,20000,20000,20100,20000
farde,20002,21100,21100,20101,22001,22001,22002,22000,22000,22000,22102,22001,22100,22001,22002,22210,22200,22202,22222,22001,22001,22000,22000,22000,22001,20001,20001,20001,20001,20001,20201,20101,20002,20000,20000,20001,20001,20001,20002,20001,20000,21200,20000,20110,21100,21000,21110,21000,21000,20101,20001,20001,20101,20000,20100,20000,20001,20101,20000,21100,20000,20000,20000,20000,20100,20101,20002,20000,20101,20002,20000,20000,20020,20201,21200,20202,20200,20200,21000,20000,20101,21100,21102,21100,21100,21102,21100,21101,20101,20101,20101,20101,20100,20100,20100,20100,20020,20000,20202,20002,20002,20000,20000,20100,20000
fasen,20111,21001,21101,20120,22020,22020,22010,22000,22000,22000,22010,22022,22000,22022,22010,22000,22000,22010,22010,22222,22220,22000,22000,22001,22022,20120,20110,20110,20020,20011,20010,20020,20010,20000,20100,20010,20110,20020,20011,20020,20000,21000,20100,20000,21000,21001,21000,21100,21000,20020,20111,20110,20010,20001,20000,20100,20020,20020,20000,21000,20100,20000,20000,20100,20000,20020,20010,20100,20010,20010,20000,20000,20101,20020,21000,20010,20000,20000,21200,20002,20020,21000,21010,21001,21001,21110,21100,21010,20120,20012,20120,20020,20000,20101,20001,20000,20001,20001,20010,20220,20210,20002,20000,20100,20200
fases,20110,21000,21002,20022,22020,22020,22010,22000,22000,22000,22010,22020,22000,22020,22010,22000,22000,22010,22010,22220,22222,22000,22000,22000,22020,20022,20012,20110,20020,20010,20010,20020,20010,20000,20002,20010,20012,20020,20010,20020,20000,21000,20002,20000,21000,21000,21000,21100,21000,20020,20012,20012,20010,20000,20000,20002,20020,20020,20000,21000,20102,20000,20000,20002,20000,20020,20010,20002,20010,20010,20000,20000,20002,20020,21000,20010,20000,20000,21201,20000,20020,21000,21010,21000,21000,21110,21002,21010,20022,20010,20022,20020,20000,20002,20000,20000,20000,20000,20010,20220,20210,20000,20000,20100,20200
fatum,20000,21000,21000,20000,22000,22100,22000,22100,22100,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22222,22200,22010,22000,20000,20000,20100,20001,20000,20000,20000,20000,20010,20020,20100,20100,20000,20100,20100,20000,21001,20200,20000,21000,21000,21000,21000,21020,20000,20000,20100,20020,20000,20100,20100,20000,20000,20100,21000,20000,20012,20110,20010,20010,20000,20000,20020,20100,20000,20000,20000,20000,20000,21001,20100,20100,20022,21000,20200,20000,21000,21001,21000,21000,21000,21100,21000,20000,20000,20000,20100,20000,20000,20100,20110,20010,20010,20010,20010,20010,20210,20022,20110,20000
