Guess,vinex,vaalt,vaars,vaart,vaats,vacht,vadem,vader,vagen,vaker,valig,vamen,vanaf,varen,varia,vaste,vaten,vazal,vedel,veder,veest,vegen,veger,veine,velen,vel1n,velum,vemen,vendu,venen,venig,ven1n,vents,veraf,veren,verre,verso,verst,verte,veste,veter,vette,vezel,vezen,video,vieux,vieze,v1and,v1fde,v1fje,v1len,v1ver,v1zel,v1zen,villa,vinyl,viool,virus,visie,visum,vitse,vivat,vlaag,vlaai,vlade,vlees,vleet,vlerk,vleug,vlieg,vliem,vlier,vlies,vliet,vl1en,vloed,vloei,vloek,vloer,vlood,vloog,vloot,vlouw,vocht,vodde,vogel,voile,volks,volle,volop,volta,volte,voogd,voord,voorn,voort,voren,vorig,vorst,votum,voute,vozen,vraag,vraat,vrank,vrede,vrees,vreze,vr1af,vr1en,vr1er,vrind,vroed,vroeg,vrome,vroom,vroon,vroor,vrouw,vuist,vulgo,vulva,vuren,vurig,vanop
viest,22100,20002,20010,20002,20011,20002,20100,20100,20100,20100,21000,20100,20000,20100,21000,20111,20101,20000,20100,20100,20222,20100,20100,21100,20100,20100,20100,20100,20100,20100,21100,20100,20111,20100,20100,20100,20120,20122,20101,20111,20101,20101,20100,20100,22100,22200,22200,20000,20100,20100,20100,20100,20100,20100,22000,22000,22000,22010,22110,22010,22121,22002,20000,21000,20100,20210,20202,20200,20200,21100,21100,21100,21110,21102,20100,20100,21100,20100,20100,20000,20000,20002,20000,20002,20100,20100,21100,20010,20100,20000,20001,20101,20000,20000,20000,20002,20100,21000,20022,20001,20101,20100,20000,20002,20000,20200,20210,20200,20000,20100,20100,21000,20100,20100,20100,20000,20000,20000,20000,21022,20000,20000,20100,21000,20000
vieve,22100,20000,20000,20000,20000,20000,20100,20100,20100,20100,21000,20100,20000,20100,21000,20002,20100,20000,20101,20101,20201,20101,20101,21102,20101,20100,20100,20101,20100,20101,21100,20100,20100,20100,20101,20102,20100,20100,20102,20102,20101,20102,20101,20101,22100,22200,22202,20000,20002,20002,20100,20110,20100,20100,22000,22000,22000,22000,22002,22000,22002,22010,20000,21000,20002,20201,20201,20200,20200,21100,21100,21100,21100,21100,20100,20100,21100,20100,20100,20000,20000,20000,20000,20000,20002,20100,21002,20000,20002,20000,20000,20002,20000,20000,20000,20000,20100,21000,20000,20000,20002,20100,20000,20000,20000,20202,20201,20202,20000,20100,20100,21000,20100,20100,20002,20000,20000,20000,20000,21000,20000,20020,20100,21000,20000
v1gen,20021,20000,20000,20000,20000,20000,20020,20020,20222,20020,20100,20022,20001,20022,20000,20010,20022,20000,20020,20020,20010,20222,20220,20011,20022,21012,20010,20022,20011,20022,20111,21012,20011,20010,20022,20010,20010,20010,20010,20010,20020,20010,20020,20022,20020,20010,20010,22001,22010,22010,22022,22020,22020,22022,20000,20001,20000,20000,20010,20000,20010,20000,20100,20000,20010,20020,20020,20010,20110,20120,20020,20020,20020,20020,21022,20020,20020,20020,20020,20000,20100,20000,20000,20000,20010,20220,20010,20000,20010,20000,20000,20010,20100,20000,20002,20000,20022,20100,20000,20000,20010,20022,20100,20000,20001,20010,20020,20010,21000,21022,21020,20001,20020,20120,20010,20000,20002,20000,20000,20000,20100,20000,20022,20100,20001
v1lde,20001,20100,20000,20000,20000,20000,20011,20011,20001,20001,20200,20001,20000,20001,20000,20002,20001,20100,20111,20011,20001,20001,20001,20002,20201,21201,20201,20001,20021,20001,20001,21001,20001,20001,20001,20002,20001,20001,20002,20002,20001,20002,20101,20001,20011,20001,20002,22010,22022,22002,22201,22001,22101,22001,20200,20100,20100,20000,20002,20000,20002,20000,20100,20100,20122,20101,20101,20101,20101,20101,20101,20101,20101,20101,21101,20111,20101,20101,20101,20110,20100,20100,20100,20000,20022,20101,20102,20200,20202,20200,20200,20202,20010,20010,20000,20000,20001,20000,20000,20000,20002,20001,20000,20000,20000,20022,20001,20002,21000,21001,21001,20010,20011,20001,20002,20000,20000,20000,20000,20000,20200,20200,20001,20000,20000
v1ven,20021,20000,20000,20000,20000,20000,20020,20020,20022,20020,20000,20022,20001,20022,20000,20010,20022,20000,20020,20020,20010,20022,20020,20011,20022,21012,20010,20022,20011,20022,20011,21012,20011,20010,20022,20010,20010,20010,20010,20010,20020,20010,20020,20022,20020,20010,20010,22001,22010,22010,22022,22220,22020,22022,20000,20001,20000,20000,20010,20000,20010,20200,20000,20000,20010,20020,20020,20010,20010,20020,20020,20020,20020,20020,21022,20020,20020,20020,20020,20000,20000,20000,20000,20000,20010,20020,20010,20000,20010,20000,20000,20010,20000,20000,20002,20000,20022,20000,20000,20000,20010,20022,20000,20000,20001,20010,20020,20010,21000,21022,21020,20001,20020,20020,20010,20000,20002,20000,20000,20000,20000,20100,20022,20000,20001
vilde,22001,20100,20000,20000,20000,20000,20011,20011,20001,20001,21200,20001,20000,20001,21000,20002,20001,20100,20111,20011,20001,20001,20001,21002,20201,20201,20201,20001,20021,20001,21001,20001,20001,20001,20001,20002,20001,20001,20002,20002,20001,20002,20101,20001,22011,22001,22002,20010,20022,20002,20201,20001,20101,20001,22200,22100,22100,22000,22002,22000,22002,22000,20100,21100,20122,20101,20101,20101,20101,21101,21101,21101,21101,21101,20101,20111,21101,20101,20101,20110,20100,20100,20100,20000,20022,20101,21102,20200,20202,20200,20200,20202,20010,20010,20000,20000,20001,21000,20000,20000,20002,20001,20000,20000,20000,20022,20001,20002,20000,20001,20001,21010,20011,20001,20002,20000,20000,20000,20000,21000,20200,20200,20001,21000,20000
vindt,22200,20002,20000,20002,20001,20002,20010,20010,20100,20000,21000,20100,20200,20100,21000,20001,20101,20000,20010,20010,20002,20100,20000,21100,20100,20100,20000,20100,20220,20200,21200,20200,20201,20000,20100,20000,20000,20002,20001,20001,20001,20001,20000,20100,22010,22000,22000,20110,20020,20000,20100,20000,20000,20100,22000,22200,22000,22000,22000,22000,22001,22002,20000,21000,20020,20000,20002,20000,20000,21000,21000,21000,21000,21002,20100,20010,21000,20000,20000,20010,20000,20002,20000,20002,20020,20000,21000,20000,20000,20000,20001,20001,20010,20010,20100,20002,20100,21000,20002,20001,20001,20100,20000,20002,20100,20020,20000,20000,20000,20100,20000,21110,20010,20000,20000,20000,20100,20000,20000,21002,20000,20000,20100,21000,20200
vinkt,22200,20002,20000,20002,20001,20002,20000,20000,20100,20010,21000,20100,20200,20100,21000,20001,20101,20000,20000,20000,20002,20100,20000,21100,20100,20100,20000,20100,20200,20200,21200,20200,20201,20000,20100,20000,20000,20002,20001,20001,20001,20001,20000,20100,22000,22000,22000,20100,20000,20000,20100,20000,20000,20100,22000,22200,22000,22000,22000,22000,22001,22002,20000,21000,20000,20000,20002,20010,20000,21000,21000,21000,21000,21002,20100,20000,21000,20010,20000,20000,20000,20002,20000,20002,20000,20000,21000,20020,20000,20000,20001,20001,20000,20000,20100,20002,20100,21000,20002,20001,20001,20100,20000,20002,20110,20000,20000,20000,20000,20100,20000,21100,20000,20000,20000,20000,20100,20000,20000,21002,20000,20000,20100,21000,20200
visje,22001,20000,20100,20000,20100,20000,20001,20001,20001,20001,21000,20001,20000,20001,21000,20202,20001,20000,20001,20001,20101,20001,20001,21002,20001,20001,20001,20001,20001,20001,21001,20001,20101,20001,20001,20002,20101,20101,20002,20202,20001,20002,20001,20001,22001,22001,22002,20000,20002,20022,20001,20001,20001,20001,22000,22000,22000,22100,22202,22200,22102,22000,20000,21000,20002,20101,20001,20001,20001,21001,21001,21001,21101,21001,20001,20001,21001,20001,20001,20000,20000,20000,20000,20000,20002,20001,21002,20100,20002,20000,20000,20002,20000,20000,20000,20000,20001,21000,20100,20000,20002,20001,20000,20000,20000,20002,20101,20002,20000,20001,20001,21000,20001,20001,20002,20000,20000,20000,20000,21100,20000,20000,20001,21000,20000
viste,22001,20010,20100,20010,20120,20010,20001,20001,20001,20001,21000,20001,20000,20001,21000,20222,20011,20000,20001,20001,20111,20001,20001,21002,20001,20001,20001,20001,20001,20001,21001,20001,20121,20001,20001,20002,20101,20111,20022,20222,20011,20022,20001,20001,22001,22001,22002,20000,20002,20002,20001,20001,20001,20001,22000,22000,22000,22100,22202,22200,22112,22010,20000,21000,20002,20101,20011,20001,20001,21001,21001,21001,21101,21011,20001,20001,21001,20001,20001,20000,20000,20010,20000,20010,20002,20001,21002,20100,20002,20000,20020,20022,20000,20000,20000,20010,20001,21000,20110,20010,20022,20001,20000,20010,20000,20002,20101,20002,20000,20001,20001,21000,20001,20001,20002,20000,20000,20000,20000,21110,20000,20000,20001,21000,20000
vitte,22001,20100,20000,20100,20020,20100,20001,20001,20001,20001,21000,20001,20000,20001,21000,20022,20201,20000,20001,20001,20101,20001,20001,21002,20001,20001,20001,20001,20001,20001,21001,20001,20021,20001,20001,20002,20001,20101,20022,20022,20201,20222,20001,20001,22001,22001,22002,20000,20002,20002,20001,20001,20001,20001,22000,22000,22000,22000,22002,22000,22202,22100,20000,21000,20002,20001,20101,20001,20001,21001,21001,21001,21001,21101,20001,20001,21001,20001,20001,20000,20000,20100,20000,20100,20002,20001,21002,20000,20002,20000,20020,20022,20000,20000,20000,20100,20001,21000,20100,20200,20022,20001,20000,20100,20000,20002,20001,20002,20000,20001,20001,21000,20001,20001,20002,20000,20000,20000,20000,21100,20000,20000,20001,21000,20000
vlagt,20000,21202,20200,20202,20201,20102,20100,20100,20110,20100,21110,20100,20100,20100,20100,20101,20101,21100,21000,20000,20002,20010,20010,20000,21000,21000,21000,20000,20000,20000,20010,20000,20001,20100,20000,20000,20000,20002,20001,20001,20001,20001,21000,20000,20000,20000,20000,20200,20000,20000,21000,20000,21000,20000,21100,21000,21000,20000,20000,20000,20001,20102,22210,22200,22200,22000,22002,22000,22010,22010,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22010,22002,22000,20002,20000,21010,21000,21000,21000,21000,21101,21001,20020,20000,20000,20002,20000,20010,20002,20001,20001,20000,20210,20202,20200,20000,20000,20000,20100,20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,20002,21020,21100,20000,20010,20100
vlakt,20000,21202,20200,20202,20201,20102,20100,20100,20100,20110,21100,20100,20100,20100,20100,20101,20101,21100,21000,20000,20002,20000,20000,20000,21000,21000,21000,20000,20000,20000,20000,20000,20001,20100,20000,20000,20000,20002,20001,20001,20001,20001,21000,20000,20000,20000,20000,20200,20000,20000,21000,20000,21000,20000,21100,21000,21000,20000,20000,20000,20001,20102,22200,22200,22200,22000,22002,22010,22000,22000,22000,22000,22000,22002,22000,22000,22000,22010,22000,22000,22000,22002,22000,20002,20000,21000,21000,21020,21000,21000,21101,21001,20000,20000,20000,20002,20000,20000,20002,20001,20001,20000,20200,20202,20210,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21100,20000,20000,20100
vlamt,20000,21202,20200,20202,20201,20102,20110,20100,20100,20100,21100,20110,20100,20100,20100,20101,20101,21100,21000,20000,20002,20000,20000,20000,21000,21000,21010,20010,20000,20000,20000,20000,20001,20100,20000,20000,20000,20002,20001,20001,20001,20001,21000,20000,20000,20000,20000,20200,20000,20000,21000,20000,21000,20000,21100,21000,21000,20000,20000,20010,20001,20102,22200,22200,22200,22000,22002,22000,22000,22000,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22002,22000,20002,20000,21000,21000,21000,21000,21000,21101,21001,20000,20000,20000,20002,20000,20000,20002,20011,20001,20000,20200,20202,20200,20000,20000,20000,20100,20000,20000,20000,20000,20000,20020,20010,20000,20000,20000,20002,21000,21100,20000,20000,20100
vlast,20000,21202,20210,20202,20211,20102,20100,20100,20100,20100,21100,20100,20100,20100,20100,20111,20101,21100,21000,20000,20022,20000,20000,20000,21000,21000,21000,20000,20000,20000,20000,20000,20011,20100,20000,20000,20020,20022,20001,20011,20001,20001,21000,20000,20000,20000,20000,20200,20000,20000,21000,20000,21000,20000,21100,21000,21000,20010,20010,20010,20021,20102,22200,22200,22200,22010,22002,22000,22000,22000,22000,22000,22010,22002,22000,22000,22000,22000,22000,22000,22000,22002,22000,20002,20000,21000,21000,21010,21000,21000,21101,21001,20000,20000,20000,20002,20000,20000,20022,20001,20001,20000,20200,20202,20200,20000,20010,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20022,21000,21100,20000,20000,20100
vleit,20110,21002,20000,20002,20001,20002,20100,20100,20100,20100,21020,20100,20000,20100,20020,20101,20101,21000,21100,20100,20202,20100,20100,20110,21100,21100,21100,20100,20100,20100,20120,20100,20101,20100,20100,20100,20100,20102,20101,20101,20101,20101,21100,20100,20110,20210,20210,20000,20100,20100,21100,20100,21100,20100,21010,21010,21010,20010,20120,20010,20111,20012,22000,22010,22100,22200,22202,22200,22200,22110,22110,22110,22110,22112,22100,22100,22110,22100,22100,22000,22000,22002,22000,20002,20100,21100,21110,21000,21100,21000,21001,21101,20000,20000,20000,20002,20100,20020,20002,20001,20101,20100,20000,20002,20000,20200,20200,20200,20000,20100,20100,20010,20100,20100,20100,20000,20000,20000,20000,20012,21000,21000,20100,20020,20000
vlekt,20100,21002,20000,20002,20001,20002,20100,20100,20100,20110,21000,20100,20000,20100,20000,20101,20101,21000,21100,20100,20202,20100,20100,20100,21100,21100,21100,20100,20100,20100,20100,20100,20101,20100,20100,20100,20100,20102,20101,20101,20101,20101,21100,20100,20100,20200,20200,20000,20100,20100,21100,20100,21100,20100,21000,21000,21000,20000,20100,20000,20101,20002,22000,22000,22100,22200,22202,22210,22200,22100,22100,22100,22100,22102,22100,22100,22100,22110,22100,22000,22000,22002,22000,20002,20100,21100,21100,21020,21100,21000,21001,21101,20000,20000,20000,20002,20100,20000,20002,20001,20101,20100,20000,20002,20010,20200,20200,20200,20000,20100,20100,20000,20100,20100,20100,20000,20000,20000,20000,20002,21000,21000,20100,20000,20000
vlied,20120,21000,20000,20000,20000,20000,20021,20021,20020,20020,21100,20020,20000,20020,20100,20010,20020,21000,21021,20021,20010,20020,20020,20210,21020,21010,21010,20020,20011,20020,20110,20010,20010,20010,20020,20010,20010,20010,20010,20010,20020,20010,21020,20020,20121,20110,20110,20002,20011,20010,21020,20020,21020,20020,21100,21100,21100,20100,20110,20100,20110,20100,22000,22100,22011,22020,22020,22010,22010,22220,22220,22220,22220,22220,22020,22022,22120,22020,22020,22002,22000,22000,22000,20000,20011,21020,21210,21000,21010,21000,21000,21010,20002,20002,20000,20000,20020,20100,20000,20000,20010,20020,20000,20000,20000,20011,20020,20010,20000,20020,20020,20202,20022,20020,20010,20000,20000,20000,20000,20200,21000,21000,20020,20100,20000
vl1de,20001,21000,20000,20000,20000,20000,20011,20011,20001,20001,21000,20001,20000,20001,20000,20002,20001,21000,21011,20011,20001,20001,20001,20002,21001,21101,21001,20001,20021,20001,20001,20101,20001,20001,20001,20002,20001,20001,20002,20002,20001,20002,21001,20001,20011,20001,20002,20110,20122,20102,21101,20101,21101,20101,21000,21000,21000,20000,20002,20000,20002,20000,22000,22000,22022,22001,22001,22001,22001,22001,22001,22001,22001,22001,22201,22011,22001,22001,22001,22010,22000,22000,22000,20000,20022,21001,21002,21000,21002,21000,21000,21002,20010,20010,20000,20000,20001,20000,20000,20000,20002,20001,20000,20000,20000,20022,20001,20002,20200,20201,20201,20010,20011,20001,20002,20000,20000,20000,20000,20000,21000,21000,20001,20000,20000
vl1mt,20000,21002,20000,20002,20001,20002,20010,20000,20000,20000,21000,20010,20000,20000,20000,20001,20001,21000,21000,20000,20002,20000,20000,20000,21000,21100,21010,20010,20000,20000,20000,20100,20001,20000,20000,20000,20000,20002,20001,20001,20001,20001,21000,20000,20000,20000,20000,20100,20100,20100,21100,20100,21100,20100,21000,21000,21000,20000,20000,20010,20001,20002,22000,22000,22000,22000,22002,22000,22000,22000,22010,22000,22000,22002,22200,22000,22000,22000,22000,22000,22000,22002,22000,20002,20000,21000,21000,21000,21000,21000,21001,21001,20000,20000,20000,20002,20000,20000,20002,20011,20001,20000,20000,20002,20000,20000,20000,20000,20200,20200,20200,20000,20000,20000,20020,20010,20000,20000,20000,20002,21000,21000,20000,20000,20000
vlokt,20000,21002,20000,20002,20001,20002,20000,20000,20000,20010,21000,20000,20000,20000,20000,20001,20001,21000,21000,20000,20002,20000,20000,20000,21000,21000,21000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20100,20002,20001,20001,20001,20001,21000,20000,20100,20000,20000,20000,20000,20000,21000,20000,21000,20000,21000,21000,21200,20000,20000,20000,20001,20002,22000,22000,22000,22000,22002,22010,22000,22000,22000,22000,22000,22002,22000,22200,22200,22210,22200,22200,22200,22202,22200,20102,20100,21100,21100,21120,21100,21100,21101,21101,20200,20200,20200,20202,20100,20100,20102,20101,20101,20100,20000,20002,20010,20000,20000,20000,20000,20000,20000,20000,20200,20200,20200,20200,20200,20200,20200,20002,21100,21000,20000,20000,20100
vlooi,20001,21000,20000,20000,20000,20000,20000,20000,20000,20000,21001,20000,20000,20000,20001,20000,20000,21000,21000,20000,20000,20000,20000,20001,21000,21000,21000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,21000,20000,20101,20001,20001,20000,20000,20000,21000,20000,21000,20000,21001,21001,21221,20001,20001,20001,20001,20001,22000,22002,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22000,22200,22202,22200,22200,22220,22220,22220,22200,20100,20100,21100,21101,21100,21100,21120,21100,21100,20210,20210,20210,20210,20100,20101,20100,20100,20100,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20200,20200,20200,20220,20220,20220,20200,20001,21100,21000,20000,20001,20020
vodje,20001,20000,20000,20000,20000,20000,20201,20201,20001,20001,20000,20001,20000,20001,20000,20002,20001,20000,20201,20201,20001,20001,20001,20002,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20002,21001,20001,20002,20002,20001,20002,20001,20001,21201,20001,20002,20100,20102,20022,20001,20001,20001,20001,20000,20000,21000,20000,20002,20000,20002,20000,20000,20000,20102,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21101,21001,21001,21001,21100,21000,21000,21000,22000,22202,22001,22002,22000,22002,22000,22000,22002,22100,22100,22000,22000,22001,22000,22000,22000,22002,22001,20000,20000,20000,20102,20001,20002,20000,20001,20001,20100,21101,21001,21002,21000,21000,21000,21000,20000,21000,20000,20001,20000,21000
voedt,20100,20002,20000,20002,20001,20002,20110,20110,20100,20100,20000,20100,20000,20100,20000,20101,20101,20000,20110,20110,20202,20100,20100,20100,20100,20100,20100,20100,20120,20100,20100,20100,20101,20100,20100,20100,21100,20102,20101,20101,20101,20101,20100,20100,21110,20200,20200,20010,20120,20100,20100,20100,20100,20100,20000,20000,21000,20000,20100,20000,20101,20002,20000,20000,20120,20200,20202,20200,20200,20100,20100,20100,20100,20102,20100,21110,21100,21100,21100,21010,21000,21002,21000,22002,22120,22100,22100,22000,22100,22000,22001,22101,22010,22010,22000,22002,22100,22000,22002,22001,22101,22100,20000,20002,20000,20220,20200,20200,20000,20100,20100,20010,21110,21100,21100,21000,21000,21000,21000,20002,21000,20000,20100,20000,21000
voegt,20100,20002,20000,20002,20001,20002,20100,20100,20110,20100,20010,20100,20000,20100,20000,20101,20101,20000,20100,20100,20202,20110,20110,20100,20100,20100,20100,20100,20100,20100,20110,20100,20101,20100,20100,20100,21100,20102,20101,20101,20101,20101,20100,20100,21100,20200,20200,20000,20100,20100,20100,20100,20100,20100,20000,20000,21000,20000,20100,20000,20101,20002,20010,20000,20100,20200,20202,20200,20210,20110,20100,20100,20100,20102,20100,21100,21100,21100,21100,21000,21010,21002,21000,22002,22100,22110,22100,22000,22100,22000,22001,22101,22020,22000,22000,22002,22100,22010,22002,22001,22101,22100,20010,20002,20000,20200,20200,20200,20000,20100,20100,20000,21100,21110,21100,21000,21000,21000,21000,20002,21020,20000,20100,20010,21000
voelt,20100,20022,20000,20002,20001,20002,20100,20100,20100,20100,20010,20100,20000,20100,20000,20101,20101,20010,20110,20100,20202,20100,20100,20100,20110,20110,20110,20100,20100,20100,20100,20100,20101,20100,20100,20100,21100,20102,20101,20101,20101,20101,20110,20100,21100,20200,20200,20000,20100,20100,20110,20100,20110,20100,20020,20010,21010,20000,20100,20000,20101,20002,20010,20010,20110,20210,20212,20210,20210,20110,20110,20110,20110,20112,20110,21110,21110,21110,21110,21010,21010,21012,21010,22002,22100,22110,22120,22010,22120,22010,22011,22111,22000,22000,22000,22002,22100,22000,22002,22001,22101,22100,20000,20002,20000,20200,20200,20200,20000,20100,20100,20000,21100,21100,21100,21000,21000,21000,21000,20002,21010,20010,20100,20000,21000
voert,20100,20002,20020,20022,20001,20002,20100,20110,20100,20110,20000,20100,20000,20110,20010,20101,20101,20000,20100,20110,20202,20100,20110,20100,20100,20100,20100,20100,20100,20100,20100,20100,20101,20110,20110,20120,21110,20112,20111,20101,20111,20101,20100,20100,21100,20200,20200,20000,20100,20100,20100,20110,20100,20100,20000,20000,21000,20010,20100,20000,20101,20002,20000,20000,20100,20200,20202,20220,20200,20100,20100,20110,20100,20102,20100,21100,21100,21100,21110,21000,21000,21002,21000,22002,22100,22100,22100,22000,22100,22000,22001,22101,22000,22020,22020,22022,22110,22010,22012,22001,22101,22100,20010,20012,20010,20210,20210,20210,20010,20110,20110,20010,21110,21110,21110,21010,21010,21010,21010,20002,21000,20000,20110,20010,21000
volde,20001,20100,20000,20000,20000,20000,20011,20011,20001,20001,20200,20001,20000,20001,20000,20002,20001,20100,20111,20011,20001,20001,20001,20002,20201,20201,20201,20001,20021,20001,20001,20001,20001,20001,20001,20002,21001,20001,20002,20002,20001,20002,20101,20001,21011,20001,20002,20010,20022,20002,20201,20001,20101,20001,20200,20100,21100,20000,20002,20000,20002,20000,20100,20100,20122,20101,20101,20101,20101,20101,20101,20101,20101,20101,20101,21111,21101,21101,21101,21110,21100,21100,21100,22000,22022,22101,22102,22200,22202,22200,22200,22202,22010,22010,22000,22000,22001,22000,22000,22000,22002,22001,20000,20000,20000,20022,20001,20002,20000,20001,20001,20010,21011,21001,21002,21000,21000,21000,21000,20000,21200,20200,20001,20000,21000
volgt,20000,20102,20000,20002,20001,20002,20000,20000,20010,20000,20210,20000,20000,20000,20000,20001,20001,20100,20100,20000,20002,20010,20010,20000,20200,20200,20200,20000,20000,20000,20010,20000,20001,20000,20000,20000,21000,20002,20001,20001,20001,20001,20100,20000,21000,20000,20000,20000,20000,20000,20200,20000,20100,20000,20200,20100,21100,20000,20000,20000,20001,20002,20110,20100,20100,20100,20102,20100,20110,20110,20100,20100,20100,20102,20100,21100,21100,21100,21100,21100,21110,21102,21100,22002,22000,22110,22100,22200,22200,22200,22201,22201,22020,22000,22000,22002,22000,22010,22002,22001,22001,22000,20010,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,21010,21000,21000,21000,21000,21000,20002,21220,20200,20000,20010,21000
volst,20000,20102,20010,20002,20011,20002,20000,20000,20000,20000,20200,20000,20000,20000,20000,20011,20001,20100,20100,20000,20022,20000,20000,20000,20200,20200,20200,20000,20000,20000,20000,20000,20011,20000,20000,20000,21020,20022,20001,20011,20001,20001,20100,20000,21000,20000,20000,20000,20000,20000,20200,20000,20100,20000,20200,20100,21100,20010,20010,20010,20021,20002,20100,20100,20100,20110,20102,20100,20100,20100,20100,20100,20110,20102,20100,21100,21100,21100,21100,21100,21100,21102,21100,22002,22000,22100,22100,22210,22200,22200,22201,22201,22000,22000,22000,22002,22000,22000,22022,22001,22001,22000,20000,20002,20000,20000,20010,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,20022,21200,20200,20000,20000,21000
volts,20000,20110,20002,20010,20022,20010,20000,20000,20000,20000,20200,20000,20000,20000,20000,20021,20010,20100,20100,20000,20011,20000,20000,20000,20200,20200,20200,20000,20000,20000,20000,20000,20022,20000,20000,20000,21001,20011,20020,20021,20010,20020,20100,20000,21000,20000,20000,20000,20000,20000,20200,20000,20100,20000,20200,20100,21100,20002,20001,20001,20011,20010,20100,20100,20100,20102,20110,20100,20100,20100,20100,20100,20102,20110,20100,21100,21100,21100,21100,21100,21100,21110,21100,22010,22000,22100,22100,22202,22200,22200,22220,22220,22000,22000,22000,22010,22000,22000,22011,22010,22020,22000,20000,20010,20000,20000,20002,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,20011,21200,20200,20000,20000,21000
vonkt,20200,20002,20000,20002,20001,20002,20000,20000,20100,20010,20000,20100,20200,20100,20000,20001,20101,20000,20000,20000,20002,20100,20000,20100,20100,20100,20000,20100,20200,20200,20200,20200,20201,20000,20100,20000,21000,20002,20001,20001,20001,20001,20000,20100,21000,20000,20000,20100,20000,20000,20100,20000,20000,20100,20000,20200,21000,20000,20000,20000,20001,20002,20000,20000,20000,20000,20002,20010,20000,20000,20000,20000,20000,20002,20100,21000,21000,21010,21000,21000,21000,21002,21000,22002,22000,22000,22000,22020,22000,22000,22001,22001,22000,22000,22100,22002,22100,22000,22002,22001,22001,22100,20000,20002,20110,20000,20000,20000,20000,20100,20000,20100,21000,21000,21000,21000,21100,21000,21000,20002,21000,20000,20100,20000,21200
voost,20000,20002,20010,20002,20011,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20011,20001,20000,20000,20000,20022,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20011,20000,20000,20000,21020,20022,20001,20011,20001,20001,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21200,20010,20010,20010,20021,20002,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,20010,20002,20000,20200,20200,20200,20200,21200,21200,21202,20200,22002,22000,22000,22000,22010,22000,22100,22001,22001,22200,22200,22200,22202,22000,22000,22022,22001,22001,22000,20000,20002,20000,20000,20010,20000,20000,20000,20000,20000,20200,20200,20200,21200,21200,21200,20200,20022,21000,20000,20000,20000,21000
vormt,20000,20002,20100,20102,20001,20002,20010,20100,20000,20100,20000,20010,20000,20200,20200,20001,20001,20000,20000,20100,20002,20000,20100,20000,20000,20000,20010,20010,20000,20000,20000,20000,20001,20200,20200,20200,21200,20202,20201,20001,20101,20001,20000,20000,21000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,21000,20200,20000,20010,20001,20002,20000,20000,20000,20000,20002,20100,20000,20000,20010,20100,20000,20002,20000,21000,21000,21000,21100,21000,21000,21002,21000,22002,22000,22000,22000,22000,22000,22000,22001,22001,22000,22100,22100,22102,22200,22200,22202,22011,22001,22000,20100,20102,20100,20100,20100,20100,20100,20100,20100,20100,21100,21100,21120,21110,21100,21100,21100,20002,21000,20000,20200,20200,21000
vouwt,20000,20002,20000,20002,20001,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20002,20000,20000,20000,20000,20000,20100,20000,20100,20000,20000,20000,20001,20000,20000,20000,21000,20002,20001,20001,20001,20001,20000,20000,21000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20100,20000,20100,20001,20002,20000,20000,20000,20000,20002,20000,20100,20000,20000,20000,20000,20002,20000,21000,21000,21000,21000,21000,21000,21002,21110,22002,22000,22000,22000,22000,22000,22000,22001,22001,22000,22000,22000,22002,22000,22000,22002,22101,22201,22000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21110,20102,21100,20100,20100,20100,21000
